Ticker,ForeignNet
AADI,-6919600.0
AALI,105300.0
ABBA,0.0
ABDA,0.0
ABMM,-204100.0
ACES,-4270200.0
ACRO,-40100.0
ACST,96700.0
ADCP,-43000.0
ADES,0.0
ADHI,-122600.0
ADMF,-12900.0
ADMG,39800.0
ADMR,-1066300.0
ADRO,-7696900.0
AEGS,8700.0
AGAR,4400.0
AGII,1668800.0
AGRO,1443700.0
AGRS,-153200.0
AHAP,64400.0
AIMS,10300.0
AISA,6319200.0
AKKU,0.0
AKPI,0.0
AKRA,-1698800.0
AKSI,0.0
ALDO,28400.0
ALII,194700.0
ALKA,-39000.0
ALMI,0.0
ALTO,0.0
AMAG,-2400.0
AMAN,352800.0
AMAR,0.0
AMFG,0.0
AMIN,0.0
AMMN,1597200.0
AMMS,-42800.0
AMOR,-3524700.0
AMRT,15454400.0
ANDI,0.0
ANJT,0.0
ANTM,-46164500.0
APEX,-647200.0
APIC,-27500.0
APII,0.0
APLI,0.0
APLN,-2118700.0
ARCI,-25234200.0
AREA,-78300.0
ARGO,27200.0
ARII,-33100.0
ARKA,0.0
ARKO,95800.0
ARMY,0.0
ARNA,764500.0
ARTA,0.0
ARTI,0.0
ARTO,5387700.0
ASBI,0.0
ASDM,0.0
ASGR,120700.0
ASHA,-11366400.0
ASII,17308800.0
ASJT,-503800.0
ASLC,-522600.0
ASLI,-5866700.0
ASMI,100000.0
ASPI,-47500.0
ASPR,86200.0
ASRI,5910900.0
ASRM,0.0
ASSA,861800.0
ATAP,58900.0
ATIC,109800.0
ATLA,771800.0
AUTO,-269800.0
AVIA,-450700.0
AWAN,71200.0
AXIO,0.0
AYAM,-3153600.0
AYLS,3149400.0
BABP,3315800.0
BABY,27500.0
BACA,340300.0
BAIK,53900.0
BAJA,500.0
BALI,-9100.0
BANK,-3500.0
BAPA,0.0
BAPI,0.0
BATA,-47300.0
BATR,-19000.0
BAUT,0.0
BAYU,286000.0
BBCA,9346500.0
BBHI,-112700.0
BBKP,-17693900.0
BBLD,0.0
BBMD,0.0
BBNI,-18593500.0
BBRI,31485700.0
BBRM,1876800.0
BBSI,-2500.0
BBSS,-54300.0
BBTN,1541100.0
BBYB,-36232800.0
BCAP,272000.0
BCIC,0.0
BCIP,-1512400.0
BDKR,616800.0
BDMN,702200.0
BEBS,0.0
BEEF,-4101900.0
BEER,-97000.0
BEKS,0.0
BELI,-608900.0
BELL,0.0
BESS,-400.0
BEST,-2823200.0
BFIN,-10748000.0
BGTG,40600.0
BHAT,-38600.0
BHIT,0.0
BIKA,0.0
BIKE,159300.0
BIMA,0.0
BINA,300.0
BINO,113500.0
BIPI,46724100.0
BIPP,0.0
BIRD,88300.0
BISI,214800.0
BJBR,1301800.0
BJTM,6118700.0
BKDP,0.0
BKSL,-76937600.0
BKSW,0.0
BLES,0.0
BLOG,-400.0
BLTA,-1694100.0
BLTZ,0.0
BLUE,122600.0
BMAS,-1000.0
BMBL,30000.0
BMHS,446600.0
BMRI,77064600.0
BMSR,0.0
BMTR,-3148900.0
BNBA,-63400.0
BNBR,30000.0
BNGA,3782100.0
BNII,379800.0
BNLI,1000.0
BOAT,312500.0
BOBA,120600.0
BOGA,5500.0
BOLA,-63000.0
BOLT,0.0
BOSS,0.0
BPFI,0.0
BPII,17500.0
BPTR,0.0
BRAM,200.0
BREN,-81500.0
BRIS,-41623300.0
BRMS,27530900.0
BRNA,0.0
BRPT,-30614900.0
BRRC,-1048100.0
BSBK,1811400.0
BSDE,130900.0
BSIM,-700.0
BSML,-1478400.0
BSSR,-12800.0
BSWD,0.0
BTEK,0.0
BTEL,0.0
BTON,0.0
BTPN,600.0
BTPS,1863400.0
BUAH,0.0
BUDI,0.0
BUKA,39856000.0
BUKK,12000.0
BULL,35708600.0
BUMI,-333360800.0
BUVA,6163100.0
BVIC,-371400.0
BWPT,-4401400.0
BYAN,-24900.0
CAKK,53800.0
CAMP,-2700.0
CANI,-600000.0
CARE,141300.0
CARS,-836000.0
CASA,-10000.0
CASH,519000.0
CASS,-138000.0
CBDK,-1119500.0
CBMF,0.0
CBPE,-35500.0
CBRE,-1075900.0
CBUT,2600.0
CCSI,55800.0
CDIA,5817500.0
CEKA,6000.0
CENT,-1701600.0
CFIN,186200.0
CGAS,-427700.0
CHEK,-211400.0
CHEM,17100.0
CHIP,0.0
CINT,46000.0
CITA,10400.0
CITY,449200.0
CLAY,-7400.0
CLEO,713100.0
CLPI,-5300.0
CMNP,-2400.0
CMNT,148300.0
CMPP,0.0
CMRY,-218400.0
CNKO,-2969900.0
CNMA,-932800.0
CNTB,0.0
CNTX,0.0
COAL,-3109300.0
COCO,600000.0
COIN,2364100.0
COWL,0.0
CPIN,2271300.0
CPRI,0.0
CPRO,-23292600.0
CRAB,89500.0
CRSN,227500.0
CSAP,0.0
CSIS,112800.0
CSMI,38700.0
CSRA,-22100.0
CTBN,-4400.0
CTRA,1391100.0
CTTH,3900.0
CUAN,-7668000.0
CYBR,-304900.0
DAAZ,-57900.0
DADA,0.0
DART,-200.0
DATA,-120500.0
DAYA,-2300.0
DCII,0.0
DEAL,0.0
DEFI,0.0
DEPO,-100.0
DEWA,31960700.0
DEWI,567300.0
DFAM,-1239800.0
DGIK,405900.0
DGNS,-978700.0
DGWG,217600.0
DIGI,0.0
DILD,423900.0
DIVA,-6900.0
DKFT,-699900.0
DKHH,-58900.0
DLTA,-69100.0
DMAS,-8357500.0
DMMX,-2400.0
DMND,19300.0
DNAR,-296400.0
DNET,100.0
DOID,-795100.0
DOOH,4104200.0
DOSS,-148500.0
DPNS,0.0
DPUM,0.0
DRMA,-61600.0
DSFI,-13615000.0
DSNG,-1090600.0
DSSA,-83100.0
DUCK,0.0
DUTI,-100.0
DVLA,-9800.0
DWGL,0.0
DYAN,-370200.0
EAST,0.0
ECII,0.0
EDGE,-9200.0
EKAD,0.0
ELIT,-35300.0
ELPI,204200.0
ELSA,-11851300.0
ELTY,-7653700.0
EMAS,-4712400.0
EMDE,400200.0
EMTK,-17288100.0
ENAK,0.0
ENRG,-4419300.0
ENVY,0.0
ENZO,0.0
EPAC,0.0
EPMT,400.0
ERAA,-8998000.0
ERAL,3251300.0
ERTX,702000.0
ESIP,8600.0
ESSA,-6394000.0
ESTA,47400.0
ESTI,-8800.0
ETWA,0.0
EURO,-1700.0
EXCL,1212300.0
