Ticker,ForeignNet
AADI,991000.0
AALI,119500.0
ABBA,0.0
ABDA,0.0
ABMM,250800.0
ACES,-2370700.0
ACRO,566700.0
ACST,-274400.0
ADCP,0.0
ADES,1000.0
ADHI,199700.0
ADMF,0.0
ADMG,-45600.0
ADMR,-1695600.0
ADRO,-4536100.0
AEGS,0.0
AGAR,-140700.0
AGII,0.0
AGRO,-941700.0
AGRS,200000.0
AHAP,-10798400.0
AIMS,34500.0
AISA,-23700.0
AKKU,0.0
AKPI,0.0
AKRA,-6302800.0
AKSI,0.0
ALDO,-100.0
ALII,102300.0
ALKA,-173200.0
ALMI,0.0
ALTO,0.0
AMAG,-1100.0
AMAN,-773600.0
AMAR,-3500.0
AMFG,0.0
AMIN,0.0
AMMN,-7790500.0
AMMS,-22600.0
AMOR,17100.0
AMRT,7833500.0
ANDI,0.0
ANJT,-10600.0
ANTM,-4224700.0
APEX,-2711900.0
APIC,136900.0
APII,41800.0
APLI,-12700.0
APLN,-5212900.0
ARCI,-8664100.0
AREA,-5500.0
ARGO,400.0
ARII,148700.0
ARKA,0.0
ARKO,519500.0
ARMY,0.0
ARNA,-1058700.0
ARTA,1400.0
ARTI,0.0
ARTO,-929800.0
ASBI,0.0
ASDM,4000.0
ASGR,130500.0
ASHA,3368500.0
ASII,-338100.0
ASJT,50100.0
ASLC,396000.0
ASLI,-1579500.0
ASMI,0.0
ASPI,0.0
ASPR,1299300.0
ASRI,366300.0
ASRM,0.0
ASSA,-803300.0
ATAP,-382700.0
ATIC,-19100.0
ATLA,577000.0
AUTO,-159400.0
AVIA,-2698800.0
AWAN,-82400.0
AXIO,0.0
AYAM,-2159500.0
AYLS,-340100.0
BABP,-44432600.0
BABY,163400.0
BACA,-309200.0
BAIK,522700.0
BAJA,1800.0
BALI,19200.0
BANK,-690800.0
BAPA,200.0
BAPI,0.0
BATA,0.0
BATR,800.0
BAUT,0.0
BAYU,0.0
BBCA,-38049200.0
BBHI,-29200.0
BBKP,5269000.0
BBLD,-900.0
BBMD,100.0
BBNI,-13801800.0
BBRI,-22448200.0
BBRM,477200.0
BBSI,-2600.0
BBSS,12900.0
BBTN,-3647000.0
BBYB,-1950200.0
BCAP,-2460300.0
BCIC,-6400.0
BCIP,-372100.0
BDKR,-61100.0
BDMN,-373500.0
BEBS,0.0
BEEF,-571900.0
BEER,-2300.0
BEKS,0.0
BELI,-174100.0
BELL,-610900.0
BESS,-15000.0
BEST,-1019200.0
BFIN,-2686800.0
BGTG,-1038200.0
BHAT,-4200.0
BHIT,-950000.0
BIKA,0.0
BIKE,-148900.0
BIMA,0.0
BINA,-200.0
BINO,-9500.0
BIPI,69119800.0
BIPP,560700.0
BIRD,14700.0
BISI,-3200.0
BJBR,-923100.0
BJTM,-11800.0
BKDP,0.0
BKSL,-23252500.0
BKSW,4339200.0
BLES,-49900.0
BLOG,-8200.0
BLTA,0.0
BLTZ,0.0
BLUE,-159700.0
BMAS,0.0
BMBL,0.0
BMHS,-82700.0
BMRI,8111900.0
BMSR,0.0
BMTR,818400.0
BNBA,-54400.0
BNBR,75804200.0
BNGA,112300.0
BNII,16200.0
BNLI,0.0
BOAT,-604700.0
BOBA,0.0
BOGA,0.0
BOLA,41200.0
BOLT,0.0
BOSS,0.0
BPFI,0.0
BPII,-900.0
BPTR,0.0
BRAM,0.0
BREN,-977300.0
BRIS,3000000.0
BRMS,-19015000.0
BRNA,800.0
BRPT,10894900.0
BRRC,123700.0
BSBK,77000.0
BSDE,-3585700.0
BSIM,-12600.0
BSML,-1432400.0
BSSR,-2700.0
BSWD,0.0
BTEK,0.0
BTEL,0.0
BTON,0.0
BTPN,0.0
BTPS,4283200.0
BUAH,0.0
BUDI,0.0
BUKA,-26213700.0
BUKK,12400.0
BULL,-43193300.0
BUMI,-586435100.0
BUVA,-6086900.0
BVIC,-341000.0
BWPT,-19474300.0
BYAN,-27300.0
CAKK,0.0
CAMP,-8100.0
CANI,0.0
CARE,-391700.0
CARS,561300.0
CASA,-26000.0
CASH,-142600.0
CASS,-268600.0
CBDK,-588600.0
CBMF,0.0
CBPE,66600.0
CBRE,4488600.0
CBUT,-100.0
CCSI,-46200.0
CDIA,6640500.0
CEKA,12000.0
CENT,477000.0
CFIN,-50000.0
CGAS,1583800.0
CHEK,-238300.0
CHEM,150000.0
CHIP,0.0
CINT,-4700.0
CITA,-102400.0
CITY,100700.0
CLAY,-6800.0
CLEO,74600.0
CLPI,0.0
CMNP,0.0
CMNT,521900.0
CMPP,0.0
CMRY,-3282800.0
CNKO,0.0
CNMA,-206000.0
CNTB,0.0
CNTX,0.0
COAL,2662500.0
COCO,0.0
COIN,-616400.0
COWL,0.0
CPIN,2328500.0
CPRI,0.0
CPRO,-6488800.0
CRAB,0.0
CRSN,-1600.0
CSAP,0.0
CSIS,-175600.0
CSMI,0.0
CSRA,-213800.0
CTBN,0.0
CTRA,-890400.0
CTTH,-448500.0
CUAN,13474500.0
CYBR,-98100.0
DAAZ,184000.0
DADA,0.0
DART,0.0
DATA,-218500.0
DAYA,0.0
DCII,0.0
DEAL,0.0
DEFI,-27900.0
DEPO,-5500.0
DEWA,-161720500.0
DEWI,-1531800.0
DFAM,-54000.0
DGIK,370000.0
DGNS,-153600.0
DGWG,-1723600.0
DIGI,0.0
DILD,741200.0
DIVA,-21200.0
DKFT,-3210800.0
DKHH,-317600.0
DLTA,-6400.0
DMAS,-767400.0
DMMX,0.0
DMND,0.0
DNAR,-400.0
DNET,1800.0
DOID,-417400.0
DOOH,-8608600.0
DOSS,20000.0
DPNS,0.0
DPUM,527600.0
DRMA,-332000.0
DSFI,-292400.0
DSNG,1392900.0
DSSA,-7900.0
DUCK,0.0
DUTI,0.0
DVLA,0.0
DWGL,-616300.0
DYAN,94600.0
EAST,0.0
ECII,0.0
EDGE,0.0
EKAD,0.0
ELIT,-266900.0
ELPI,141100.0
ELSA,-12701100.0
ELTY,0.0
EMAS,184400.0
EMDE,-445900.0
EMTK,-1970700.0
ENAK,0.0
ENRG,12210500.0
ENVY,0.0
ENZO,97300.0
EPAC,0.0
EPMT,0.0
ERAA,-10677000.0
ERAL,394500.0
ERTX,75200.0
ESIP,-2200.0
ESSA,-4144300.0
ESTA,-37700.0
ESTI,299400.0
ETWA,0.0
EURO,-157400.0
EXCL,-5941300.0
FAPA,6300.0
FAST,28300.0
FASW,0.0
FILM,5529300.0
FIMP,0.0
FIRE,1184500.0
FISH,0.0
FITT,0.0
FLMC,0.0
FMII,0.0
FOLK,646200.0
FOOD,0.0
FORE,-655200.0
FORU,24000.0
FPNI,-173400.0
FUJI,-74400.0
FUTR,-2160100.0
FWCT,-81400.0
GAMA,0.0
GDST,-2200.0
GDYR,-11500.0
GEMA,-900.0
GEMS,-4700.0
GGRM,-219000.0
GGRP,2300.0
GHON,800.0
GIAA,94400.0
GJTL,-361600.0
GLOB,0.0
GLVA,0.0
GMFI,0.0
GMTD,-100.0
GOLD,0.0
GOLF,407800.0
GOLL,0.0
GOOD,100.0
GOTO,-204546500.0
GOTOM,0.0
GPRA,-3642300.0
GPSO,-373800.0
GRIA,-93700.0
GRPH,-1130500.0
GRPM,-18200.0
GSMF,-1400.0
GTBO,64400.0
GTRA,-60400.0
GTSI,3447700.0
GULA,-467100.0
GUNA,16000.0
GWSA,-185800.0
GZCO,-541600.0
HADE,0.0
HAIS,-225100.0
HAJJ,-296000.0
HALO,0.0
HATM,-469100.0
HBAT,-40800.0
