Symbol,Sector
AALI,OTHER
ABBA,OTHER
ABDA,OTHER
ABMM,OTHER
ACES,OTHER
ACST,OTHER
ADES,OTHER
ADHI,OTHER
AISA,OTHER
AKKU,OTHER
AKPI,OTHER
AKRA,OTHER
AKSI,OTHER
ALDO,OTHER
ALKA,OTHER
ALMI,OTHER
ALTO,OTHER
AMAG,OTHER
AMFG,OTHER
AMIN,OTHER
AMRT,OTHER
ANJT,OTHER
ANTM,MATERIALS
APEX,OTHER
APIC,OTHER
APII,OTHER
APLI,OTHER
APLN,OTHER
ARGO,OTHER
ARII,OTHER
ARNA,OTHER
ARTA,OTHER
ARTI,OTHER
ARTO,OTHER
ASBI,OTHER
ASDM,OTHER
ASGR,OTHER
ASII,OTHER
ASJT,OTHER
ASMI,OTHER
ASRI,OTHER
ASRM,OTHER
ASSA,OTHER
ATIC,OTHER
AUTO,OTHER
BABP,OTHER
BACA,OTHER
BAJA,OTHER
BALI,OTHER
BAPA,OTHER
BATA,OTHER
BAYU,OTHER
BBCA,BANKS
BBHI,BANKS
BBKP,BANKS
BBLD,BANKS
BBMD,BANKS
BBNI,BANKS
BBRI,BANKS
BBRM,BANKS
BBTN,BANKS
BBYB,BANKS
BCAP,OTHER
BCIC,OTHER
BCIP,OTHER
BDMN,OTHER
BEKS,OTHER
BEST,OTHER
BFIN,OTHER
BGTG,OTHER
BHIT,OTHER
BIKA,OTHER
BIMA,OTHER
BINA,OTHER
BIPI,OTHER
BIPP,OTHER
BIRD,OTHER
BISI,OTHER
BJBR,OTHER
BJTM,OTHER
BKDP,OTHER
BKSL,OTHER
BKSW,OTHER
BLTA,OTHER
BLTZ,OTHER
BMAS,OTHER
BMRI,OTHER
BMSR,OTHER
BMTR,OTHER
BNBA,OTHER
BNBR,OTHER
BNGA,OTHER
BNII,OTHER
BNLI,OTHER
BOLT,OTHER
BPFI,OTHER
BPII,OTHER
BRAM,OTHER
BRMS,OTHER
BRNA,OTHER
BRPT,OTHER
BSDE,OTHER
BSIM,OTHER
BSSR,OTHER
BSWD,OTHER
BTEK,OTHER
BTEL,OTHER
BTON,OTHER
BTPN,OTHER
