Date,Close,High,Low,Open,Volume
2025-11-20,6475.0,6650.0,6475.0,6475.0,20985900
2025-11-21,6475.0,6525.0,6425.0,6450.0,20979800
2025-11-24,7100.0,7100.0,6500.0,6500.0,103840900
2025-11-25,6800.0,7025.0,6800.0,7025.0,28352700
2025-11-26,6950.0,6975.0,6800.0,6800.0,18357800
2025-11-27,6950.0,7000.0,6850.0,6950.0,13818800
2025-11-28,6600.0,6825.0,6500.0,6550.0,30197000
2025-12-01,6450.0,6600.0,6350.0,6550.0,23429700
2025-12-02,6675.0,6700.0,6450.0,6450.0,28524700
2025-12-03,6525.0,6700.0,6500.0,6675.0,18737900
2025-12-04,6400.0,6550.0,6350.0,6525.0,20347400
2025-12-05,6475.0,6475.0,6350.0,6425.0,13262400
2025-12-08,6300.0,6500.0,6275.0,6475.0,33725400
2025-12-09,6200.0,6450.0,6150.0,6400.0,30535800
2025-12-10,6300.0,6350.0,6125.0,6225.0,28581900
2025-12-11,6350.0,6375.0,6075.0,6300.0,25535500
2025-12-12,6725.0,6950.0,6250.0,6350.0,59828400
2025-12-15,6500.0,6900.0,6500.0,6825.0,32022600
2025-12-16,6650.0,6725.0,6500.0,6550.0,43642900
2025-12-17,6550.0,6825.0,6550.0,6700.0,25012600
2025-12-18,6150.0,6625.0,6150.0,6625.0,48343900
2025-12-19,6325.0,6475.0,6175.0,6175.0,114313300
2025-12-22,6500.0,6500.0,6250.0,6400.0,22451100
2025-12-23,6350.0,6550.0,6300.0,6525.0,19272600
2025-12-24,6200.0,6450.0,6200.0,6400.0,17252800
2025-12-29,6650.0,6750.0,6225.0,6250.0,41691400
2025-12-30,6425.0,6600.0,6400.0,6550.0,23731700
2026-01-02,6800.0,6825.0,6450.0,6500.0,20750200
2026-01-05,7000.0,7050.0,6775.0,6875.0,27245500
2026-01-06,7750.0,8100.0,7075.0,7100.0,120596800
2026-01-07,7975.0,8125.0,7800.0,8025.0,82484700
2026-01-08,7900.0,8450.0,7775.0,7950.0,64232300
2026-01-09,8150.0,8250.0,7900.0,7975.0,37280700
2026-01-12,7925.0,8450.0,7400.0,8300.0,43065700
2026-01-13,8100.0,8175.0,7850.0,8050.0,35237100
2026-01-14,8075.0,8250.0,7950.0,8100.0,22473400
2026-01-15,8025.0,8250.0,7925.0,8150.0,24119000
2026-01-19,7650.0,8100.0,7500.0,8050.0,43676300
2026-01-20,7625.0,7725.0,7375.0,7650.0,33450000
2026-01-21,7600.0,7750.0,7500.0,7725.0,25449400
2026-01-22,7675.0,7975.0,7525.0,7600.0,31901600
2026-01-23,7200.0,7800.0,6925.0,7800.0,59590800
2026-01-26,7850.0,8000.0,7250.0,7250.0,58402900
2026-01-27,7800.0,7900.0,7550.0,7900.0,27470700
2026-01-28,7000.0,7825.0,6650.0,6650.0,89848800
2026-01-29,7150.0,7200.0,6200.0,7000.0,53064400
2026-01-30,7600.0,7600.0,7050.0,7150.0,40339300
2026-02-02,6475.0,7200.0,6475.0,7200.0,43852100
2026-02-03,6875.0,6925.0,6325.0,6600.0,28835800
2026-02-04,7475.0,7475.0,6825.0,6925.0,33951100
2026-02-05,7350.0,7550.0,7150.0,7400.0,13583700
2026-02-06,7250.0,7250.0,6900.0,6900.0,14166800
2026-02-09,7425.0,7450.0,7150.0,7275.0,13034400
2026-02-10,7650.0,7650.0,7400.0,7450.0,15910300
2026-02-11,7800.0,7800.0,7600.0,7650.0,13972200
2026-02-12,7775.0,7825.0,7525.0,7775.0,17078500
2026-02-13,7550.0,7650.0,7400.0,7625.0,16432700
2026-02-18,7525.0,7550.0,7300.0,7425.0,17284400
2026-02-19,7675.0,7725.0,7450.0,7500.0,18632100
2026-02-20,7900.0,7975.0,7625.0,7700.0,18268100
