Date,Close,High,Low,Open,Volume
2025-11-10,1885.0,1920.0,1875.0,1915.0,52298700
2025-11-11,1855.0,1895.0,1855.0,1895.0,59392900
2025-11-12,1910.0,1920.0,1860.0,1865.0,41836600
2025-11-13,1895.0,1925.0,1890.0,1920.0,33061000
2025-11-14,1865.0,1900.0,1865.0,1895.0,22844500
2025-11-17,1855.0,1895.0,1855.0,1875.0,22978500
2025-11-18,1860.0,1880.0,1850.0,1860.0,33913000
2025-11-19,1885.0,1895.0,1860.0,1875.0,19845900
2025-11-20,1840.0,1895.0,1840.0,1890.0,42749600
2025-11-21,1830.0,1855.0,1825.0,1845.0,31362500
2025-11-24,1870.0,1890.0,1825.0,1835.0,79110500
2025-11-25,1850.0,1885.0,1835.0,1875.0,33209700
2025-11-26,1835.0,1855.0,1825.0,1840.0,35469800
2025-11-27,1810.0,1845.0,1800.0,1835.0,38515100
2025-11-28,1800.0,1820.0,1780.0,1815.0,43014000
2025-12-01,1785.0,1810.0,1780.0,1800.0,39847000
2025-12-02,1805.0,1815.0,1790.0,1790.0,32182100
2025-12-03,1840.0,1845.0,1820.0,1820.0,31159800
2025-12-04,1850.0,1860.0,1840.0,1850.0,30075900
2025-12-05,1845.0,1855.0,1825.0,1850.0,35267100
2025-12-08,1935.0,1935.0,1875.0,1890.0,75794200
2025-12-09,1930.0,1945.0,1900.0,1940.0,29492800
2025-12-10,1925.0,1935.0,1910.0,1930.0,34795300
2025-12-11,1910.0,1930.0,1875.0,1925.0,57223600
2025-12-12,1900.0,1915.0,1890.0,1910.0,29323900
2025-12-15,1900.0,1905.0,1895.0,1905.0,18814100
2025-12-16,1905.0,1920.0,1895.0,1900.0,39472200
2025-12-17,1910.0,1920.0,1900.0,1910.0,19677400
2025-12-18,1915.0,1920.0,1910.0,1915.0,15671900
2025-12-19,1920.0,1970.0,1900.0,1920.0,70729600
2025-12-22,1965.0,1980.0,1930.0,1935.0,37306900
2025-12-23,1955.0,1975.0,1935.0,1970.0,17663800
2025-12-24,1960.0,1985.0,1960.0,1960.0,17195200
2025-12-29,1955.0,1975.0,1945.0,1965.0,16544500
2025-12-30,1975.0,2010.0,1950.0,1960.0,48866600
2026-01-02,1985.0,1995.0,1975.0,1985.0,10501900
2026-01-05,2000.0,2000.0,1985.0,1985.0,16412600
2026-01-06,1995.0,2020.0,1990.0,2020.0,30344000
2026-01-07,1995.0,2010.0,1985.0,2000.0,29010200
2026-01-08,1975.0,2010.0,1970.0,1995.0,37594900
2026-01-09,1955.0,1995.0,1955.0,1985.0,27339500
2026-01-12,1940.0,1965.0,1910.0,1960.0,24878800
2026-01-13,1975.0,1975.0,1940.0,1945.0,12686300
2026-01-14,1990.0,2000.0,1950.0,2000.0,13493500
2026-01-15,1980.0,1990.0,1940.0,1990.0,23147900
2026-01-19,1940.0,1980.0,1940.0,1980.0,17745400
2026-01-20,1930.0,1950.0,1930.0,1940.0,30271600
2026-01-21,1940.0,1945.0,1920.0,1930.0,28307400
2026-01-22,1950.0,1960.0,1940.0,1955.0,19947900
2026-01-23,1935.0,1950.0,1935.0,1950.0,35002800
2026-01-26,1925.0,1940.0,1910.0,1935.0,29407200
2026-01-27,1870.0,1930.0,1860.0,1925.0,41749400
2026-01-28,1735.0,1895.0,1705.0,1850.0,111395600
2026-01-29,1640.0,1720.0,1475.0,1715.0,153665600
2026-01-30,1745.0,1795.0,1645.0,1645.0,80156400
2026-02-02,1725.0,1845.0,1705.0,1845.0,50891300
2026-02-03,1750.0,1755.0,1705.0,1725.0,27038700
2026-02-04,1730.0,1775.0,1730.0,1745.0,24859100
2026-02-05,1770.0,1830.0,1740.0,1740.0,40363500
2026-02-06,1810.0,1815.0,1755.0,1770.0,27402100
2026-02-09,1920.0,1945.0,1810.0,1810.0,48588800
2026-02-10,1950.0,1950.0,1880.0,1935.0,15963800
