Date,Close,High,Low,Open,Volume
2025-11-10,6425.0,6500.0,6400.0,6500.0,45533400
2025-11-11,6525.0,6600.0,6450.0,6550.0,43529600
2025-11-12,6450.0,6575.0,6400.0,6550.0,37083400
2025-11-13,6375.0,6425.0,6350.0,6425.0,21200000
2025-11-14,6400.0,6450.0,6325.0,6375.0,23431700
2025-11-17,6450.0,6500.0,6375.0,6400.0,40681500
2025-11-18,6425.0,6550.0,6400.0,6475.0,27510900
2025-11-19,6400.0,6475.0,6275.0,6425.0,45476700
2025-11-20,6425.0,6500.0,6375.0,6450.0,30547700
2025-11-21,6425.0,6425.0,6325.0,6400.0,43653200
2025-11-24,6475.0,6525.0,6425.0,6500.0,71721700
2025-11-25,6450.0,6475.0,6375.0,6425.0,20954400
2025-11-26,6600.0,6600.0,6425.0,6500.0,29331000
2025-11-27,6575.0,6600.0,6450.0,6600.0,23737100
2025-11-28,6550.0,6600.0,6500.0,6600.0,38378700
2025-12-01,6375.0,6500.0,6325.0,6375.0,38669000
2025-12-02,6625.0,6625.0,6500.0,6575.0,53567600
2025-12-03,6600.0,6650.0,6550.0,6600.0,24386200
2025-12-04,6725.0,6725.0,6550.0,6575.0,38510600
2025-12-05,6700.0,6900.0,6700.0,6725.0,67707300
2025-12-08,6725.0,6825.0,6625.0,6825.0,38776000
2025-12-09,6600.0,6775.0,6450.0,6775.0,38482800
2025-12-10,6625.0,6725.0,6550.0,6700.0,34524000
2025-12-11,6450.0,6675.0,6350.0,6650.0,42116700
2025-12-12,6600.0,6600.0,6425.0,6550.0,28841900
2025-12-15,6600.0,6725.0,6525.0,6725.0,38096700
2025-12-16,6600.0,6600.0,6500.0,6575.0,34723600
2025-12-17,6600.0,6600.0,6500.0,6550.0,32681400
2025-12-18,6500.0,6600.0,6475.0,6600.0,20454400
2025-12-19,6525.0,6575.0,6425.0,6575.0,61201100
2025-12-22,6575.0,6600.0,6450.0,6450.0,30755900
2025-12-23,6500.0,6575.0,6450.0,6500.0,13756700
2025-12-24,6625.0,6675.0,6450.0,6450.0,20273000
2025-12-29,6675.0,6725.0,6600.0,6625.0,20982300
2025-12-30,6700.0,6725.0,6600.0,6675.0,23486000
2026-01-02,6800.0,6800.0,6600.0,6600.0,19569100
2026-01-05,6875.0,6875.0,6675.0,6775.0,30633400
2026-01-06,6900.0,6900.0,6700.0,6875.0,33964700
2026-01-07,7025.0,7075.0,6800.0,6800.0,55249800
2026-01-08,7000.0,7100.0,6975.0,7025.0,30845500
2026-01-09,6875.0,7100.0,6825.0,7000.0,29171000
2026-01-12,7000.0,7000.0,6900.0,6925.0,24915100
2026-01-13,7300.0,7300.0,7025.0,7075.0,65659900
2026-01-14,7125.0,7225.0,7025.0,7200.0,40658400
2026-01-15,7050.0,7200.0,7000.0,7200.0,26410300
2026-01-19,7400.0,7475.0,7175.0,7200.0,51590900
2026-01-20,7275.0,7375.0,7225.0,7350.0,21167100
2026-01-21,6600.0,6800.0,6300.0,6300.0,269454100
2026-01-22,6775.0,6850.0,6625.0,6700.0,70220500
2026-01-23,6825.0,6900.0,6650.0,6800.0,52227800
2026-01-26,6875.0,6875.0,6700.0,6850.0,55468700
2026-01-27,6300.0,6800.0,6225.0,6775.0,145465800
2026-01-28,6175.0,6475.0,5775.0,6200.0,200262500
2026-01-29,6475.0,6475.0,5725.0,6200.0,136295200
2026-01-30,6350.0,6550.0,6300.0,6525.0,101087200
2026-02-02,6275.0,6400.0,6175.0,6350.0,71571500
2026-02-03,6800.0,6800.0,6325.0,6375.0,63526500
2026-02-04,6675.0,6825.0,6625.0,6800.0,58211100
2026-02-05,6950.0,7000.0,6725.0,6725.0,72792600
2026-02-06,6700.0,6800.0,6575.0,6800.0,49547300
2026-02-09,6650.0,6750.0,6525.0,6750.0,34797900
2026-02-10,6850.0,6850.0,6650.0,6700.0,45371100
