Date,Close,High,Low,Open,Volume
2025-11-26,75.0,77.0,73.0,75.0,335137200
2025-11-27,73.0,78.0,73.0,75.0,375069200
2025-11-28,73.0,75.0,72.0,74.0,129185600
2025-12-01,74.0,75.0,73.0,73.0,155711700
2025-12-02,74.0,75.0,72.0,74.0,182181300
2025-12-03,72.0,74.0,72.0,74.0,117659200
2025-12-04,72.0,73.0,71.0,72.0,114412600
2025-12-05,72.0,74.0,72.0,72.0,115683200
2025-12-08,75.0,76.0,72.0,73.0,287015900
2025-12-09,77.0,77.0,74.0,75.0,362673000
2025-12-10,75.0,80.0,75.0,77.0,387455300
2025-12-11,73.0,76.0,72.0,75.0,238460400
2025-12-12,75.0,76.0,73.0,73.0,166343800
2025-12-15,81.0,82.0,75.0,75.0,1264782400
2025-12-16,79.0,86.0,78.0,84.0,1001529300
2025-12-17,80.0,83.0,77.0,79.0,638573000
2025-12-18,79.0,81.0,78.0,80.0,263283500
2025-12-19,76.0,80.0,76.0,79.0,198202400
2025-12-22,76.0,77.0,76.0,76.0,113679900
2025-12-23,76.0,77.0,75.0,76.0,147538300
2025-12-24,77.0,79.0,75.0,76.0,308784000
2025-12-29,78.0,80.0,77.0,78.0,230307100
2025-12-30,77.0,78.0,77.0,78.0,105712100
2026-01-02,78.0,78.0,76.0,77.0,245904200
2026-01-05,81.0,83.0,76.0,78.0,647998500
2026-01-06,89.0,94.0,83.0,83.0,2859136200
2026-01-07,85.0,90.0,85.0,90.0,618946100
2026-01-08,89.0,93.0,87.0,90.0,1027221600
2026-01-09,88.0,91.0,87.0,90.0,316139500
2026-01-12,89.0,91.0,86.0,88.0,890986300
2026-01-13,90.0,94.0,89.0,90.0,1000318400
2026-01-14,93.0,94.0,88.0,91.0,733175100
2026-01-15,94.0,98.0,92.0,94.0,1186863700
2026-01-19,92.0,95.0,89.0,95.0,619739000
2026-01-20,90.0,93.0,89.0,93.0,313260200
2026-01-21,86.0,91.0,86.0,91.0,654248500
2026-01-22,83.0,89.0,83.0,87.0,537108700
2026-01-23,85.0,86.0,80.0,84.0,397018100
2026-01-26,81.0,86.0,81.0,86.0,225348600
2026-01-27,81.0,83.0,80.0,81.0,149573100
2026-01-28,77.0,81.0,75.0,80.0,498386000
2026-01-29,75.0,77.0,66.0,76.0,480742400
2026-01-30,75.0,78.0,74.0,76.0,350901700
2026-02-02,72.0,76.0,70.0,76.0,250099900
2026-02-03,75.0,75.0,70.0,73.0,169347000
2026-02-04,75.0,76.0,73.0,75.0,103441500
2026-02-05,74.0,76.0,73.0,76.0,94964500
2026-02-06,73.0,74.0,72.0,72.0,82319600
2026-02-09,72.0,74.0,71.0,73.0,61933900
2026-02-10,74.0,76.0,72.0,72.0,149549700
2026-02-11,75.0,76.0,73.0,75.0,97613300
2026-02-12,74.0,75.0,73.0,75.0,85020500
2026-02-13,73.0,74.0,72.0,74.0,44590200
2026-02-18,73.0,75.0,73.0,73.0,73865700
2026-02-19,73.0,74.0,73.0,74.0,56752300
2026-02-20,73.0,74.0,72.0,73.0,83427600
2026-02-23,76.0,77.0,73.0,73.0,269614200
2026-02-24,74.0,76.0,73.0,75.0,137726400
2026-02-25,75.0,76.0,73.0,74.0,83716900
2026-02-26,74.0,75.0,73.0,75.0,98469500
