Date,Close,High,Low,Open,Volume
2025-11-20,4460.0,4560.0,4450.0,4470.0,54706000
2025-11-21,4390.0,4450.0,4370.0,4450.0,45565700
2025-11-24,4390.0,4440.0,4350.0,4400.0,76652700
2025-11-25,4420.0,4450.0,4370.0,4420.0,36142900
2025-11-26,4410.0,4420.0,4370.0,4420.0,31686100
2025-11-27,4350.0,4420.0,4300.0,4420.0,33618200
2025-11-28,4260.0,4350.0,4260.0,4330.0,40758200
2025-12-01,4310.0,4350.0,4240.0,4240.0,19335100
2025-12-02,4270.0,4360.0,4250.0,4340.0,39091800
2025-12-03,4260.0,4290.0,4240.0,4270.0,28263900
2025-12-04,4310.0,4320.0,4240.0,4260.0,23544900
2025-12-05,4290.0,4360.0,4290.0,4330.0,28877500
2025-12-08,4310.0,4360.0,4290.0,4360.0,28219300
2025-12-09,4320.0,4330.0,4260.0,4310.0,34461400
2025-12-10,4310.0,4350.0,4270.0,4350.0,19908000
2025-12-11,4230.0,4390.0,4190.0,4350.0,43389300
2025-12-12,4240.0,4290.0,4170.0,4290.0,23240100
2025-12-15,4440.0,4450.0,4230.0,4270.0,57531500
2025-12-16,4400.0,4460.0,4330.0,4440.0,36287500
2025-12-17,4370.0,4420.0,4340.0,4400.0,27653900
2025-12-18,4380.0,4440.0,4360.0,4360.0,45694900
2025-12-19,4340.0,4410.0,4320.0,4380.0,47290300
2025-12-22,4330.0,4360.0,4290.0,4330.0,28113800
2025-12-23,4290.0,4320.0,4250.0,4290.0,26801700
2025-12-24,4270.0,4330.0,4260.0,4260.0,18160600
2025-12-29,4260.0,4320.0,4260.0,4270.0,24490400
2025-12-30,4370.0,4380.0,4250.0,4260.0,44229200
2026-01-02,4260.0,4350.0,4260.0,4340.0,32693200
2026-01-05,4230.0,4270.0,4210.0,4260.0,48778200
2026-01-06,4240.0,4260.0,4200.0,4230.0,53908900
2026-01-07,4200.0,4240.0,4200.0,4200.0,39295200
2026-01-08,4210.0,4270.0,4200.0,4200.0,40059400
2026-01-09,4180.0,4240.0,4180.0,4230.0,35407500
2026-01-12,4220.0,4250.0,4190.0,4190.0,24965900
2026-01-13,4340.0,4340.0,4240.0,4250.0,76022000
2026-01-14,4360.0,4390.0,4310.0,4340.0,41778700
2026-01-15,4540.0,4600.0,4370.0,4380.0,132483000
2026-01-19,4620.0,4720.0,4510.0,4540.0,123397300
2026-01-20,4570.0,4640.0,4560.0,4620.0,67785900
2026-01-21,4590.0,4590.0,4500.0,4570.0,54281000
2026-01-22,4590.0,4670.0,4590.0,4600.0,60255300
2026-01-23,4600.0,4610.0,4520.0,4590.0,37564400
2026-01-26,4530.0,4600.0,4520.0,4590.0,79139000
2026-01-27,4500.0,4540.0,4470.0,4530.0,40655600
2026-01-28,4440.0,4550.0,4270.0,4380.0,114151800
2026-01-29,4420.0,4460.0,3990.0,4310.0,242945800
2026-01-30,4490.0,4590.0,4430.0,4450.0,167017600
2026-02-02,4500.0,4580.0,4370.0,4570.0,85790700
2026-02-03,4590.0,4630.0,4380.0,4570.0,82653800
2026-02-04,4630.0,4650.0,4570.0,4590.0,92915700
2026-02-05,4570.0,4730.0,4570.0,4630.0,94551800
2026-02-06,4530.0,4560.0,4470.0,4510.0,59930200
2026-02-09,4520.0,4570.0,4450.0,4570.0,51513700
2026-02-10,4510.0,4540.0,4480.0,4520.0,38280100
2026-02-11,4480.0,4510.0,4460.0,4500.0,54082900
2026-02-12,4510.0,4510.0,4470.0,4480.0,27571700
2026-02-13,4480.0,4510.0,4470.0,4510.0,25116200
2026-02-18,4490.0,4540.0,4480.0,4510.0,38802300
2026-02-19,4450.0,4550.0,4450.0,4520.0,54011700
2026-02-20,4470.0,4500.0,4420.0,4450.0,48070400
