Date,Close,High,Low,Open,Volume
2025-11-10,384.0,394.0,380.0,390.0,101268300
2025-11-11,376.0,384.0,372.0,384.0,66491000
2025-11-12,380.0,390.0,376.0,378.0,63956900
2025-11-13,378.0,388.0,376.0,378.0,80913200
2025-11-14,372.0,380.0,370.0,376.0,60219000
2025-11-17,376.0,382.0,370.0,370.0,57063400
2025-11-18,372.0,380.0,372.0,376.0,28059100
2025-11-19,368.0,376.0,368.0,372.0,31701100
2025-11-20,380.0,382.0,370.0,370.0,60344500
2025-11-21,382.0,386.0,374.0,380.0,43887500
2025-11-24,384.0,392.0,378.0,382.0,73270200
2025-11-25,394.0,396.0,384.0,392.0,83770500
2025-11-26,396.0,406.0,392.0,398.0,126551700
2025-11-27,494.0,494.0,410.0,410.0,1233827400
2025-11-28,434.0,545.0,428.0,525.0,1168513600
2025-12-01,422.0,446.0,422.0,438.0,223325500
2025-12-02,448.0,456.0,424.0,426.0,325282300
2025-12-03,436.0,452.0,430.0,448.0,114963400
2025-12-04,428.0,440.0,426.0,438.0,62888700
2025-12-05,432.0,436.0,426.0,426.0,50706700
2025-12-08,438.0,444.0,432.0,434.0,69728300
2025-12-09,432.0,442.0,432.0,442.0,59971600
2025-12-10,460.0,472.0,428.0,434.0,357506500
2025-12-11,468.0,525.0,460.0,470.0,657149900
2025-12-12,470.0,498.0,470.0,484.0,267957900
2025-12-15,565.0,575.0,500.0,510.0,1402119400
2025-12-16,590.0,615.0,520.0,565.0,853956800
2025-12-17,540.0,610.0,540.0,605.0,491692100
2025-12-18,515.0,575.0,510.0,520.0,248737400
2025-12-19,482.0,525.0,472.0,515.0,308915900
2025-12-22,472.0,494.0,468.0,484.0,190159500
2025-12-23,474.0,496.0,472.0,472.0,162863500
2025-12-24,456.0,478.0,456.0,474.0,107141100
2025-12-29,470.0,474.0,456.0,456.0,80632000
2025-12-30,480.0,505.0,470.0,470.0,203701800
2026-01-02,480.0,490.0,472.0,480.0,83069800
2026-01-05,515.0,515.0,470.0,480.0,237297600
2026-01-06,500.0,545.0,500.0,525.0,300894200
2026-01-07,500.0,520.0,500.0,505.0,105412100
2026-01-08,488.0,530.0,484.0,520.0,154343800
2026-01-09,482.0,496.0,482.0,490.0,80064200
2026-01-12,472.0,490.0,466.0,482.0,164067000
2026-01-13,470.0,480.0,466.0,472.0,70478600
2026-01-14,474.0,488.0,468.0,470.0,77593100
2026-01-15,500.0,505.0,476.0,476.0,234356900
2026-01-19,505.0,530.0,486.0,505.0,294451100
2026-01-20,488.0,525.0,488.0,520.0,146523800
2026-01-21,472.0,486.0,472.0,484.0,99225700
2026-01-22,462.0,482.0,462.0,476.0,87535900
2026-01-23,440.0,468.0,432.0,464.0,120781100
2026-01-26,428.0,456.0,428.0,440.0,74666700
2026-01-27,428.0,438.0,406.0,428.0,84619900
2026-01-28,400.0,424.0,384.0,420.0,115465900
2026-01-29,392.0,404.0,340.0,402.0,138412100
2026-01-30,392.0,416.0,388.0,396.0,96965200
2026-02-02,362.0,400.0,354.0,400.0,81624400
2026-02-03,384.0,386.0,348.0,364.0,59192400
2026-02-04,390.0,394.0,378.0,384.0,38264400
2026-02-05,384.0,406.0,382.0,392.0,82296500
2026-02-06,370.0,380.0,366.0,374.0,51757000
2026-02-09,362.0,376.0,356.0,370.0,77414200
