Date,Close,High,Low,Open,Volume
2025-11-10,80.0,81.0,79.0,81.0,94005400
2025-11-11,83.0,86.0,79.0,81.0,610201600
2025-11-12,82.0,84.0,81.0,83.0,486424600
2025-11-13,84.0,86.0,80.0,82.0,568971200
2025-11-14,84.0,85.0,83.0,84.0,185226900
2025-11-17,85.0,86.0,84.0,85.0,285654200
2025-11-18,83.0,86.0,82.0,85.0,186766100
2025-11-19,81.0,83.0,81.0,83.0,71662000
2025-11-20,82.0,83.0,81.0,81.0,205174000
2025-11-21,91.0,98.0,81.0,82.0,2400827900
2025-11-24,92.0,95.0,88.0,92.0,750763200
2025-11-25,90.0,95.0,88.0,90.0,628451400
2025-11-26,91.0,92.0,88.0,90.0,249399400
2025-11-27,96.0,100.0,91.0,93.0,1094526700
2025-11-28,94.0,99.0,93.0,97.0,324916900
2025-12-01,92.0,95.0,91.0,94.0,190302600
2025-12-02,92.0,94.0,91.0,92.0,115328200
2025-12-03,90.0,94.0,90.0,93.0,130565800
2025-12-04,91.0,93.0,89.0,90.0,152071400
2025-12-05,91.0,93.0,90.0,91.0,140078700
2025-12-08,90.0,92.0,89.0,91.0,259874000
2025-12-09,90.0,91.0,89.0,91.0,155160100
2025-12-10,88.0,91.0,87.0,91.0,386997900
2025-12-11,86.0,89.0,86.0,89.0,230848600
2025-12-12,89.0,91.0,85.0,86.0,207597100
2025-12-15,87.0,90.0,86.0,89.0,273545900
2025-12-16,88.0,90.0,87.0,88.0,107428000
2025-12-17,92.0,97.0,88.0,89.0,641068700
2025-12-18,89.0,93.0,89.0,92.0,280074100
2025-12-19,87.0,90.0,87.0,90.0,208760700
2025-12-22,87.0,88.0,86.0,88.0,180608400
2025-12-23,86.0,87.0,85.0,87.0,86111800
2025-12-24,85.0,86.0,83.0,86.0,121889800
2025-12-29,88.0,88.0,83.0,84.0,79786500
2025-12-30,86.0,89.0,86.0,89.0,48323600
2026-01-02,92.0,94.0,86.0,86.0,286715500
2026-01-05,124.0,124.0,92.0,93.0,2833196900
2026-01-06,167.0,167.0,131.0,136.0,3768939700
2026-01-07,180.0,198.0,147.0,160.0,5244314500
2026-01-08,180.0,180.0,180.0,180.0,0
2026-01-09,202.0,228.0,190.0,195.0,3512355200
2026-01-12,202.0,202.0,202.0,202.0,0
2026-01-13,202.0,202.0,202.0,202.0,0
2026-01-14,202.0,202.0,202.0,202.0,0
2026-01-15,202.0,202.0,202.0,202.0,0
2026-01-19,202.0,202.0,202.0,202.0,0
2026-01-20,202.0,202.0,202.0,202.0,0
2026-01-21,202.0,202.0,202.0,202.0,0
2026-01-22,222.0,222.0,222.0,222.0,972129100
2026-01-23,230.0,230.0,200.0,200.0,1169142100
2026-01-26,210.0,240.0,210.0,240.0,344075600
2026-01-27,220.0,220.0,210.0,210.0,275081800
2026-01-28,198.0,198.0,198.0,198.0,59668400
2026-01-29,179.0,179.0,179.0,179.0,61080500
2026-01-30,196.0,196.0,196.0,196.0,383314900
2026-02-02,167.0,190.0,167.0,190.0,240736100
2026-02-03,160.0,170.0,142.0,142.0,5863700700
2026-02-04,136.0,157.0,136.0,152.0,3073371500
2026-02-05,141.0,151.0,126.0,127.0,3155579900
2026-02-06,124.0,138.0,121.0,130.0,1143370000
2026-02-09,131.0,133.0,117.0,129.0,866479700
2026-02-10,152.0,152.0,130.0,131.0,1300458000
