Date,Close,High,Low,Open,Volume
2025-12-12,150.0,159.0,147.0,154.0,1928973100
2025-12-15,137.0,150.0,130.0,150.0,5322207500
2025-12-16,140.0,148.0,134.0,137.0,2887262200
2025-12-17,136.0,143.0,135.0,142.0,1108383700
2025-12-18,133.0,140.0,133.0,137.0,811019300
2025-12-19,135.0,139.0,128.0,133.0,1090680800
2025-12-22,134.0,138.0,133.0,137.0,537721400
2025-12-23,134.0,139.0,131.0,135.0,672860800
2025-12-24,132.0,137.0,132.0,136.0,441685300
2025-12-29,140.0,142.0,134.0,134.0,1095123200
2025-12-30,139.0,145.0,138.0,141.0,952326900
2026-01-02,149.0,150.0,143.0,143.0,1463498300
2026-01-05,150.0,153.0,145.0,150.0,1751883200
2026-01-06,145.0,151.0,144.0,150.0,909693700
2026-01-07,144.0,148.0,141.0,145.0,770430500
2026-01-08,146.0,154.0,140.0,140.0,1866451400
2026-01-09,147.0,151.0,146.0,147.0,1254639900
2026-01-12,164.0,173.0,148.0,148.0,6823593000
2026-01-13,160.0,173.0,157.0,169.0,4280944100
2026-01-14,161.0,164.0,158.0,160.0,894092400
2026-01-15,152.0,161.0,152.0,160.0,1108191700
2026-01-19,153.0,157.0,149.0,151.0,1022582000
2026-01-20,153.0,157.0,151.0,154.0,874736200
2026-01-21,145.0,152.0,142.0,151.0,1375344300
2026-01-22,151.0,157.0,145.0,145.0,1562461400
2026-01-23,158.0,161.0,151.0,156.0,2691848900
2026-01-26,161.0,166.0,156.0,160.0,1635269900
2026-01-27,179.0,179.0,161.0,161.0,4174595500
2026-01-28,153.0,169.0,153.0,153.0,3571244800
2026-01-29,155.0,159.0,131.0,140.0,3358227200
2026-01-30,151.0,166.0,150.0,157.0,2507959700
2026-02-02,129.0,150.0,129.0,150.0,2303939700
2026-02-03,136.0,138.0,112.0,125.0,2278790500
2026-02-04,145.0,145.0,133.0,134.0,1231461800
2026-02-05,139.0,148.0,138.0,145.0,921924300
2026-02-06,131.0,137.0,129.0,130.0,648184400
2026-02-09,133.0,137.0,128.0,135.0,418109300
2026-02-10,136.0,142.0,133.0,134.0,639068300
2026-02-11,141.0,145.0,136.0,139.0,1062561500
2026-02-12,151.0,154.0,142.0,142.0,1829511000
2026-02-13,145.0,155.0,145.0,152.0,1258322900
2026-02-18,150.0,153.0,145.0,145.0,697100600
2026-02-19,147.0,152.0,145.0,152.0,560260900
2026-02-20,144.0,149.0,142.0,147.0,393397300
2026-02-23,142.0,147.0,142.0,144.0,354025500
2026-02-24,137.0,143.0,136.0,142.0,536262400
2026-02-25,143.0,145.0,133.0,137.0,687797800
2026-02-26,134.0,147.0,133.0,146.0,1036626100
2026-02-27,135.0,138.0,132.0,134.0,379024100
2026-03-02,122.0,132.0,121.0,128.0,872358400
2026-03-03,121.0,126.0,119.0,120.0,562647700
2026-03-04,116.0,122.0,113.0,121.0,557877300
2026-03-05,122.0,125.0,120.0,121.0,319550500
2026-03-06,117.0,121.0,115.0,119.0,229723100
2026-03-09,106.0,111.0,102.0,110.0,713607200
2026-03-10,112.0,114.0,108.0,112.0,253195800
2026-03-11,116.0,120.0,111.0,113.0,355257800
2026-03-12,112.0,117.0,112.0,116.0,185198400
