Date,Close,High,Low,Open,Volume
2025-11-11,10025.0,10350.0,9900.0,10325.0,39156400
2025-11-12,9925.0,10100.0,9875.0,10050.0,24978600
2025-11-13,9900.0,10025.0,9725.0,9975.0,39026800
2025-11-14,9750.0,9900.0,9750.0,9825.0,18481200
2025-11-17,9725.0,9925.0,9675.0,9800.0,24739000
2025-11-18,9625.0,9800.0,9575.0,9750.0,22462800
2025-11-19,9675.0,9775.0,9600.0,9725.0,23150100
2025-11-20,9800.0,9875.0,9675.0,9775.0,47084000
2025-11-21,9850.0,9900.0,9675.0,9800.0,53431000
2025-11-24,10125.0,10125.0,9775.0,10025.0,694632000
2025-11-25,9650.0,10125.0,9625.0,10125.0,34782900
2025-11-26,9575.0,9850.0,9400.0,9850.0,41654800
2025-11-27,9525.0,9600.0,9400.0,9525.0,23357600
2025-11-28,9575.0,9625.0,9450.0,9575.0,21597800
2025-12-01,9550.0,9625.0,9400.0,9625.0,10400800
2025-12-02,9650.0,9650.0,9525.0,9550.0,18978500
2025-12-03,9625.0,9700.0,9525.0,9675.0,8797100
2025-12-04,9450.0,9625.0,9450.0,9600.0,5266400
2025-12-05,9625.0,9650.0,9450.0,9450.0,7697300
2025-12-08,9650.0,9650.0,9500.0,9625.0,7491700
2025-12-09,9575.0,9600.0,9425.0,9525.0,10046600
2025-12-10,9625.0,9650.0,9450.0,9550.0,9881100
2025-12-11,9450.0,9650.0,9450.0,9650.0,7489400
2025-12-12,9575.0,9600.0,9450.0,9550.0,12996800
2025-12-15,9500.0,9650.0,9475.0,9625.0,8838100
2025-12-16,9800.0,9800.0,9300.0,9450.0,22256800
2025-12-17,9725.0,9875.0,9600.0,9825.0,8889900
2025-12-18,9450.0,9700.0,9450.0,9675.0,7204600
2025-12-19,9375.0,9550.0,9325.0,9475.0,11809000
2025-12-22,9500.0,9550.0,9350.0,9400.0,7242700
2025-12-23,9425.0,9575.0,9375.0,9575.0,5424200
2025-12-24,9325.0,9450.0,9300.0,9450.0,4142600
2025-12-29,9525.0,9625.0,9325.0,9325.0,7204500
2025-12-30,9700.0,9700.0,9475.0,9600.0,10900100
2026-01-02,9675.0,9800.0,9650.0,9700.0,5601000
2026-01-05,9650.0,9700.0,9500.0,9700.0,6321800
2026-01-06,9575.0,9650.0,9525.0,9600.0,6441000
2026-01-07,9600.0,9600.0,9425.0,9575.0,7914600
2026-01-08,9550.0,9700.0,9500.0,9550.0,9401800
2026-01-09,9475.0,9550.0,9450.0,9550.0,6306400
2026-01-12,9000.0,9475.0,8550.0,9475.0,14459900
2026-01-13,9200.0,9200.0,8650.0,9000.0,12282600
2026-01-14,9650.0,9800.0,9500.0,9700.0,30130800
2026-01-15,9700.0,9700.0,9450.0,9650.0,15750100
2026-01-19,9575.0,9650.0,9475.0,9550.0,14129000
2026-01-20,9500.0,9600.0,9450.0,9575.0,9699100
2026-01-21,9300.0,9500.0,9225.0,9500.0,10705000
2026-01-22,9500.0,9500.0,9300.0,9375.0,13300300
2026-01-23,9300.0,9500.0,8875.0,9500.0,16082000
2026-01-26,9375.0,9475.0,9225.0,9300.0,9753300
2026-01-27,9500.0,9600.0,9375.0,9450.0,27099500
2026-01-28,8300.0,8800.0,8075.0,8100.0,37142800
2026-01-29,8675.0,9200.0,7075.0,7450.0,44811400
2026-01-30,8525.0,8875.0,8325.0,8850.0,36041400
2026-02-02,8325.0,8550.0,7800.0,8550.0,23613300
2026-02-03,8225.0,8350.0,7900.0,8200.0,21094900
2026-02-04,8200.0,8600.0,8150.0,8225.0,15842900
2026-02-05,8250.0,8275.0,8125.0,8250.0,7653100
2026-02-06,8025.0,8175.0,7900.0,8175.0,11159500
2026-02-09,8050.0,8125.0,7900.0,8025.0,4484400
2026-02-10,8000.0,8075.0,7925.0,8050.0,6433400
2026-02-11,8300.0,8350.0,7975.0,8000.0,26345300
