Date,Close,High,Low,Open,Volume
2025-11-19,2460.0,2480.0,2450.0,2470.0,6991600
2025-11-20,2450.0,2480.0,2450.0,2460.0,14356100
2025-11-21,2420.0,2450.0,2390.0,2450.0,22051000
2025-11-24,2400.0,2430.0,2380.0,2420.0,14519100
2025-11-25,2390.0,2410.0,2370.0,2400.0,11256900
2025-11-26,2380.0,2400.0,2370.0,2390.0,6414800
2025-11-27,2370.0,2430.0,2350.0,2390.0,13918800
2025-11-28,2340.0,2390.0,2340.0,2380.0,9237100
2025-12-01,2380.0,2400.0,2330.0,2340.0,10863600
2025-12-02,2380.0,2410.0,2370.0,2390.0,14042800
2025-12-03,2340.0,2380.0,2340.0,2380.0,10767600
2025-12-04,2360.0,2370.0,2320.0,2340.0,10809600
2025-12-05,2330.0,2370.0,2330.0,2370.0,4737900
2025-12-08,2330.0,2360.0,2330.0,2350.0,8581500
2025-12-09,2250.0,2350.0,2250.0,2350.0,25143400
2025-12-10,2250.0,2290.0,2230.0,2280.0,17806000
2025-12-11,2210.0,2280.0,2190.0,2270.0,17863600
2025-12-12,2160.0,2210.0,2150.0,2200.0,25638900
2025-12-15,2290.0,2300.0,2160.0,2170.0,44711900
2025-12-16,2240.0,2330.0,2220.0,2310.0,32146500
2025-12-17,2250.0,2270.0,2240.0,2270.0,9561900
2025-12-18,2270.0,2320.0,2250.0,2250.0,20789600
2025-12-19,2240.0,2290.0,2240.0,2280.0,8412200
2025-12-22,2220.0,2260.0,2220.0,2250.0,6589700
2025-12-23,2240.0,2240.0,2220.0,2220.0,4594800
2025-12-24,2230.0,2250.0,2220.0,2240.0,5906300
2025-12-29,2260.0,2280.0,2220.0,2230.0,10623900
2025-12-30,2230.0,2270.0,2220.0,2260.0,9629600
2026-01-02,2160.0,2240.0,2160.0,2230.0,29916900
2026-01-05,2180.0,2200.0,2120.0,2150.0,22066800
2026-01-06,2150.0,2210.0,2130.0,2180.0,45186400
2026-01-07,2170.0,2190.0,2150.0,2160.0,15519300
2026-01-08,2130.0,2180.0,2130.0,2170.0,27483800
2026-01-09,2080.0,2140.0,2070.0,2130.0,40644200
2026-01-12,2150.0,2160.0,2090.0,2090.0,28387300
2026-01-13,2110.0,2160.0,2100.0,2160.0,14165900
2026-01-14,2250.0,2270.0,2100.0,2110.0,56332400
2026-01-15,2290.0,2330.0,2240.0,2250.0,69989100
2026-01-19,2260.0,2320.0,2250.0,2300.0,30893700
2026-01-20,2230.0,2280.0,2230.0,2270.0,15889700
2026-01-21,2210.0,2240.0,2170.0,2230.0,20407900
2026-01-22,2220.0,2260.0,2180.0,2210.0,26684600
2026-01-23,2250.0,2260.0,2210.0,2240.0,38542800
2026-01-26,2250.0,2260.0,2200.0,2250.0,33129400
2026-01-27,2230.0,2260.0,2210.0,2250.0,17975700
2026-01-28,2100.0,2230.0,2070.0,2210.0,51763400
2026-01-29,2120.0,2130.0,1790.0,2100.0,65366000
2026-01-30,2250.0,2270.0,2120.0,2120.0,45111800
2026-02-02,2250.0,2280.0,2160.0,2250.0,41084100
2026-02-03,2220.0,2270.0,2200.0,2260.0,22069900
2026-02-04,2400.0,2430.0,2230.0,2250.0,126595000
2026-02-05,2400.0,2470.0,2360.0,2420.0,107683600
2026-02-06,2380.0,2420.0,2310.0,2330.0,30688100
2026-02-09,2410.0,2420.0,2330.0,2410.0,40961600
2026-02-10,2450.0,2450.0,2390.0,2410.0,29142200
2026-02-11,2400.0,2480.0,2390.0,2450.0,30621200
2026-02-12,2380.0,2400.0,2360.0,2400.0,10545500
2026-02-13,2350.0,2390.0,2340.0,2370.0,14370500
2026-02-18,2380.0,2380.0,2340.0,2350.0,11894900
2026-02-19,2350.0,2380.0,2320.0,2380.0,17806700
