Date,Close,High,Low,Open,Volume
2025-11-25,3430.0,3540.0,3380.0,3540.0,118096700
2025-11-26,3510.0,3560.0,3350.0,3430.0,141644200
2025-11-27,3600.0,3690.0,3530.0,3540.0,178728200
2025-11-28,3580.0,3630.0,3530.0,3620.0,64254900
2025-12-01,3470.0,3590.0,3460.0,3580.0,78951200
2025-12-02,3500.0,3580.0,3470.0,3470.0,76271500
2025-12-03,3490.0,3540.0,3470.0,3530.0,63285400
2025-12-04,3500.0,3530.0,3470.0,3500.0,52000400
2025-12-05,3500.0,3570.0,3470.0,3520.0,46752300
2025-12-08,3400.0,3510.0,3390.0,3500.0,101462900
2025-12-09,3500.0,3500.0,3380.0,3410.0,118520700
2025-12-10,3720.0,3830.0,3460.0,3550.0,419284100
2025-12-11,3640.0,3820.0,3600.0,3810.0,166435800
2025-12-12,3710.0,3750.0,3610.0,3680.0,112869000
2025-12-15,3600.0,3940.0,3540.0,3710.0,355384400
2025-12-16,3640.0,3640.0,3550.0,3620.0,59925800
2025-12-17,3510.0,3650.0,3510.0,3640.0,74493500
2025-12-18,3450.0,3540.0,3450.0,3510.0,52359700
2025-12-19,3510.0,3540.0,3400.0,3460.0,88942300
2025-12-22,3440.0,3520.0,3430.0,3490.0,42852500
2025-12-23,3280.0,3460.0,3280.0,3450.0,75260100
2025-12-24,3130.0,3320.0,3120.0,3310.0,88357400
2025-12-29,3280.0,3320.0,3150.0,3160.0,55989100
2025-12-30,3270.0,3440.0,3230.0,3290.0,78234300
2026-01-02,3190.0,3310.0,3180.0,3300.0,84250300
2026-01-05,3190.0,3240.0,3160.0,3190.0,67372100
2026-01-06,3150.0,3220.0,3130.0,3200.0,88790700
2026-01-07,3050.0,3180.0,3010.0,3160.0,136811700
2026-01-08,3090.0,3250.0,2970.0,2990.0,123550300
2026-01-09,3100.0,3180.0,3050.0,3160.0,65776300
2026-01-12,2880.0,3140.0,2790.0,3120.0,145931800
2026-01-13,2810.0,2920.0,2700.0,2920.0,151446100
2026-01-14,2830.0,2900.0,2790.0,2850.0,73817500
2026-01-15,2830.0,2890.0,2750.0,2840.0,82956100
2026-01-19,2950.0,3030.0,2780.0,2830.0,151574500
2026-01-20,2900.0,3060.0,2880.0,3000.0,152341300
2026-01-21,2860.0,2930.0,2820.0,2850.0,65189000
2026-01-22,2750.0,3020.0,2750.0,2900.0,152078100
2026-01-23,2590.0,2760.0,2470.0,2750.0,180776300
2026-01-26,2580.0,2670.0,2520.0,2600.0,78433600
2026-01-27,2700.0,2710.0,2580.0,2590.0,82745700
2026-01-28,2300.0,2390.0,2300.0,2300.0,181051200
2026-01-29,2200.0,2310.0,1955.0,1955.0,787849100
2026-01-30,2160.0,2280.0,2070.0,2280.0,156714100
2026-02-02,1840.0,2160.0,1840.0,2160.0,137518200
2026-02-03,1980.0,2000.0,1720.0,1800.0,145588000
2026-02-04,2130.0,2170.0,2030.0,2090.0,134290400
2026-02-05,2100.0,2250.0,2080.0,2120.0,131798300
2026-02-06,1945.0,2070.0,1900.0,2030.0,112571900
2026-02-09,1995.0,2040.0,1920.0,1960.0,54460900
2026-02-10,2030.0,2080.0,1985.0,2000.0,54320600
2026-02-11,2280.0,2340.0,2040.0,2050.0,247586500
2026-02-12,2200.0,2330.0,2160.0,2290.0,119903300
2026-02-13,2150.0,2200.0,2120.0,2150.0,78790200
2026-02-18,2150.0,2210.0,2130.0,2150.0,63973200
2026-02-19,2100.0,2180.0,2070.0,2170.0,60660700
2026-02-20,2020.0,2100.0,2010.0,2090.0,58344100
2026-02-23,2140.0,2170.0,2030.0,2030.0,75359700
2026-02-24,2030.0,2170.0,2020.0,2150.0,74603100
2026-02-25,2020.0,2070.0,1965.0,2040.0,68254100
