Date,Close,High,Low,Open,Volume
2025-11-26,300.0,308.0,276.0,286.0,428469400
2025-11-27,296.0,308.0,294.0,300.0,320240300
2025-11-28,302.0,310.0,290.0,298.0,540233000
2025-12-01,314.0,320.0,300.0,308.0,256800500
2025-12-02,304.0,324.0,296.0,314.0,391676800
2025-12-03,300.0,308.0,292.0,304.0,330681800
2025-12-04,326.0,338.0,300.0,302.0,827292300
2025-12-05,320.0,336.0,314.0,334.0,315056400
2025-12-08,322.0,334.0,300.0,320.0,773172300
2025-12-09,312.0,330.0,310.0,326.0,288097500
2025-12-10,326.0,334.0,310.0,316.0,630518500
2025-12-11,326.0,356.0,320.0,332.0,782461900
2025-12-12,352.0,362.0,330.0,332.0,747875800
2025-12-15,362.0,392.0,354.0,378.0,885681800
2025-12-16,412.0,434.0,358.0,368.0,1653855800
2025-12-17,404.0,422.0,402.0,416.0,626812500
2025-12-18,390.0,410.0,382.0,406.0,330851000
2025-12-19,368.0,394.0,364.0,392.0,234785000
2025-12-22,378.0,386.0,368.0,376.0,318493600
2025-12-23,390.0,406.0,382.0,382.0,470466700
2025-12-24,380.0,394.0,372.0,388.0,239561600
2025-12-29,444.0,466.0,388.0,388.0,1327379800
2025-12-30,420.0,460.0,416.0,450.0,698700100
2026-01-02,505.0,510.0,424.0,432.0,1462350100
2026-01-05,530.0,565.0,515.0,515.0,933276400
2026-01-06,510.0,545.0,494.0,535.0,522267800
2026-01-07,525.0,560.0,498.0,515.0,686079900
2026-01-08,600.0,600.0,505.0,525.0,945615300
2026-01-09,615.0,640.0,600.0,610.0,657682000
2026-01-12,575.0,650.0,525.0,620.0,995787600
2026-01-13,560.0,595.0,525.0,575.0,461956100
2026-01-14,640.0,660.0,555.0,570.0,894094000
2026-01-15,630.0,660.0,615.0,645.0,515726900
2026-01-19,630.0,645.0,590.0,635.0,374251300
2026-01-20,685.0,685.0,625.0,640.0,579670600
2026-01-21,645.0,665.0,630.0,645.0,376961700
2026-01-22,580.0,650.0,565.0,650.0,527660700
2026-01-23,550.0,580.0,494.0,580.0,656198400
2026-01-26,500.0,580.0,500.0,560.0,415069900
2026-01-27,550.0,560.0,480.0,505.0,383415200
2026-01-28,468.0,530.0,468.0,468.0,629715200
2026-01-29,488.0,494.0,398.0,412.0,1195667900
2026-01-30,492.0,530.0,470.0,510.0,723573700
2026-02-02,420.0,484.0,420.0,484.0,361744500
2026-02-03,448.0,456.0,358.0,414.0,923589600
2026-02-04,410.0,448.0,388.0,418.0,505180800
2026-02-05,408.0,432.0,402.0,410.0,185174400
2026-02-06,368.0,402.0,360.0,364.0,290963900
2026-02-09,400.0,406.0,368.0,378.0,368431600
2026-02-10,430.0,438.0,392.0,400.0,493300100
2026-02-11,438.0,458.0,422.0,432.0,831565400
2026-02-12,432.0,446.0,424.0,440.0,240934100
2026-02-13,450.0,478.0,422.0,426.0,666578300
2026-02-18,555.0,555.0,460.0,460.0,1208237000
2026-02-19,535.0,560.0,515.0,560.0,604382400
2026-02-20,510.0,545.0,505.0,535.0,324344700
2026-02-23,535.0,565.0,520.0,520.0,738858900
2026-02-24,520.0,555.0,505.0,535.0,698795200
2026-02-25,535.0,545.0,505.0,520.0,539063700
2026-02-26,525.0,590.0,510.0,540.0,1428368500
