Date,Close,High,Low,Open,Volume
2025-11-27,1375.0,1375.0,1375.0,1375.0,0
2025-11-28,1375.0,1375.0,1375.0,1375.0,0
2025-12-01,1375.0,1375.0,1375.0,1375.0,0
2025-12-02,1375.0,1375.0,1375.0,1375.0,0
2025-12-03,1390.0,1390.0,1350.0,1375.0,99815900
2025-12-04,1400.0,1405.0,1385.0,1390.0,59753000
2025-12-05,1540.0,1540.0,1400.0,1400.0,70107000
2025-12-08,1560.0,1600.0,1560.0,1565.0,65758300
2025-12-09,1595.0,1600.0,1540.0,1600.0,52543400
2025-12-10,1685.0,1690.0,1600.0,1600.0,78730000
2025-12-11,1800.0,1810.0,1750.0,1750.0,66466000
2025-12-12,1590.0,1850.0,1530.0,1820.0,364711300
2025-12-15,1355.0,1645.0,1355.0,1605.0,242943600
2025-12-16,1470.0,1540.0,1390.0,1390.0,232800200
2025-12-17,1395.0,1510.0,1325.0,1500.0,235279800
2025-12-18,1340.0,1555.0,1325.0,1495.0,306529600
2025-12-19,1260.0,1370.0,1210.0,1360.0,160016000
2025-12-22,1390.0,1410.0,1215.0,1280.0,147197700
2025-12-23,1320.0,1400.0,1285.0,1400.0,91063200
2025-12-24,1230.0,1310.0,1225.0,1310.0,99190500
2025-12-29,1320.0,1335.0,1185.0,1235.0,74775400
2025-12-30,1390.0,1475.0,1290.0,1350.0,198462500
2026-01-02,1495.0,1495.0,1395.0,1405.0,123168200
2026-01-05,1500.0,1575.0,1435.0,1525.0,190972200
2026-01-06,1585.0,1650.0,1490.0,1515.0,188991400
2026-01-07,1530.0,1640.0,1530.0,1620.0,109421400
2026-01-08,1490.0,1555.0,1475.0,1500.0,85137400
2026-01-09,1720.0,1750.0,1475.0,1490.0,379170300
2026-01-12,1685.0,1830.0,1535.0,1725.0,405714100
2026-01-13,1545.0,1725.0,1490.0,1720.0,236557100
2026-01-14,1740.0,1760.0,1595.0,1630.0,187329700
2026-01-15,1885.0,2000.0,1765.0,1800.0,343309400
2026-01-19,1840.0,1920.0,1825.0,1910.0,97042900
2026-01-20,2130.0,2250.0,1765.0,1810.0,456662900
2026-01-21,2170.0,2320.0,2060.0,2140.0,323021000
2026-01-22,1980.0,2300.0,1945.0,2180.0,346565500
2026-01-23,1845.0,1940.0,1790.0,1940.0,242168600
2026-01-26,1600.0,1900.0,1575.0,1850.0,341059100
2026-01-27,1700.0,1760.0,1510.0,1600.0,239121900
2026-01-28,1445.0,1445.0,1445.0,1445.0,51532400
2026-01-29,1230.0,1380.0,1230.0,1230.0,882483800
2026-01-30,1240.0,1395.0,1200.0,1305.0,445759500
2026-02-02,1055.0,1250.0,1055.0,1200.0,139272200
2026-02-03,1190.0,1200.0,900.0,900.0,1129458900
2026-02-04,1015.0,1185.0,1015.0,1110.0,397552600
2026-02-05,1020.0,1115.0,1000.0,1015.0,207375500
2026-02-06,925.0,1080.0,895.0,1000.0,307421500
2026-02-09,1130.0,1130.0,910.0,970.0,517238200
2026-02-10,1120.0,1210.0,1080.0,1130.0,451999300
2026-02-11,1295.0,1350.0,1110.0,1120.0,693315900
2026-02-12,1290.0,1325.0,1245.0,1295.0,297337100
2026-02-13,1335.0,1415.0,1255.0,1275.0,385397900
2026-02-18,1450.0,1515.0,1355.0,1360.0,359976500
2026-02-19,1450.0,1510.0,1430.0,1490.0,226550400
2026-02-20,1390.0,1470.0,1370.0,1450.0,160521100
2026-02-23,1475.0,1520.0,1410.0,1445.0,249297200
2026-02-24,1445.0,1520.0,1400.0,1485.0,327432400
2026-02-25,1660.0,1680.0,1430.0,1465.0,604710300
2026-02-26,1415.0,1695.0,1415.0,1685.0,670070200
2026-02-27,1435.0,1450.0,1250.0,1350.0,458676300
