Date,Close,High,Low,Open,Volume
2025-11-10,3320.0,3450.0,3090.0,3090.0,119520000
2025-11-11,3200.0,3440.0,3150.0,3420.0,57693200
2025-11-12,3190.0,3400.0,3070.0,3200.0,72108300
2025-11-13,3320.0,3400.0,3170.0,3190.0,72197700
2025-11-14,3270.0,3540.0,3250.0,3350.0,163536500
2025-11-17,3390.0,3530.0,3230.0,3250.0,85471100
2025-11-18,3270.0,3500.0,3250.0,3470.0,101606800
2025-11-19,3580.0,3610.0,3290.0,3290.0,223577700
2025-11-20,3460.0,3720.0,3450.0,3630.0,140460200
2025-11-21,3330.0,3520.0,3320.0,3460.0,65325300
2025-11-24,3320.0,3400.0,3270.0,3330.0,37740400
2025-11-25,3550.0,3560.0,3320.0,3360.0,92429600
2025-11-26,3460.0,3570.0,3440.0,3550.0,40934300
2025-11-27,3550.0,3630.0,3410.0,3500.0,67880200
2025-11-28,3570.0,3720.0,3480.0,3620.0,62508500
2025-12-01,3680.0,3800.0,3590.0,3650.0,116438900
2025-12-02,3630.0,3770.0,3600.0,3710.0,51138000
2025-12-03,3560.0,3720.0,3540.0,3650.0,39877200
2025-12-04,3470.0,3600.0,3390.0,3580.0,48862600
2025-12-05,3900.0,3970.0,3510.0,3520.0,166624400
2025-12-08,4350.0,4380.0,3940.0,4020.0,162603700
2025-12-09,4610.0,4740.0,4180.0,4350.0,151939700
2025-12-10,4090.0,4800.0,3960.0,4630.0,282959000
2025-12-11,4090.0,4250.0,4050.0,4100.0,97992800
2025-12-12,3910.0,4150.0,3890.0,4080.0,62413100
2025-12-15,3800.0,4080.0,3780.0,3910.0,46670600
2025-12-16,4160.0,4170.0,3780.0,3810.0,89313200
2025-12-17,4140.0,4240.0,4030.0,4200.0,60363700
2025-12-18,4000.0,4130.0,3950.0,4130.0,25610500
2025-12-19,3850.0,4080.0,3850.0,4000.0,27807600
2025-12-22,3850.0,3950.0,3760.0,3870.0,29289400
2025-12-23,3810.0,3860.0,3750.0,3850.0,18194000
2025-12-24,3590.0,3860.0,3590.0,3850.0,28021200
2025-12-29,3880.0,3910.0,3590.0,3590.0,32569400
2025-12-30,3880.0,3920.0,3770.0,3880.0,13954100
2026-01-02,3940.0,3950.0,3830.0,3930.0,14582500
2026-01-05,4060.0,4150.0,3840.0,3940.0,51295200
2026-01-06,3980.0,4090.0,3930.0,4060.0,17581100
2026-01-07,3530.0,3970.0,3500.0,3970.0,108872600
2026-01-08,3320.0,3520.0,3230.0,3500.0,65086000
2026-01-09,3330.0,3470.0,3300.0,3310.0,23595700
2026-01-12,3000.0,3300.0,2980.0,3300.0,64586300
2026-01-13,3020.0,3180.0,2980.0,3050.0,26170100
2026-01-14,3200.0,3240.0,3040.0,3050.0,24822200
2026-01-15,3090.0,3220.0,3020.0,3210.0,19680500
2026-01-19,2950.0,3070.0,2890.0,3070.0,33676800
2026-01-20,2970.0,3070.0,2940.0,2950.0,19705700
2026-01-21,2900.0,3030.0,2850.0,2990.0,17702700
2026-01-22,2750.0,2940.0,2720.0,2900.0,17752300
2026-01-23,2720.0,2750.0,2590.0,2750.0,17772500
2026-01-26,2610.0,2890.0,2600.0,2730.0,23079700
2026-01-27,2670.0,2710.0,2480.0,2610.0,19596900
2026-01-28,2270.0,2410.0,2270.0,2270.0,45976500
2026-01-29,2080.0,2210.0,1930.0,1940.0,72545600
2026-01-30,2410.0,2420.0,2070.0,2100.0,40589700
2026-02-02,2050.0,2420.0,2050.0,2410.0,34156000
2026-02-03,1915.0,2030.0,1745.0,1755.0,78788200
2026-02-04,1965.0,2060.0,1910.0,1920.0,23089400
2026-02-05,2120.0,2240.0,1970.0,1970.0,36404200
2026-02-06,1805.0,1990.0,1805.0,1950.0,67384200
2026-02-09,1770.0,1840.0,1600.0,1815.0,38339500
2026-02-10,1795.0,1845.0,1705.0,1770.0,18582200
