Date,Close,High,Low,Open,Volume
2025-11-19,2160.0,2160.0,2050.0,2100.0,52180200
2025-11-20,2230.0,2320.0,2180.0,2200.0,186043200
2025-11-21,2260.0,2300.0,2190.0,2230.0,86158700
2025-11-24,2380.0,2430.0,2300.0,2310.0,296130000
2025-11-25,2350.0,2410.0,2260.0,2400.0,155865800
2025-11-26,2390.0,2410.0,2330.0,2380.0,100284100
2025-11-27,2580.0,2730.0,2420.0,2420.0,422281200
2025-11-28,2680.0,2710.0,2520.0,2590.0,300397000
2025-12-01,2670.0,2730.0,2580.0,2710.0,134644000
2025-12-02,2740.0,2790.0,2650.0,2670.0,193064500
2025-12-03,2640.0,2780.0,2630.0,2750.0,102066600
2025-12-04,2690.0,2760.0,2580.0,2640.0,122068800
2025-12-05,2690.0,2870.0,2690.0,2750.0,262054600
2025-12-08,2650.0,2750.0,2630.0,2710.0,95274000
2025-12-09,2610.0,2690.0,2550.0,2680.0,102212000
2025-12-10,2540.0,2640.0,2510.0,2610.0,96534800
2025-12-11,2530.0,2620.0,2510.0,2550.0,100696800
2025-12-12,2530.0,2590.0,2490.0,2540.0,62127300
2025-12-15,2350.0,2590.0,2320.0,2570.0,147806800
2025-12-16,2420.0,2450.0,2300.0,2350.0,104751000
2025-12-17,2330.0,2450.0,2320.0,2440.0,70296400
2025-12-18,2230.0,2350.0,2210.0,2330.0,80670600
2025-12-19,2240.0,2310.0,2220.0,2240.0,72822600
2025-12-22,2250.0,2280.0,2220.0,2260.0,33301100
2025-12-23,2260.0,2280.0,2210.0,2260.0,42935400
2025-12-24,2220.0,2310.0,2170.0,2270.0,73118600
2025-12-29,2380.0,2450.0,2280.0,2280.0,94860100
2025-12-30,2340.0,2400.0,2290.0,2390.0,77438200
2026-01-02,2290.0,2370.0,2280.0,2340.0,57293900
2026-01-05,2240.0,2310.0,2220.0,2300.0,52380200
2026-01-06,2200.0,2250.0,2170.0,2240.0,58130500
2026-01-07,2080.0,2210.0,2070.0,2200.0,104848100
2026-01-08,2050.0,2210.0,1990.0,1995.0,112610600
2026-01-09,2010.0,2080.0,2000.0,2070.0,55269500
2026-01-12,1915.0,2070.0,1825.0,2050.0,124426400
2026-01-13,1930.0,1945.0,1855.0,1920.0,77576700
2026-01-14,1910.0,2000.0,1890.0,2000.0,75359800
2026-01-15,1850.0,1915.0,1830.0,1915.0,81694900
2026-01-19,2020.0,2070.0,1850.0,1900.0,177310900
2026-01-20,1970.0,2090.0,1955.0,2010.0,115113600
2026-01-21,1895.0,1965.0,1885.0,1960.0,76914500
2026-01-22,1815.0,1920.0,1805.0,1910.0,106463600
2026-01-23,1735.0,1805.0,1650.0,1800.0,110772900
2026-01-26,1710.0,1755.0,1640.0,1735.0,81516000
2026-01-27,1780.0,1780.0,1675.0,1710.0,68094300
2026-01-28,1560.0,1660.0,1515.0,1515.0,181637100
2026-01-29,1850.0,1880.0,1330.0,1560.0,610781200
2026-01-30,1800.0,1930.0,1685.0,1850.0,274497100
2026-02-02,1530.0,1810.0,1530.0,1805.0,195054000
2026-02-03,1665.0,1720.0,1470.0,1500.0,196174200
2026-02-04,1715.0,1760.0,1670.0,1685.0,94849200
2026-02-05,1710.0,1815.0,1700.0,1715.0,106296500
2026-02-06,1630.0,1735.0,1605.0,1685.0,84023100
2026-02-09,1645.0,1675.0,1615.0,1670.0,41297800
2026-02-10,1640.0,1685.0,1620.0,1640.0,57642000
2026-02-11,1925.0,1930.0,1670.0,1670.0,346104600
2026-02-12,1825.0,1990.0,1810.0,1940.0,241253900
2026-02-13,1810.0,1860.0,1755.0,1805.0,106551500
2026-02-18,1795.0,1860.0,1790.0,1815.0,71990400
2026-02-19,1755.0,1825.0,1755.0,1805.0,81546100
