Date,Close,High,Low,Open,Volume
2025-11-26,50.0,50.0,50.0,50.0,6340700
2025-11-27,50.0,50.0,50.0,50.0,2562100
2025-11-28,50.0,50.0,50.0,50.0,1543200
2025-12-01,50.0,50.0,50.0,50.0,3800100
2025-12-02,50.0,50.0,50.0,50.0,1560000
2025-12-03,50.0,50.0,50.0,50.0,1203300
2025-12-04,50.0,50.0,50.0,50.0,776800
2025-12-05,50.0,50.0,50.0,50.0,25869600
2025-12-08,50.0,50.0,50.0,50.0,2773100
2025-12-09,50.0,50.0,50.0,50.0,2187300
2025-12-10,50.0,50.0,50.0,50.0,2758900
2025-12-11,50.0,50.0,50.0,50.0,1296400
2025-12-12,50.0,50.0,50.0,50.0,5963900
2025-12-15,50.0,50.0,50.0,50.0,6579700
2025-12-16,50.0,50.0,50.0,50.0,2374000
2025-12-17,50.0,50.0,50.0,50.0,5767100
2025-12-18,50.0,50.0,50.0,50.0,3863900
2025-12-19,50.0,50.0,50.0,50.0,1703800
2025-12-22,50.0,50.0,50.0,50.0,9770400
2025-12-23,50.0,50.0,50.0,50.0,6814500
2025-12-24,50.0,50.0,50.0,50.0,2935500
2025-12-29,50.0,50.0,50.0,50.0,8079500
2025-12-30,50.0,50.0,50.0,50.0,5965800
2026-01-02,50.0,50.0,50.0,50.0,26323000
2026-01-05,50.0,50.0,50.0,50.0,24289200
2026-01-06,50.0,50.0,50.0,50.0,13743900
2026-01-07,60.0,67.0,50.0,50.0,9381075100
2026-01-08,63.0,71.0,59.0,60.0,5138642600
2026-01-09,58.0,68.0,58.0,65.0,1410392700
2026-01-12,53.0,63.0,52.0,58.0,1174556500
2026-01-13,53.0,57.0,51.0,55.0,809849500
2026-01-14,51.0,54.0,50.0,53.0,622215900
2026-01-15,51.0,51.0,50.0,51.0,347780200
2026-01-19,50.0,51.0,50.0,51.0,443320000
2026-01-20,50.0,51.0,50.0,50.0,213492600
2026-01-21,50.0,51.0,50.0,50.0,38268700
2026-01-22,50.0,50.0,50.0,50.0,34350500
2026-01-23,50.0,50.0,50.0,50.0,12851600
2026-01-26,50.0,50.0,50.0,50.0,8600200
2026-01-27,50.0,50.0,50.0,50.0,4322200
2026-01-28,50.0,50.0,50.0,50.0,8091200
2026-01-29,50.0,50.0,50.0,50.0,5577100
2026-01-30,50.0,50.0,50.0,50.0,4811600
2026-02-02,50.0,50.0,50.0,50.0,3283600
2026-02-03,50.0,50.0,50.0,50.0,5458100
2026-02-04,50.0,50.0,50.0,50.0,3289100
2026-02-05,50.0,50.0,50.0,50.0,1147400
2026-02-06,50.0,50.0,50.0,50.0,3038800
2026-02-09,50.0,50.0,50.0,50.0,1082100
2026-02-10,50.0,50.0,50.0,50.0,714800
2026-02-11,50.0,50.0,50.0,50.0,1938900
2026-02-12,50.0,50.0,50.0,50.0,1484100
2026-02-13,50.0,50.0,50.0,50.0,2179500
2026-02-18,50.0,50.0,50.0,50.0,2086100
2026-02-19,50.0,50.0,50.0,50.0,1187800
2026-02-20,50.0,50.0,50.0,50.0,1228400
2026-02-23,50.0,50.0,50.0,50.0,1496900
2026-02-24,50.0,50.0,50.0,50.0,3085800
2026-02-25,50.0,50.0,50.0,50.0,1311500
2026-02-26,50.0,50.0,50.0,50.0,1059700
