Date,Close,High,Low,Open,Volume
2025-11-27,426.0,442.0,422.0,430.0,1025084700
2025-11-28,432.0,438.0,422.0,430.0,469683200
2025-12-01,462.0,470.0,432.0,438.0,2806600100
2025-12-02,468.0,472.0,450.0,464.0,1115215500
2025-12-03,460.0,482.0,456.0,470.0,1018454300
2025-12-04,428.0,466.0,428.0,464.0,1535688500
2025-12-05,412.0,426.0,408.0,420.0,1706200200
2025-12-08,458.0,458.0,416.0,416.0,2159144300
2025-12-09,505.0,510.0,466.0,468.0,3326214600
2025-12-10,496.0,545.0,486.0,510.0,3039253300
2025-12-11,545.0,575.0,488.0,496.0,3356341900
2025-12-12,605.0,645.0,560.0,570.0,2627668900
2025-12-15,540.0,620.0,535.0,615.0,2078258900
2025-12-16,540.0,565.0,515.0,540.0,853071300
2025-12-17,560.0,570.0,535.0,550.0,1221008500
2025-12-18,535.0,565.0,525.0,560.0,570817700
2025-12-19,545.0,550.0,515.0,545.0,641676400
2025-12-22,575.0,585.0,550.0,555.0,1311589800
2025-12-23,585.0,620.0,560.0,585.0,1474119100
2025-12-24,560.0,605.0,550.0,600.0,1141215600
2025-12-29,690.0,690.0,570.0,575.0,3462096200
2025-12-30,670.0,745.0,665.0,680.0,2580204500
2026-01-02,750.0,760.0,690.0,690.0,1993908700
2026-01-05,755.0,790.0,735.0,760.0,2024925300
2026-01-06,815.0,825.0,725.0,760.0,2537576500
2026-01-07,800.0,865.0,790.0,830.0,1833637100
2026-01-08,800.0,835.0,785.0,800.0,745635400
2026-01-09,810.0,830.0,800.0,810.0,759304200
2026-01-12,790.0,835.0,695.0,825.0,2030891400
2026-01-13,710.0,790.0,705.0,780.0,1998906700
2026-01-14,750.0,775.0,725.0,730.0,1034701400
2026-01-15,765.0,775.0,725.0,755.0,809404900
2026-01-19,755.0,775.0,730.0,775.0,647145600
2026-01-20,770.0,805.0,760.0,790.0,1114679000
2026-01-21,735.0,765.0,720.0,765.0,741403500
2026-01-22,665.0,750.0,660.0,745.0,1303478900
2026-01-23,685.0,695.0,600.0,665.0,1580535300
2026-01-26,630.0,720.0,630.0,685.0,1470064700
2026-01-27,670.0,680.0,625.0,640.0,905348700
2026-01-28,570.0,625.0,570.0,570.0,1844800500
2026-01-29,525.0,575.0,486.0,510.0,3489631500
2026-01-30,540.0,580.0,505.0,535.0,1118050000
2026-02-02,460.0,545.0,460.0,540.0,1427327000
2026-02-03,525.0,530.0,400.0,438.0,2548714600
2026-02-04,505.0,535.0,492.0,505.0,929693300
2026-02-05,500.0,525.0,496.0,505.0,515434900
2026-02-06,464.0,498.0,462.0,480.0,645985500
2026-02-09,500.0,510.0,458.0,472.0,833371600
2026-02-10,505.0,535.0,488.0,490.0,1174521900
2026-02-11,565.0,580.0,505.0,510.0,1455028300
2026-02-12,565.0,585.0,555.0,575.0,805864200
2026-02-13,620.0,625.0,540.0,560.0,1359097400
2026-02-18,630.0,655.0,625.0,635.0,783832800
2026-02-19,640.0,655.0,630.0,635.0,590392700
2026-02-20,615.0,645.0,610.0,640.0,415335700
2026-02-23,615.0,640.0,610.0,630.0,361890500
2026-02-24,560.0,630.0,560.0,615.0,1070919200
2026-02-25,555.0,585.0,540.0,545.0,1002859600
2026-02-26,525.0,570.0,515.0,565.0,747575900
2026-02-27,525.0,540.0,500.0,520.0,960661700
