Date,Close,High,Low,Open,Volume
2025-11-24,515.0,525.0,515.0,520.0,22331700
2025-11-25,515.0,520.0,505.0,520.0,20164500
2025-11-26,510.0,520.0,510.0,515.0,17771300
2025-11-27,510.0,515.0,505.0,510.0,23711600
2025-11-28,505.0,510.0,505.0,510.0,12850200
2025-12-01,510.0,515.0,500.0,505.0,16934600
2025-12-02,510.0,515.0,505.0,515.0,11359700
2025-12-03,505.0,515.0,505.0,515.0,13766800
2025-12-04,505.0,515.0,505.0,510.0,20128600
2025-12-05,505.0,515.0,505.0,510.0,13517600
2025-12-08,505.0,515.0,505.0,510.0,13451100
2025-12-09,505.0,510.0,500.0,510.0,20800500
2025-12-10,500.0,510.0,500.0,505.0,22646900
2025-12-11,492.0,505.0,490.0,505.0,47965100
2025-12-12,496.0,505.0,490.0,492.0,17274300
2025-12-15,494.0,505.0,492.0,500.0,17035800
2025-12-16,494.0,498.0,492.0,494.0,9419800
2025-12-17,498.0,500.0,492.0,494.0,14648800
2025-12-18,496.0,505.0,494.0,505.0,17459600
2025-12-19,494.0,500.0,492.0,498.0,12930500
2025-12-22,492.0,498.0,492.0,494.0,20226500
2025-12-23,494.0,498.0,490.0,492.0,12665200
2025-12-24,492.0,496.0,490.0,494.0,10746400
2025-12-29,492.0,496.0,490.0,492.0,10745300
2025-12-30,498.0,500.0,492.0,492.0,10933500
2026-01-02,510.0,515.0,498.0,500.0,33904100
2026-01-05,520.0,535.0,510.0,530.0,74710800
2026-01-06,510.0,525.0,505.0,520.0,27706100
2026-01-07,515.0,520.0,505.0,510.0,24317800
2026-01-08,515.0,520.0,510.0,515.0,26994100
2026-01-09,525.0,530.0,515.0,520.0,53627100
2026-01-12,525.0,535.0,510.0,530.0,42037400
2026-01-13,520.0,530.0,520.0,530.0,25533400
2026-01-14,535.0,545.0,530.0,530.0,62040400
2026-01-15,540.0,540.0,530.0,535.0,23729300
2026-01-19,535.0,550.0,535.0,545.0,22821500
2026-01-20,550.0,560.0,535.0,545.0,64977900
2026-01-21,540.0,555.0,535.0,550.0,28228100
2026-01-22,590.0,610.0,540.0,540.0,180895000
2026-01-23,580.0,595.0,560.0,585.0,54878200
2026-01-26,710.0,720.0,595.0,600.0,335689500
2026-01-27,650.0,685.0,625.0,680.0,195466700
2026-01-28,635.0,675.0,600.0,610.0,125291900
2026-01-29,645.0,655.0,540.0,635.0,155582600
2026-01-30,685.0,705.0,640.0,660.0,172390000
2026-02-02,675.0,690.0,620.0,655.0,126426400
2026-02-03,720.0,730.0,655.0,675.0,165054700
2026-02-04,685.0,770.0,685.0,730.0,125075800
2026-02-05,705.0,730.0,685.0,685.0,64901300
2026-02-06,705.0,710.0,655.0,670.0,116721600
2026-02-09,720.0,735.0,690.0,710.0,60023800
2026-02-10,775.0,790.0,705.0,720.0,170611700
2026-02-11,770.0,785.0,745.0,775.0,85036500
2026-02-12,745.0,775.0,730.0,770.0,73293900
2026-02-13,740.0,770.0,725.0,725.0,50325900
2026-02-18,805.0,810.0,730.0,740.0,141731400
2026-02-19,810.0,850.0,790.0,815.0,145290900
2026-02-20,800.0,840.0,790.0,820.0,84526100
2026-02-23,785.0,805.0,775.0,800.0,51733100
