Date,Close,High,Low,Open,Volume
2025-11-20,930.0,950.0,920.0,945.0,38308300
2025-11-21,930.0,935.0,915.0,930.0,36837700
2025-11-24,1015.0,1015.0,935.0,945.0,567420600
2025-11-25,995.0,1005.0,970.0,1005.0,110797900
2025-11-26,1005.0,1015.0,980.0,1000.0,176118600
2025-11-27,985.0,1005.0,980.0,1005.0,43544500
2025-11-28,985.0,995.0,970.0,985.0,37881800
2025-12-01,1195.0,1230.0,985.0,990.0,558162200
2025-12-02,1190.0,1220.0,1105.0,1210.0,265786600
2025-12-03,1165.0,1235.0,1140.0,1200.0,154816000
2025-12-04,1190.0,1200.0,1150.0,1175.0,86446700
2025-12-05,1205.0,1215.0,1165.0,1195.0,121610200
2025-12-08,1430.0,1445.0,1210.0,1210.0,360041100
2025-12-09,1390.0,1435.0,1350.0,1430.0,132074600
2025-12-10,1415.0,1560.0,1395.0,1400.0,249075900
2025-12-11,1480.0,1580.0,1360.0,1410.0,284271300
2025-12-12,1600.0,1625.0,1490.0,1505.0,188785100
2025-12-15,1390.0,1620.0,1375.0,1610.0,219193400
2025-12-16,1410.0,1450.0,1365.0,1390.0,68874900
2025-12-17,1510.0,1550.0,1410.0,1440.0,172824400
2025-12-18,1425.0,1515.0,1420.0,1510.0,76132400
2025-12-19,1445.0,1445.0,1380.0,1430.0,68427700
2025-12-22,1450.0,1490.0,1445.0,1470.0,68932300
2025-12-23,1465.0,1500.0,1420.0,1470.0,88882500
2025-12-24,1455.0,1500.0,1445.0,1480.0,33683100
2025-12-29,1530.0,1570.0,1455.0,1470.0,111312200
2025-12-30,1600.0,1655.0,1520.0,1540.0,220708700
2026-01-02,1640.0,1660.0,1605.0,1605.0,175537000
2026-01-05,1695.0,1760.0,1660.0,1660.0,121279800
2026-01-06,1615.0,1700.0,1570.0,1695.0,171045300
2026-01-07,1620.0,1630.0,1570.0,1615.0,106648800
2026-01-08,1640.0,1690.0,1600.0,1610.0,129723200
2026-01-09,1660.0,1720.0,1655.0,1680.0,81676500
2026-01-12,1615.0,1675.0,1545.0,1670.0,131989200
2026-01-13,1645.0,1790.0,1595.0,1680.0,299099300
2026-01-14,1615.0,1705.0,1600.0,1670.0,148979700
2026-01-15,1530.0,1630.0,1515.0,1620.0,124827400
2026-01-19,1590.0,1595.0,1515.0,1530.0,85102400
2026-01-20,1535.0,1610.0,1520.0,1605.0,59680900
2026-01-21,1550.0,1580.0,1520.0,1535.0,107809400
2026-01-22,1520.0,1600.0,1515.0,1575.0,85464200
2026-01-23,1565.0,1565.0,1505.0,1525.0,93926100
2026-01-26,1545.0,1670.0,1535.0,1585.0,124778900
2026-01-27,1670.0,1695.0,1570.0,1605.0,148920800
2026-01-28,1420.0,1420.0,1420.0,1420.0,44753500
2026-01-29,1210.0,1315.0,1210.0,1210.0,513151200
2026-01-30,1300.0,1330.0,1220.0,1260.0,181301300
2026-02-02,1105.0,1350.0,1105.0,1310.0,154839600
2026-02-03,1175.0,1175.0,960.0,1000.0,147204800
2026-02-04,1145.0,1205.0,1110.0,1200.0,85333300
2026-02-05,1135.0,1165.0,1120.0,1160.0,61195800
2026-02-06,1115.0,1125.0,1000.0,1050.0,120563700
2026-02-09,1160.0,1180.0,1090.0,1115.0,49807800
2026-02-10,1130.0,1175.0,1065.0,1065.0,120927100
2026-02-11,1235.0,1250.0,1130.0,1140.0,159050100
2026-02-12,1400.0,1410.0,1225.0,1255.0,233861600
2026-02-13,1535.0,1660.0,1365.0,1405.0,355274400
2026-02-18,1540.0,1650.0,1510.0,1550.0,188803900
2026-02-19,1555.0,1675.0,1525.0,1600.0,207991100
2026-02-20,1690.0,1770.0,1570.0,1590.0,413686700
