Date,Close,High,Low,Open,Volume
2025-11-24,635.0,635.0,625.0,635.0,15116300
2025-11-25,625.0,640.0,625.0,640.0,13115000
2025-11-26,635.0,645.0,620.0,630.0,28765200
2025-11-27,620.0,640.0,610.0,640.0,36928500
2025-11-28,620.0,630.0,615.0,615.0,14690400
2025-12-01,610.0,635.0,610.0,635.0,26280000
2025-12-02,610.0,620.0,600.0,610.0,41892400
2025-12-03,635.0,635.0,605.0,610.0,43269100
2025-12-04,625.0,640.0,620.0,640.0,22843800
2025-12-05,630.0,635.0,615.0,625.0,17084900
2025-12-08,640.0,650.0,625.0,630.0,30670500
2025-12-09,635.0,645.0,630.0,645.0,26037200
2025-12-10,630.0,660.0,625.0,640.0,50004500
2025-12-11,610.0,635.0,605.0,635.0,32972000
2025-12-12,610.0,615.0,585.0,610.0,59371300
2025-12-15,655.0,670.0,610.0,610.0,104034300
2025-12-16,635.0,660.0,630.0,655.0,30413500
2025-12-17,635.0,640.0,630.0,640.0,10810900
2025-12-18,620.0,640.0,620.0,630.0,15940600
2025-12-19,610.0,620.0,600.0,620.0,26578600
2025-12-22,645.0,655.0,605.0,615.0,65724200
2025-12-23,625.0,640.0,620.0,640.0,18938600
2025-12-24,620.0,630.0,610.0,625.0,15889800
2025-12-29,620.0,630.0,610.0,625.0,22578900
2025-12-30,605.0,620.0,605.0,615.0,20684400
2026-01-02,615.0,620.0,605.0,605.0,14079300
2026-01-05,620.0,635.0,610.0,620.0,25455700
2026-01-06,640.0,650.0,615.0,625.0,57287700
2026-01-07,635.0,655.0,635.0,645.0,57552100
2026-01-08,620.0,660.0,615.0,640.0,42773800
2026-01-09,620.0,630.0,615.0,625.0,14637600
2026-01-12,625.0,635.0,615.0,625.0,32049100
2026-01-13,670.0,680.0,630.0,630.0,136529000
2026-01-14,695.0,720.0,665.0,680.0,188288700
2026-01-15,660.0,700.0,660.0,695.0,65321800
2026-01-19,675.0,685.0,645.0,660.0,64869500
2026-01-20,665.0,685.0,665.0,680.0,38407000
2026-01-21,665.0,690.0,640.0,685.0,52030500
2026-01-22,670.0,695.0,665.0,680.0,90077700
2026-01-23,705.0,715.0,655.0,680.0,129138600
2026-01-26,730.0,755.0,710.0,735.0,305074000
2026-01-27,715.0,725.0,680.0,725.0,139757400
2026-01-28,645.0,700.0,610.0,650.0,184297600
2026-01-29,670.0,685.0,550.0,645.0,201726600
2026-01-30,655.0,705.0,650.0,675.0,113170000
2026-02-02,585.0,665.0,575.0,645.0,117116700
2026-02-03,610.0,610.0,570.0,585.0,59973700
2026-02-04,635.0,670.0,605.0,615.0,59832700
2026-02-05,630.0,660.0,630.0,640.0,49869600
2026-02-06,610.0,625.0,600.0,610.0,42440300
2026-02-09,615.0,625.0,610.0,610.0,26382000
2026-02-10,620.0,630.0,610.0,610.0,26684200
2026-02-11,615.0,630.0,610.0,625.0,51606500
2026-02-12,620.0,625.0,610.0,620.0,22469900
2026-02-13,610.0,620.0,610.0,620.0,20581900
2026-02-18,620.0,620.0,610.0,610.0,17533000
2026-02-19,630.0,650.0,615.0,625.0,103239200
2026-02-20,630.0,640.0,620.0,635.0,33799700
2026-02-23,660.0,685.0,635.0,640.0,139341100
2026-02-24,630.0,665.0,630.0,660.0,76449000
