Date,Close,High,Low,Open,Volume
2025-11-19,119.0,122.0,118.0,120.0,75917700
2025-11-20,132.0,142.0,120.0,120.0,1542247200
2025-11-21,130.0,133.0,124.0,133.0,241919800
2025-11-24,135.0,136.0,126.0,132.0,275220800
2025-11-25,133.0,143.0,132.0,137.0,527845900
2025-11-26,132.0,136.0,128.0,133.0,220288200
2025-11-27,135.0,154.0,130.0,132.0,1421734500
2025-11-28,139.0,142.0,130.0,137.0,328677000
2025-12-01,179.0,185.0,139.0,140.0,1602463000
2025-12-02,173.0,210.0,173.0,185.0,1936089500
2025-12-03,222.0,224.0,165.0,173.0,2674045300
2025-12-04,234.0,264.0,204.0,216.0,2643489900
2025-12-05,234.0,234.0,234.0,234.0,0
2025-12-08,244.0,256.0,212.0,234.0,927351500
2025-12-09,236.0,250.0,224.0,244.0,528627300
2025-12-10,290.0,294.0,232.0,232.0,2092278600
2025-12-11,290.0,290.0,290.0,290.0,0
2025-12-12,290.0,290.0,290.0,290.0,0
2025-12-15,290.0,290.0,290.0,290.0,0
2025-12-16,290.0,290.0,290.0,290.0,0
2025-12-17,290.0,290.0,290.0,290.0,0
2025-12-18,290.0,290.0,290.0,290.0,0
2025-12-19,262.0,262.0,262.0,262.0,60945900
2025-12-22,236.0,246.0,236.0,246.0,120351000
2025-12-23,254.0,254.0,236.0,236.0,49725500
2025-12-24,244.0,260.0,244.0,260.0,35617100
2025-12-29,268.0,268.0,250.0,250.0,55330700
2025-12-30,292.0,294.0,270.0,270.0,57679700
2026-01-02,320.0,320.0,320.0,320.0,52908000
2026-01-05,400.0,400.0,352.0,396.0,878442500
2026-01-06,400.0,444.0,372.0,414.0,931698400
2026-01-07,404.0,424.0,388.0,406.0,312989500
2026-01-08,480.0,486.0,386.0,404.0,693335600
2026-01-09,474.0,520.0,458.0,482.0,786345300
2026-01-12,438.0,505.0,404.0,474.0,533149200
2026-01-13,394.0,456.0,378.0,438.0,426741500
2026-01-14,432.0,434.0,394.0,408.0,445214200
2026-01-15,462.0,486.0,440.0,440.0,608000500
2026-01-19,452.0,470.0,428.0,468.0,241121300
2026-01-20,472.0,478.0,434.0,452.0,447653500
2026-01-21,450.0,480.0,444.0,470.0,277213500
2026-01-22,406.0,466.0,390.0,456.0,375802300
2026-01-23,370.0,400.0,352.0,400.0,286166100
2026-01-26,318.0,396.0,316.0,380.0,324813300
2026-01-27,384.0,394.0,302.0,318.0,380757000
2026-01-28,328.0,356.0,328.0,328.0,306929100
2026-01-29,306.0,320.0,280.0,296.0,535546100
2026-01-30,280.0,328.0,280.0,320.0,290227700
2026-02-02,238.0,278.0,238.0,278.0,188750300
2026-02-03,296.0,296.0,204.0,204.0,409488800
2026-02-04,284.0,326.0,274.0,296.0,657549300
2026-02-05,290.0,304.0,282.0,284.0,129969500
2026-02-06,260.0,286.0,258.0,276.0,91034600
2026-02-09,276.0,282.0,254.0,276.0,96322100
2026-02-10,298.0,306.0,278.0,280.0,173230200
2026-02-11,314.0,316.0,294.0,304.0,295521500
2026-02-12,298.0,320.0,298.0,316.0,150646300
2026-02-13,302.0,320.0,290.0,298.0,172143700
2026-02-18,344.0,344.0,308.0,310.0,489226200
2026-02-19,332.0,350.0,326.0,350.0,216355800
