Date,Close,High,Low,Open,Volume
2025-11-10,1415.0,1420.0,1255.0,1255.0,110857400
2025-11-11,1365.0,1470.0,1355.0,1445.0,79520700
2025-11-12,1385.0,1385.0,1330.0,1380.0,22657400
2025-11-13,1425.0,1460.0,1390.0,1415.0,68062100
2025-11-14,1365.0,1425.0,1365.0,1400.0,25833800
2025-11-17,1295.0,1365.0,1285.0,1360.0,32698200
2025-11-18,1295.0,1320.0,1255.0,1280.0,20473000
2025-11-19,1370.0,1390.0,1305.0,1305.0,31687600
2025-11-20,1380.0,1395.0,1355.0,1385.0,16981300
2025-11-21,1355.0,1445.0,1340.0,1390.0,41887300
2025-11-24,1385.0,1440.0,1365.0,1370.0,37594700
2025-11-25,1425.0,1455.0,1415.0,1435.0,25407600
2025-11-26,1515.0,1540.0,1430.0,1450.0,64734400
2025-11-27,1490.0,1525.0,1460.0,1520.0,21798600
2025-11-28,1495.0,1525.0,1480.0,1525.0,28473400
2025-12-01,1575.0,1580.0,1510.0,1530.0,47687000
2025-12-02,1535.0,1560.0,1530.0,1560.0,23602600
2025-12-03,1525.0,1550.0,1500.0,1540.0,17094000
2025-12-04,1515.0,1530.0,1495.0,1530.0,12645100
2025-12-05,1565.0,1580.0,1500.0,1515.0,17486500
2025-12-08,1580.0,1630.0,1550.0,1565.0,35936000
2025-12-09,1530.0,1590.0,1510.0,1580.0,17490300
2025-12-10,1460.0,1555.0,1455.0,1535.0,34992300
2025-12-11,1455.0,1520.0,1455.0,1490.0,16276400
2025-12-12,1800.0,1805.0,1485.0,1495.0,180861100
2025-12-15,1755.0,1865.0,1675.0,1815.0,83079200
2025-12-16,1710.0,1745.0,1655.0,1720.0,21609400
2025-12-17,1725.0,1840.0,1720.0,1730.0,38815200
2025-12-18,1715.0,1750.0,1690.0,1740.0,14624100
2025-12-19,1695.0,1740.0,1650.0,1710.0,11305600
2025-12-22,1875.0,2000.0,1755.0,1760.0,85455100
2025-12-23,1925.0,2050.0,1900.0,1945.0,109031400
2025-12-24,2050.0,2200.0,1975.0,1975.0,131893800
2025-12-29,2300.0,2390.0,2090.0,2090.0,100734900
2025-12-30,2150.0,2200.0,2080.0,2140.0,57769800
2026-01-02,2150.0,2150.0,2070.0,2150.0,32471300
2026-01-05,2270.0,2430.0,2220.0,2240.0,72124500
2026-01-06,2250.0,2310.0,2240.0,2290.0,26263900
2026-01-07,2220.0,2310.0,2220.0,2270.0,24679900
2026-01-08,2220.0,2300.0,2140.0,2220.0,19978200
2026-01-09,2380.0,2440.0,2210.0,2210.0,66361500
2026-01-12,2770.0,2800.0,2480.0,2590.0,111801000
2026-01-13,2580.0,2770.0,2500.0,2770.0,116111800
2026-01-14,2600.0,2710.0,2580.0,2650.0,63146000
2026-01-15,2520.0,2620.0,2490.0,2550.0,37128100
2026-01-19,2560.0,2690.0,2550.0,2680.0,26624200
2026-01-20,2620.0,2650.0,2500.0,2540.0,52296000
2026-01-21,2550.0,2670.0,2530.0,2650.0,68321600
2026-01-22,2320.0,2510.0,2320.0,2500.0,55017800
2026-01-23,2330.0,2470.0,2300.0,2450.0,33196400
2026-01-26,2440.0,2540.0,2400.0,2450.0,63439200
2026-01-27,2410.0,2460.0,2360.0,2440.0,17764000
2026-01-28,2400.0,2480.0,2240.0,2430.0,51083100
2026-01-29,2330.0,2490.0,2040.0,2450.0,61410300
2026-01-30,2230.0,2360.0,2230.0,2300.0,25092200
2026-02-02,1900.0,2050.0,1900.0,2000.0,43096100
2026-02-03,2160.0,2180.0,1885.0,1950.0,65299200
2026-02-04,2260.0,2310.0,2130.0,2200.0,54084000
2026-02-05,2120.0,2240.0,2090.0,2230.0,36270900
2026-02-06,2260.0,2300.0,1960.0,1965.0,73806100
2026-02-09,2250.0,2350.0,2220.0,2350.0,37275500
2026-02-10,2500.0,2510.0,2250.0,2250.0,67194100
