Date,Close,High,Low,Open,Volume
2025-11-10,1065.0,1070.0,1040.0,1055.0,21857100
2025-11-11,1070.0,1080.0,1050.0,1080.0,11273700
2025-11-12,1050.0,1075.0,1050.0,1075.0,8249500
2025-11-13,1030.0,1055.0,1025.0,1040.0,20134900
2025-11-14,1010.0,1030.0,1005.0,1030.0,22042800
2025-11-17,1015.0,1025.0,1005.0,1010.0,10150100
2025-11-18,980.0,1010.0,980.0,1000.0,27270700
2025-11-19,990.0,1000.0,980.0,980.0,10268500
2025-11-20,980.0,1000.0,980.0,990.0,9975700
2025-11-21,970.0,980.0,955.0,980.0,10596800
2025-11-24,985.0,995.0,975.0,975.0,7881400
2025-11-25,1005.0,1015.0,990.0,995.0,12892400
2025-11-26,1000.0,1015.0,995.0,1015.0,9211000
2025-11-27,995.0,1010.0,990.0,1000.0,7779400
2025-11-28,1005.0,1015.0,985.0,995.0,8467600
2025-12-01,1045.0,1065.0,995.0,1000.0,49767200
2025-12-02,1040.0,1075.0,1040.0,1050.0,26642100
2025-12-03,1030.0,1050.0,1020.0,1040.0,9383100
2025-12-04,1005.0,1030.0,1000.0,1030.0,9620200
2025-12-05,1005.0,1015.0,995.0,1005.0,8464700
2025-12-08,1040.0,1040.0,1005.0,1005.0,15407200
2025-12-09,1030.0,1045.0,1020.0,1045.0,10043900
2025-12-10,1020.0,1035.0,1010.0,1030.0,8269200
2025-12-11,985.0,1030.0,970.0,1025.0,29496200
2025-12-12,1005.0,1020.0,985.0,990.0,15923900
2025-12-15,1000.0,1035.0,990.0,1005.0,22373300
2025-12-16,995.0,1000.0,990.0,1000.0,6720200
2025-12-17,1005.0,1020.0,990.0,995.0,11841100
2025-12-18,1015.0,1020.0,990.0,1005.0,11129900
2025-12-19,1000.0,1025.0,995.0,1025.0,8269200
2025-12-22,1020.0,1040.0,995.0,1005.0,17978700
2025-12-23,1060.0,1075.0,1020.0,1035.0,74682800
2025-12-24,1035.0,1100.0,1030.0,1075.0,56035600
2025-12-29,1065.0,1065.0,1035.0,1040.0,23328500
2025-12-30,1075.0,1110.0,1040.0,1065.0,48647800
2026-01-02,1095.0,1130.0,1080.0,1100.0,58407000
2026-01-05,1085.0,1120.0,1080.0,1100.0,50997100
2026-01-06,1155.0,1175.0,1105.0,1110.0,95575700
2026-01-07,1200.0,1250.0,1180.0,1180.0,124046700
2026-01-08,1135.0,1185.0,1120.0,1185.0,54890100
2026-01-09,1165.0,1170.0,1130.0,1135.0,28158100
2026-01-12,1155.0,1205.0,1100.0,1190.0,57955900
2026-01-13,1210.0,1220.0,1160.0,1160.0,87200000
2026-01-14,1285.0,1295.0,1205.0,1210.0,117530800
2026-01-15,1230.0,1335.0,1225.0,1315.0,82332800
2026-01-19,1170.0,1225.0,1155.0,1225.0,69417500
2026-01-20,1195.0,1200.0,1170.0,1180.0,44588600
2026-01-21,1185.0,1190.0,1135.0,1190.0,45156800
2026-01-22,1185.0,1210.0,1170.0,1190.0,39227000
2026-01-23,1190.0,1205.0,1160.0,1195.0,44846300
2026-01-26,1240.0,1315.0,1215.0,1220.0,129708900
2026-01-27,1215.0,1255.0,1205.0,1250.0,36036700
2026-01-28,1110.0,1185.0,1040.0,1145.0,106427700
2026-01-29,1070.0,1090.0,945.0,1080.0,98838900
2026-01-30,1055.0,1105.0,1030.0,1070.0,43129200
2026-02-02,1010.0,1050.0,955.0,1025.0,47845700
2026-02-03,1040.0,1055.0,975.0,1035.0,28284200
2026-02-04,1065.0,1070.0,1030.0,1045.0,17029400
2026-02-05,1070.0,1085.0,1055.0,1065.0,16199900
2026-02-06,1005.0,1045.0,1000.0,1035.0,26789100
2026-02-09,1035.0,1045.0,990.0,1020.0,21223800
