Date,Close,High,Low,Open,Volume
2025-11-24,132.0,133.0,126.0,128.0,65575400
2025-11-25,140.0,143.0,131.0,134.0,389035900
2025-11-26,137.0,143.0,134.0,142.0,151446500
2025-11-27,158.0,177.0,137.0,140.0,1701661100
2025-11-28,149.0,160.0,144.0,159.0,374991300
2025-12-01,173.0,182.0,151.0,151.0,1239560000
2025-12-02,166.0,188.0,165.0,175.0,1090486300
2025-12-03,180.0,182.0,162.0,166.0,850949300
2025-12-04,234.0,234.0,175.0,180.0,2498401400
2025-12-05,199.0,256.0,199.0,242.0,2034534200
2025-12-08,199.0,210.0,185.0,195.0,1158278300
2025-12-09,193.0,210.0,191.0,200.0,493868000
2025-12-10,224.0,244.0,192.0,193.0,2717776900
2025-12-11,228.0,244.0,218.0,230.0,1486311000
2025-12-12,218.0,230.0,212.0,226.0,344611500
2025-12-15,206.0,224.0,202.0,220.0,361955500
2025-12-16,228.0,232.0,200.0,206.0,932146300
2025-12-17,222.0,242.0,220.0,236.0,639750800
2025-12-18,220.0,232.0,216.0,222.0,280810200
2025-12-19,206.0,226.0,195.0,222.0,302786600
2025-12-22,204.0,216.0,199.0,208.0,224225000
2025-12-23,208.0,210.0,200.0,204.0,150859900
2025-12-24,206.0,232.0,202.0,208.0,638986900
2025-12-29,232.0,234.0,210.0,210.0,764138400
2025-12-30,258.0,280.0,226.0,240.0,3114764700
2026-01-02,322.0,322.0,262.0,268.0,1967853300
2026-01-05,322.0,322.0,322.0,322.0,0
2026-01-06,356.0,386.0,334.0,366.0,1310534800
2026-01-07,356.0,356.0,356.0,356.0,0
2026-01-08,356.0,356.0,356.0,356.0,0
2026-01-09,356.0,356.0,356.0,356.0,0
2026-01-12,356.0,356.0,356.0,356.0,0
2026-01-13,356.0,356.0,356.0,356.0,0
2026-01-14,356.0,356.0,356.0,356.0,0
2026-01-15,356.0,356.0,356.0,356.0,0
2026-01-19,356.0,356.0,356.0,356.0,0
2026-01-20,356.0,356.0,356.0,356.0,0
2026-01-21,356.0,390.0,356.0,390.0,152861200
2026-01-22,322.0,356.0,322.0,356.0,76547600
2026-01-23,290.0,290.0,290.0,290.0,46945800
2026-01-26,262.0,310.0,262.0,310.0,80291400
2026-01-27,288.0,288.0,248.0,248.0,82442600
2026-01-28,260.0,260.0,260.0,260.0,18244700
2026-01-29,234.0,260.0,234.0,234.0,74915000
2026-01-30,210.0,266.0,206.0,256.0,635712300
2026-02-02,179.0,212.0,179.0,200.0,328482800
2026-02-03,240.0,240.0,153.0,160.0,947644600
2026-02-04,222.0,278.0,218.0,238.0,1422163000
2026-02-05,224.0,242.0,216.0,222.0,348472600
2026-02-06,202.0,220.0,200.0,216.0,201061200
2026-02-09,210.0,220.0,194.0,212.0,269520500
2026-02-10,218.0,228.0,200.0,210.0,270852900
2026-02-11,234.0,238.0,220.0,222.0,349662800
2026-02-12,228.0,246.0,226.0,242.0,262240700
2026-02-13,234.0,242.0,220.0,228.0,233585300
2026-02-18,268.0,272.0,238.0,240.0,716871700
2026-02-19,262.0,274.0,254.0,270.0,344709300
2026-02-20,252.0,264.0,250.0,262.0,130608400
2026-02-23,266.0,274.0,256.0,256.0,375190000
2026-02-24,250.0,276.0,246.0,270.0,370843900
