Date,Close,High,Low,Open,Volume
2025-11-06,8575.0,8675.0,8550.0,8650.0,15202700
2025-11-07,8600.0,8650.0,8550.0,8550.0,5446000
2025-11-10,8650.0,8725.0,8600.0,8700.0,6371300
2025-11-11,8550.0,8725.0,8525.0,8725.0,9738300
2025-11-12,8525.0,8675.0,8525.0,8550.0,7459700
2025-11-13,8475.0,8600.0,8475.0,8525.0,9366500
2025-11-14,8425.0,8550.0,8425.0,8500.0,9077300
2025-11-17,8375.0,8700.0,8325.0,8500.0,21504300
2025-11-18,8325.0,8475.0,8325.0,8375.0,14213100
2025-11-19,8400.0,8525.0,8325.0,8325.0,20237100
2025-11-20,8325.0,8525.0,8325.0,8500.0,15336300
2025-11-21,8350.0,8400.0,8325.0,8350.0,9262700
2025-11-24,8350.0,8450.0,8200.0,8350.0,176275900
2025-11-25,8575.0,8600.0,8450.0,8450.0,36155100
2025-11-26,8600.0,8650.0,8525.0,8625.0,19741000
2025-11-27,8550.0,8625.0,8500.0,8600.0,17082500
2025-11-28,8450.0,8600.0,8425.0,8575.0,8785500
2025-12-01,8400.0,8475.0,8400.0,8425.0,5346900
2025-12-02,8100.0,8425.0,8050.0,8400.0,43427600
2025-12-03,8125.0,8200.0,8100.0,8100.0,10525100
2025-12-04,8200.0,8250.0,8100.0,8225.0,13673600
2025-12-05,8050.0,8200.0,8050.0,8200.0,16859700
2025-12-08,8075.0,8200.0,8075.0,8100.0,11661200
2025-12-09,8000.0,8125.0,8000.0,8100.0,16634200
2025-12-10,8025.0,8075.0,8000.0,8000.0,8871000
2025-12-11,8025.0,8150.0,7950.0,8050.0,10206100
2025-12-12,8075.0,8100.0,7975.0,8100.0,8185400
2025-12-15,8300.0,8375.0,8075.0,8225.0,15671200
2025-12-16,8350.0,8400.0,8225.0,8325.0,17355800
2025-12-17,8325.0,8400.0,8300.0,8350.0,5997500
2025-12-18,8250.0,8400.0,8200.0,8325.0,6171700
2025-12-19,8425.0,8425.0,8225.0,8250.0,11114100
2025-12-22,8350.0,8400.0,8275.0,8400.0,6241200
2025-12-23,8250.0,8350.0,8225.0,8350.0,4615400
2025-12-24,8250.0,8275.0,8200.0,8200.0,1899500
2025-12-29,8300.0,8325.0,8125.0,8250.0,6435900
2025-12-30,8200.0,8325.0,8175.0,8250.0,3807000
2026-01-02,8075.0,8225.0,8075.0,8200.0,4906200
2026-01-05,8100.0,8150.0,8000.0,8100.0,6465500
2026-01-06,8100.0,8175.0,8075.0,8100.0,6207700
2026-01-07,8050.0,8125.0,8000.0,8100.0,9501900
2026-01-08,8025.0,8125.0,8025.0,8050.0,10684500
2026-01-09,8000.0,8075.0,8000.0,8050.0,5016300
2026-01-12,7900.0,8025.0,7900.0,8000.0,10239900
2026-01-13,7975.0,8000.0,7925.0,7925.0,3957300
2026-01-14,7950.0,8050.0,7950.0,7975.0,5323700
2026-01-15,8050.0,8100.0,7975.0,8000.0,5660000
2026-01-19,8100.0,8150.0,8025.0,8050.0,9458500
2026-01-20,8125.0,8200.0,8100.0,8100.0,4869500
2026-01-21,8100.0,8150.0,8025.0,8125.0,9619600
2026-01-22,8325.0,8400.0,8075.0,8150.0,13969100
2026-01-23,8275.0,8350.0,8175.0,8325.0,11745000
2026-01-26,8400.0,8450.0,8175.0,8275.0,11911100
2026-01-27,8225.0,8400.0,8125.0,8400.0,8344200
2026-01-28,7775.0,8150.0,7675.0,8150.0,21932000
2026-01-29,7675.0,7775.0,7225.0,7700.0,29324800
2026-01-30,7950.0,8125.0,7675.0,7675.0,18174200
2026-02-02,8375.0,8375.0,8025.0,8075.0,19372900
2026-02-03,8575.0,8600.0,8225.0,8350.0,17576700
2026-02-04,8300.0,8575.0,8300.0,8575.0,9948300
2026-02-05,8300.0,8500.0,8300.0,8300.0,7338300
2026-02-06,8075.0,8275.0,8000.0,8250.0,10290000
