Date,Close,High,Low,Open,Volume
2025-11-20,2590.0,2610.0,2530.0,2580.0,19693400
2025-11-21,2690.0,2700.0,2540.0,2590.0,34758800
2025-11-24,2890.0,2930.0,2640.0,2720.0,107503700
2025-11-25,3180.0,3190.0,2810.0,2900.0,127188000
2025-11-26,3110.0,3210.0,3070.0,3180.0,65662100
2025-11-27,3120.0,3250.0,3020.0,3100.0,61873000
2025-11-28,3150.0,3170.0,3030.0,3120.0,29805900
2025-12-01,3100.0,3220.0,3100.0,3150.0,32184000
2025-12-02,3230.0,3320.0,3090.0,3100.0,59837400
2025-12-03,3180.0,3280.0,3170.0,3270.0,19647700
2025-12-04,3440.0,3610.0,3130.0,3180.0,122674500
2025-12-05,3790.0,3830.0,3450.0,3560.0,156349300
2025-12-08,3800.0,3800.0,3400.0,3720.0,112205800
2025-12-09,3740.0,3840.0,3670.0,3800.0,52916300
2025-12-10,3670.0,3770.0,3630.0,3750.0,32573000
2025-12-11,3780.0,3940.0,3700.0,3750.0,68487100
2025-12-12,3680.0,3820.0,3670.0,3820.0,36024400
2025-12-15,3620.0,3790.0,3540.0,3700.0,49077100
2025-12-16,3670.0,3780.0,3610.0,3670.0,36953000
2025-12-17,3740.0,3790.0,3690.0,3720.0,25514100
2025-12-18,3700.0,3780.0,3630.0,3760.0,31905600
2025-12-19,3640.0,3660.0,3550.0,3650.0,38987700
2025-12-22,3630.0,3720.0,3610.0,3700.0,14785800
2025-12-23,3940.0,3940.0,3650.0,3680.0,56940700
2025-12-24,3840.0,4010.0,3810.0,3980.0,38384800
2025-12-29,4020.0,4040.0,3800.0,3850.0,32538900
2025-12-30,3930.0,4090.0,3920.0,4030.0,30545200
2026-01-02,3930.0,4000.0,3910.0,3940.0,39331100
2026-01-05,3910.0,3990.0,3860.0,3930.0,33237400
2026-01-06,3980.0,4030.0,3880.0,3940.0,42855500
2026-01-07,4050.0,4170.0,3990.0,3990.0,64186800
2026-01-08,3850.0,4140.0,3650.0,4130.0,100042200
2026-01-09,3550.0,3790.0,3550.0,3790.0,100964200
2026-01-12,3640.0,3680.0,3280.0,3450.0,96166600
2026-01-13,3380.0,3780.0,3330.0,3780.0,83270600
2026-01-14,3400.0,3490.0,3100.0,3360.0,105548700
2026-01-15,3310.0,3500.0,3300.0,3490.0,31557100
2026-01-19,3390.0,3420.0,3170.0,3290.0,54601100
2026-01-20,3490.0,3590.0,3370.0,3400.0,46318200
2026-01-21,3550.0,3560.0,3430.0,3470.0,29681600
2026-01-22,3530.0,3680.0,3480.0,3600.0,65477200
2026-01-23,3530.0,3650.0,3400.0,3610.0,28934200
2026-01-26,3550.0,3650.0,3430.0,3500.0,52043300
2026-01-27,3600.0,3620.0,3470.0,3580.0,16353700
2026-01-28,3060.0,3060.0,3060.0,3060.0,9083000
2026-01-29,2610.0,2870.0,2610.0,2610.0,274613600
2026-01-30,2380.0,2800.0,2290.0,2660.0,311719900
2026-02-02,2030.0,2320.0,2030.0,2320.0,138021700
2026-02-03,2180.0,2230.0,1800.0,1850.0,180957300
2026-02-04,2170.0,2270.0,2040.0,2200.0,73443700
2026-02-05,2130.0,2200.0,2090.0,2170.0,37393500
2026-02-06,2000.0,2060.0,1930.0,2030.0,45084500
2026-02-09,2130.0,2200.0,1980.0,2010.0,35983900
2026-02-10,2070.0,2250.0,2040.0,2040.0,110097500
2026-02-11,2290.0,2360.0,2040.0,2070.0,98799300
2026-02-12,2220.0,2350.0,2200.0,2310.0,46495100
2026-02-13,2270.0,2330.0,2140.0,2200.0,50666800
2026-02-18,2400.0,2550.0,2290.0,2330.0,58896900
2026-02-19,2370.0,2440.0,2340.0,2440.0,33167500
2026-02-20,2390.0,2410.0,2310.0,2370.0,24469200
