Date,Close,High,Low,Open,Volume
2025-11-27,3950.0,4020.0,3850.0,3850.0,17961600
2025-11-28,3820.0,4050.0,3820.0,4000.0,23908500
2025-12-01,3820.0,3880.0,3770.0,3800.0,16693700
2025-12-02,3960.0,3980.0,3840.0,3840.0,14335100
2025-12-03,3920.0,3960.0,3880.0,3960.0,4434700
2025-12-04,3880.0,3930.0,3860.0,3920.0,2886300
2025-12-05,3890.0,3910.0,3850.0,3870.0,5319800
2025-12-08,3990.0,4000.0,3880.0,3890.0,9111800
2025-12-09,3850.0,4040.0,3850.0,4010.0,11124600
2025-12-10,3900.0,3900.0,3850.0,3850.0,8172500
2025-12-11,3860.0,3920.0,3800.0,3900.0,9400100
2025-12-12,3840.0,3870.0,3800.0,3860.0,8607700
2025-12-15,3890.0,3940.0,3830.0,3850.0,12907000
2025-12-16,3840.0,3900.0,3830.0,3880.0,7996200
2025-12-17,3920.0,3960.0,3860.0,3860.0,8504400
2025-12-18,4360.0,4370.0,3940.0,3960.0,45629300
2025-12-19,4110.0,4400.0,4080.0,4360.0,38384500
2025-12-22,4440.0,4450.0,4110.0,4110.0,35042300
2025-12-23,4990.0,5175.0,4310.0,4440.0,104999700
2025-12-24,5050.0,5325.0,4990.0,5125.0,62454400
2025-12-29,5075.0,5250.0,4960.0,5075.0,23931300
2025-12-30,5175.0,5275.0,4960.0,5075.0,23703900
2026-01-02,5300.0,5475.0,5200.0,5300.0,26022500
2026-01-05,5600.0,5675.0,5125.0,5250.0,47695700
2026-01-06,5625.0,5850.0,5500.0,5650.0,44402700
2026-01-07,6325.0,6500.0,6000.0,6000.0,82907600
2026-01-08,6000.0,6175.0,5825.0,6125.0,53433900
2026-01-09,6300.0,6350.0,5800.0,5950.0,35534300
2026-01-12,6400.0,6600.0,6100.0,6475.0,45755200
2026-01-13,6575.0,6900.0,6350.0,6400.0,70320900
2026-01-14,6400.0,6950.0,6050.0,6750.0,80337800
2026-01-15,6350.0,6775.0,6175.0,6700.0,82102000
2026-01-19,6400.0,6400.0,6125.0,6350.0,44576800
2026-01-20,6225.0,6425.0,6125.0,6400.0,40803300
2026-01-21,6450.0,6450.0,6100.0,6100.0,38273300
2026-01-22,6525.0,6575.0,6350.0,6450.0,38082700
2026-01-23,6775.0,6800.0,6325.0,6575.0,38367300
2026-01-26,6825.0,7225.0,6725.0,6900.0,75502400
2026-01-27,6800.0,6900.0,6625.0,6850.0,26076100
2026-01-28,6375.0,6725.0,6100.0,6600.0,40088600
2026-01-29,6100.0,6500.0,5500.0,6175.0,74706800
2026-01-30,6450.0,6475.0,6100.0,6100.0,31034000
2026-02-02,5925.0,6300.0,5500.0,6300.0,50127800
2026-02-03,6200.0,6250.0,5725.0,6200.0,21684200
2026-02-04,6600.0,6775.0,6225.0,6250.0,33174100
2026-02-05,6300.0,6700.0,6300.0,6650.0,22258900
2026-02-06,6100.0,6125.0,5875.0,5950.0,20740200
2026-02-09,6275.0,6300.0,6100.0,6200.0,10233500
2026-02-10,6350.0,6575.0,6250.0,6275.0,17552100
2026-02-11,6850.0,6875.0,6450.0,6450.0,29182600
2026-02-12,7100.0,7325.0,6950.0,6950.0,45302700
2026-02-13,6975.0,7050.0,6800.0,7000.0,27254200
2026-02-18,6850.0,7025.0,6825.0,7000.0,18315100
2026-02-19,6850.0,7100.0,6850.0,6950.0,20900200
2026-02-20,6900.0,7000.0,6775.0,6900.0,9865100
2026-02-23,7100.0,7200.0,6950.0,7000.0,23934100
2026-02-24,7000.0,7175.0,6950.0,7100.0,14668700
2026-02-25,7350.0,7500.0,7150.0,7150.0,35312300
2026-02-26,7100.0,7375.0,7000.0,7350.0,23279500
2026-02-27,7900.0,7900.0,7025.0,7025.0,47589200
