Date,Close,High,Low,Open,Volume
2025-11-20,1820.0,1885.0,1815.0,1845.0,13130700
2025-11-21,1800.0,1820.0,1795.0,1820.0,6358900
2025-11-24,1780.0,1825.0,1775.0,1815.0,9869600
2025-11-25,1770.0,1830.0,1760.0,1800.0,14789400
2025-11-26,1745.0,1805.0,1735.0,1780.0,21783000
2025-11-27,1770.0,1770.0,1740.0,1760.0,13680400
2025-11-28,1750.0,1830.0,1750.0,1785.0,28093100
2025-12-01,2080.0,2080.0,1760.0,1760.0,109167600
2025-12-02,1975.0,2080.0,1975.0,2080.0,52882300
2025-12-03,1905.0,1995.0,1905.0,1990.0,27846600
2025-12-04,1885.0,1950.0,1870.0,1905.0,28936700
2025-12-05,1910.0,1960.0,1875.0,1890.0,24743400
2025-12-08,1985.0,2040.0,1910.0,1910.0,52600800
2025-12-09,1980.0,2030.0,1955.0,1985.0,34997800
2025-12-10,1935.0,2000.0,1930.0,1985.0,19953700
2025-12-11,1850.0,1985.0,1830.0,1945.0,30979100
2025-12-12,1985.0,2010.0,1850.0,1875.0,50646400
2025-12-15,2250.0,2370.0,2010.0,2020.0,224794700
2025-12-16,2220.0,2290.0,2160.0,2250.0,53117100
2025-12-17,2290.0,2400.0,2250.0,2280.0,63686700
2025-12-18,2220.0,2350.0,2180.0,2330.0,21096700
2025-12-19,2130.0,2260.0,2080.0,2250.0,20464500
2025-12-22,2300.0,2350.0,2200.0,2200.0,52355300
2025-12-23,2330.0,2430.0,2280.0,2400.0,48802400
2025-12-24,2230.0,2380.0,2190.0,2380.0,33129700
2025-12-29,2240.0,2320.0,2200.0,2260.0,21360100
2025-12-30,2240.0,2280.0,2140.0,2180.0,15417000
2026-01-02,2260.0,2280.0,2180.0,2240.0,21431600
2026-01-05,2240.0,2310.0,2190.0,2290.0,44920000
2026-01-06,2350.0,2370.0,2190.0,2260.0,56220600
2026-01-07,2550.0,2600.0,2340.0,2380.0,106742600
2026-01-08,2500.0,2600.0,2450.0,2590.0,42560000
2026-01-09,2880.0,2930.0,2510.0,2510.0,95610300
2026-01-12,3240.0,3320.0,2830.0,3050.0,119576100
2026-01-13,3260.0,3330.0,3090.0,3330.0,39560200
2026-01-14,3280.0,3380.0,3200.0,3280.0,55343100
2026-01-15,3450.0,3450.0,3230.0,3280.0,60314600
2026-01-19,3600.0,3630.0,3420.0,3510.0,81933200
2026-01-20,3670.0,3670.0,3450.0,3570.0,53407100
2026-01-21,3600.0,3680.0,3500.0,3630.0,59667300
2026-01-22,3700.0,3840.0,3540.0,3600.0,67976300
2026-01-23,3700.0,3730.0,3520.0,3700.0,30224700
2026-01-26,3760.0,3760.0,3620.0,3760.0,49515100
2026-01-27,3310.0,3740.0,3260.0,3740.0,79698100
2026-01-28,3350.0,3430.0,2870.0,2870.0,77204100
2026-01-29,3410.0,3460.0,2900.0,3410.0,80637100
2026-01-30,3240.0,3490.0,3210.0,3440.0,33442200
2026-02-02,2820.0,3150.0,2770.0,3100.0,61512000
2026-02-03,3130.0,3140.0,2780.0,2950.0,41791400
2026-02-04,3350.0,3360.0,3170.0,3200.0,29100800
2026-02-05,3340.0,3470.0,3270.0,3320.0,33937000
2026-02-06,3320.0,3390.0,3150.0,3180.0,26256300
2026-02-09,3380.0,3430.0,3310.0,3370.0,24914300
2026-02-10,3670.0,3820.0,3390.0,3390.0,56542800
2026-02-11,3640.0,3800.0,3540.0,3720.0,40626500
2026-02-12,3590.0,3750.0,3580.0,3670.0,19657800
2026-02-13,3560.0,3660.0,3540.0,3610.0,12788800
2026-02-18,3800.0,3860.0,3510.0,3550.0,39248600
2026-02-19,3870.0,3950.0,3800.0,3880.0,25806400
2026-02-20,3720.0,3910.0,3700.0,3880.0,15629300
