Date,Close,High,Low,Open,Volume
2025-11-26,705.0,745.0,595.0,640.0,1563556300
2025-11-27,630.0,700.0,610.0,700.0,810951400
2025-11-28,650.0,665.0,605.0,610.0,366953600
2025-12-01,665.0,695.0,650.0,695.0,324308800
2025-12-02,650.0,670.0,640.0,670.0,152051900
2025-12-03,775.0,790.0,650.0,650.0,1310268100
2025-12-04,775.0,775.0,775.0,775.0,0
2025-12-05,775.0,775.0,775.0,775.0,0
2025-12-08,775.0,775.0,775.0,775.0,0
2025-12-09,775.0,775.0,775.0,775.0,0
2025-12-10,850.0,850.0,850.0,850.0,105429600
2025-12-11,935.0,935.0,935.0,935.0,24650200
2025-12-12,845.0,845.0,845.0,845.0,83667700
2025-12-15,765.0,795.0,765.0,765.0,216507000
2025-12-16,750.0,795.0,750.0,780.0,63708500
2025-12-17,790.0,800.0,770.0,770.0,45548500
2025-12-18,850.0,850.0,765.0,765.0,64719300
2025-12-19,725.0,820.0,725.0,820.0,585941700
2025-12-22,685.0,760.0,630.0,705.0,641711800
2025-12-23,855.0,855.0,660.0,725.0,1555948000
2025-12-24,750.0,835.0,730.0,820.0,924027500
2025-12-29,454.43414306640625,491.2801513671875,436.0111389160156,451.3636474609375,1133090848
2025-12-30,466.7161560058594,482.0686340332031,454.43414306640625,463.6456298828125,432358442
2026-01-02,472.8571472167969,485.13916015625,457.504638671875,469.7866516113281,639185118
2026-01-05,590.0,590.0,472.0,472.0,742643600
2026-01-06,685.0,710.0,630.0,635.0,786085800
2026-01-07,630.0,695.0,600.0,690.0,369320100
2026-01-08,595.0,685.0,570.0,630.0,540800700
2026-01-09,555.0,595.0,545.0,595.0,428548300
2026-01-12,490.0,545.0,472.0,545.0,1040348900
2026-01-13,500.0,535.0,482.0,492.0,997357500
2026-01-14,498.0,515.0,486.0,515.0,469425200
2026-01-15,520.0,535.0,486.0,500.0,960215200
2026-01-19,575.0,595.0,505.0,525.0,2237504000
2026-01-20,555.0,575.0,550.0,570.0,638797500
2026-01-21,560.0,570.0,505.0,530.0,805196100
2026-01-22,550.0,590.0,530.0,570.0,1171101300
2026-01-23,520.0,555.0,484.0,555.0,799118000
2026-01-26,442.0,530.0,442.0,525.0,1281052700
2026-01-27,448.0,456.0,392.0,422.0,1528348400
2026-01-28,382.0,424.0,382.0,398.0,815697600
2026-01-29,368.0,392.0,326.0,340.0,1313660700
2026-01-30,376.0,408.0,364.0,380.0,698145100
2026-02-02,320.0,378.0,320.0,376.0,495985900
2026-02-03,376.0,378.0,276.0,308.0,1213832600
2026-02-04,372.0,398.0,358.0,372.0,729816100
2026-02-05,366.0,384.0,362.0,362.0,261367700
2026-02-06,326.0,350.0,318.0,330.0,424571400
2026-02-09,334.0,342.0,308.0,332.0,541234900
2026-02-10,348.0,358.0,326.0,330.0,391746800
2026-02-11,382.0,392.0,358.0,360.0,949856700
2026-02-12,376.0,394.0,374.0,388.0,469054500
2026-02-13,384.0,388.0,362.0,374.0,414746800
2026-02-18,430.0,436.0,388.0,392.0,1142816200
2026-02-19,422.0,438.0,418.0,436.0,454415500
2026-02-20,412.0,428.0,406.0,422.0,278987300
2026-02-23,416.0,426.0,412.0,414.0,342251000
2026-02-24,382.0,418.0,382.0,416.0,474880000
2026-02-25,396.0,406.0,382.0,384.0,426550700
2026-02-26,380.0,408.0,370.0,404.0,279679000
