Date,Close,High,Low,Open,Volume
2025-11-10,7425.0,7525.0,7425.0,7500.0,2721500
2025-11-11,7525.0,7550.0,7450.0,7475.0,2969400
2025-11-12,7725.0,8050.0,7500.0,7550.0,16558900
2025-11-13,7550.0,7825.0,7525.0,7775.0,6695500
2025-11-14,7575.0,7650.0,7500.0,7525.0,3896200
2025-11-17,7575.0,7700.0,7525.0,7600.0,5328400
2025-11-18,7625.0,7625.0,7500.0,7525.0,4019200
2025-11-19,7500.0,7625.0,7500.0,7625.0,3895900
2025-11-20,7675.0,7825.0,7550.0,7550.0,6639500
2025-11-21,7600.0,7675.0,7575.0,7600.0,2719900
2025-11-24,7625.0,7650.0,7500.0,7650.0,4192500
2025-11-25,7900.0,7950.0,7575.0,7675.0,11893800
2025-11-26,7900.0,8150.0,7825.0,8000.0,13226000
2025-11-27,8025.0,8100.0,7925.0,8000.0,4825100
2025-11-28,8775.0,8825.0,8025.0,8100.0,35985700
2025-12-01,8700.0,8850.0,8500.0,8750.0,10805200
2025-12-02,8650.0,8900.0,8575.0,8700.0,6940100
2025-12-03,8750.0,8800.0,8500.0,8675.0,5193300
2025-12-04,8625.0,8875.0,8575.0,8750.0,4370400
2025-12-05,8525.0,8625.0,8375.0,8625.0,6169800
2025-12-08,8800.0,8950.0,8525.0,8525.0,14149100
2025-12-09,8200.0,8850.0,8200.0,8825.0,19822300
2025-12-10,7900.0,8300.0,7800.0,8300.0,18754400
2025-12-11,7875.0,8225.0,7725.0,7900.0,15690600
2025-12-12,8200.0,8325.0,7950.0,7975.0,12014900
2025-12-15,7950.0,8250.0,7950.0,8250.0,7010300
2025-12-16,8000.0,8025.0,7875.0,7975.0,4922900
2025-12-17,8075.0,8175.0,7925.0,8000.0,7545300
2025-12-18,7950.0,8100.0,7950.0,8075.0,6485400
2025-12-19,8050.0,8050.0,7900.0,7975.0,4170500
2025-12-22,8125.0,8150.0,7975.0,8050.0,3578900
2025-12-23,8100.0,8175.0,8000.0,8125.0,3662700
2025-12-24,8050.0,8150.0,8050.0,8125.0,3079600
2025-12-29,8350.0,8450.0,8025.0,8050.0,8011200
2025-12-30,8500.0,8575.0,8300.0,8400.0,7431700
2026-01-02,8775.0,8800.0,8450.0,8500.0,8834600
2026-01-05,8925.0,8975.0,8575.0,8800.0,13458600
2026-01-06,9550.0,9675.0,8950.0,8975.0,23178400
2026-01-07,9825.0,9950.0,9600.0,9600.0,19656000
2026-01-08,9700.0,9875.0,9525.0,9825.0,9101300
2026-01-09,9675.0,9875.0,9575.0,9700.0,5500700
2026-01-12,9900.0,10150.0,9300.0,9850.0,20147800
2026-01-13,10200.0,10600.0,9900.0,9900.0,12532300
2026-01-14,10150.0,10325.0,9975.0,10200.0,5579600
2026-01-15,10000.0,10375.0,9900.0,10200.0,8388200
2026-01-19,10000.0,10175.0,9725.0,10100.0,12474900
2026-01-20,10100.0,10475.0,9975.0,10000.0,6476000
2026-01-21,10075.0,10125.0,9875.0,10125.0,8911900
2026-01-22,10600.0,10800.0,10075.0,10075.0,12851700
2026-01-23,10575.0,10650.0,10300.0,10650.0,5142600
2026-01-26,10500.0,10725.0,10300.0,10600.0,7628800
2026-01-27,10525.0,10675.0,10425.0,10500.0,3828400
2026-01-28,9325.0,9850.0,8950.0,9475.0,52568800
2026-01-29,9100.0,9375.0,7950.0,9250.0,36006600
2026-01-30,9100.0,9325.0,8925.0,9200.0,8198500
2026-02-02,8200.0,9225.0,8125.0,9125.0,30167300
2026-02-03,9025.0,9025.0,8325.0,8500.0,10649600
2026-02-04,8900.0,9125.0,8850.0,9000.0,5437600
2026-02-05,9100.0,9300.0,8925.0,9000.0,9495700
2026-02-06,8850.0,9075.0,8600.0,8700.0,7749300
2026-02-09,9175.0,9175.0,8825.0,9000.0,4911200
