Date,Close,High,Low,Open,Volume
2025-11-26,392.0,392.0,392.0,392.0,14736000
2025-11-27,392.0,392.0,388.0,390.0,78697500
2025-11-28,436.0,468.0,386.0,420.0,233297800
2025-12-01,430.0,456.0,428.0,446.0,81469300
2025-12-02,412.0,440.0,396.0,436.0,72117200
2025-12-03,432.0,442.0,396.0,412.0,96851200
2025-12-04,490.0,520.0,450.0,452.0,269034700
2025-12-05,490.0,490.0,490.0,490.0,0
2025-12-08,505.0,540.0,492.0,515.0,156465000
2025-12-09,580.0,595.0,525.0,545.0,230008500
2025-12-10,690.0,710.0,580.0,605.0,238496900
2025-12-11,690.0,690.0,690.0,690.0,0
2025-12-12,690.0,690.0,690.0,690.0,0
2025-12-15,690.0,690.0,690.0,690.0,0
2025-12-16,690.0,690.0,690.0,690.0,0
2025-12-17,690.0,690.0,690.0,690.0,0
2025-12-18,690.0,690.0,690.0,690.0,0
2025-12-19,690.0,690.0,690.0,690.0,0
2025-12-22,690.0,690.0,690.0,690.0,0
2025-12-23,690.0,690.0,690.0,690.0,0
2025-12-24,690.0,690.0,690.0,690.0,0
2025-12-29,690.0,690.0,690.0,690.0,0
2025-12-30,625.0,625.0,625.0,625.0,24191000
2026-01-02,680.0,680.0,565.0,565.0,89158900
2026-01-05,680.0,710.0,680.0,700.0,29444500
2026-01-06,615.0,670.0,615.0,670.0,44914400
2026-01-07,650.0,660.0,635.0,635.0,19604900
2026-01-08,670.0,670.0,660.0,660.0,17494600
2026-01-09,675.0,675.0,670.0,670.0,12996600
2026-01-12,585.0,685.0,575.0,685.0,161927500
2026-01-13,540.0,600.0,505.0,585.0,118142400
2026-01-14,580.0,650.0,525.0,540.0,152260500
2026-01-15,725.0,725.0,675.0,725.0,218176600
2026-01-19,785.0,880.0,705.0,820.0,325053000
2026-01-20,735.0,790.0,730.0,785.0,134273000
2026-01-21,730.0,775.0,700.0,730.0,90667400
2026-01-22,715.0,760.0,695.0,725.0,57029100
2026-01-23,715.0,735.0,660.0,725.0,74981000
2026-01-26,675.0,735.0,675.0,715.0,46883400
2026-01-27,685.0,700.0,655.0,675.0,64080600
2026-01-28,585.0,665.0,585.0,585.0,176377400
2026-01-29,595.0,630.0,498.0,550.0,194849300
2026-01-30,570.0,620.0,545.0,610.0,88249900
2026-02-02,486.0,580.0,486.0,580.0,89703000
2026-02-03,580.0,585.0,422.0,434.0,112131500
2026-02-04,575.0,625.0,520.0,520.0,99739200
2026-02-05,535.0,585.0,535.0,570.0,37588100
2026-02-06,500.0,530.0,490.0,500.0,61421000
2026-02-09,515.0,520.0,480.0,500.0,39718800
2026-02-10,550.0,560.0,500.0,500.0,49285100
2026-02-11,570.0,580.0,545.0,555.0,56183800
2026-02-12,595.0,665.0,560.0,570.0,154037500
2026-02-13,590.0,615.0,580.0,605.0,61687700
2026-02-18,610.0,630.0,590.0,605.0,57234700
2026-02-19,610.0,620.0,595.0,615.0,31550000
2026-02-20,615.0,635.0,595.0,605.0,81973000
2026-02-23,660.0,685.0,625.0,640.0,127447200
2026-02-24,630.0,670.0,610.0,665.0,72783800
2026-02-25,635.0,650.0,605.0,630.0,78898800
2026-02-26,615.0,675.0,585.0,670.0,120995100
