Date,Close,High,Low,Open,Volume
2025-11-24,2410.0,2480.0,2370.0,2470.0,33488600
2025-11-25,2380.0,2450.0,2370.0,2450.0,16333400
2025-11-26,2470.0,2480.0,2400.0,2430.0,28132300
2025-11-27,2410.0,2500.0,2410.0,2490.0,16730200
2025-11-28,2440.0,2470.0,2410.0,2420.0,10985000
2025-12-01,2630.0,2740.0,2470.0,2480.0,70011400
2025-12-02,2750.0,2850.0,2610.0,2660.0,54855200
2025-12-03,2710.0,2840.0,2640.0,2780.0,33129000
2025-12-04,2630.0,2740.0,2610.0,2720.0,19293300
2025-12-05,2640.0,2700.0,2610.0,2630.0,14225400
2025-12-08,2600.0,2690.0,2580.0,2690.0,17070500
2025-12-09,2720.0,2730.0,2510.0,2600.0,35132800
2025-12-10,2630.0,2740.0,2630.0,2720.0,20907300
2025-12-11,2590.0,2680.0,2570.0,2640.0,11010600
2025-12-12,2640.0,2650.0,2580.0,2600.0,9712300
2025-12-15,2650.0,2700.0,2590.0,2680.0,22289200
2025-12-16,2650.0,2830.0,2650.0,2680.0,38168200
2025-12-17,2770.0,2800.0,2670.0,2680.0,20798100
2025-12-18,2700.0,2820.0,2650.0,2800.0,17336500
2025-12-19,2700.0,2710.0,2590.0,2710.0,20698300
2025-12-22,2650.0,2710.0,2630.0,2690.0,12004400
2025-12-23,2690.0,2700.0,2650.0,2660.0,8255000
2025-12-24,2650.0,2700.0,2610.0,2690.0,6989500
2025-12-29,2630.0,2670.0,2620.0,2650.0,6294600
2025-12-30,2620.0,2700.0,2620.0,2670.0,9529100
2026-01-02,2900.0,2900.0,2620.0,2620.0,48460600
2026-01-05,2850.0,2920.0,2730.0,2890.0,26750500
2026-01-06,2740.0,2880.0,2700.0,2850.0,30672300
2026-01-07,2550.0,2760.0,2510.0,2740.0,78900900
2026-01-08,2540.0,2600.0,2530.0,2550.0,52216200
2026-01-09,2590.0,2590.0,2540.0,2540.0,28108200
2026-01-12,2600.0,2650.0,2550.0,2590.0,34764600
2026-01-13,2740.0,2740.0,2610.0,2610.0,43994400
2026-01-14,2610.0,2820.0,2570.0,2750.0,77017500
2026-01-15,2700.0,2750.0,2620.0,2630.0,65947300
2026-01-19,2780.0,2800.0,2720.0,2790.0,27480600
2026-01-20,2930.0,2960.0,2730.0,2790.0,68481700
2026-01-21,2930.0,2950.0,2870.0,2940.0,28736000
2026-01-22,2880.0,2970.0,2840.0,2950.0,38397400
2026-01-23,2900.0,2910.0,2840.0,2910.0,19268500
2026-01-26,2840.0,2950.0,2790.0,2940.0,23163700
2026-01-27,2880.0,2880.0,2720.0,2840.0,42772500
2026-01-28,2750.0,2870.0,2470.0,2860.0,38249700
2026-01-29,2600.0,2720.0,2420.0,2720.0,63437500
2026-01-30,2770.0,2830.0,2620.0,2620.0,31015200
2026-02-02,2670.0,2820.0,2630.0,2810.0,16369100
2026-02-03,2790.0,2800.0,2680.0,2720.0,22082100
2026-02-04,2600.0,2800.0,2580.0,2790.0,48973200
2026-02-05,2590.0,2640.0,2520.0,2600.0,43676300
2026-02-06,2500.0,2550.0,2470.0,2550.0,23549300
2026-02-09,2550.0,2570.0,2510.0,2520.0,16521400
2026-02-10,2580.0,2600.0,2550.0,2550.0,14478100
2026-02-11,2580.0,2610.0,2560.0,2600.0,15451700
2026-02-12,2550.0,2600.0,2530.0,2580.0,18497000
2026-02-13,2560.0,2580.0,2550.0,2570.0,8372300
2026-02-18,2560.0,2590.0,2540.0,2560.0,13307900
2026-02-19,2480.0,2560.0,2480.0,2560.0,22011100
2026-02-20,2380.0,2480.0,2330.0,2480.0,49182100
2026-02-23,2400.0,2420.0,2350.0,2380.0,13146800
