Date,Close,High,Low,Open,Volume
2025-11-10,190.0,192.0,189.0,190.0,21138400
2025-11-11,188.0,190.0,185.0,190.0,27733500
2025-11-12,187.0,188.0,184.0,186.0,29492300
2025-11-13,186.0,188.0,184.0,185.0,44664600
2025-11-14,188.0,188.0,184.0,186.0,11090600
2025-11-17,188.0,189.0,185.0,188.0,23891200
2025-11-18,186.0,188.0,186.0,188.0,17602300
2025-11-19,185.0,186.0,183.0,186.0,22564300
2025-11-20,184.0,185.0,182.0,185.0,14273500
2025-11-21,183.0,184.0,181.0,183.0,14838500
2025-11-24,185.0,185.0,182.0,183.0,8422400
2025-11-25,183.0,185.0,182.0,185.0,18661700
2025-11-26,181.0,183.0,179.0,183.0,25805100
2025-11-27,181.0,182.0,179.0,181.0,11817300
2025-11-28,180.0,182.0,179.0,181.0,5795000
2025-12-01,178.0,181.0,175.0,180.0,22742400
2025-12-02,179.0,179.0,176.0,178.0,10562500
2025-12-03,175.0,180.0,175.0,179.0,37148300
2025-12-04,173.0,175.0,167.0,175.0,83558800
2025-12-05,172.0,172.0,169.0,171.0,19323000
2025-12-08,171.0,172.0,170.0,171.0,23255400
2025-12-09,183.0,202.0,170.0,171.0,570473000
2025-12-10,186.0,194.0,183.0,186.0,240409600
2025-12-11,212.0,228.0,188.0,190.0,1159999100
2025-12-12,250.0,256.0,206.0,226.0,1199823100
2025-12-15,220.0,262.0,214.0,252.0,872917400
2025-12-16,228.0,234.0,200.0,220.0,204567900
2025-12-17,226.0,236.0,220.0,230.0,154682500
2025-12-18,224.0,228.0,218.0,226.0,130475800
2025-12-19,222.0,228.0,216.0,228.0,68720400
2025-12-22,218.0,224.0,210.0,222.0,106596600
2025-12-23,200.0,218.0,200.0,218.0,182844900
2025-12-24,198.0,204.0,194.0,202.0,113760400
2025-12-29,204.0,206.0,186.0,200.0,69776500
2025-12-30,210.0,210.0,198.0,204.0,58428500
2026-01-02,208.0,210.0,200.0,210.0,67281800
2026-01-05,210.0,216.0,202.0,210.0,111740500
2026-01-06,240.0,258.0,212.0,216.0,789756700
2026-01-07,250.0,262.0,230.0,252.0,966926100
2026-01-08,312.0,312.0,252.0,258.0,1374420600
2026-01-09,354.0,364.0,306.0,320.0,1617870800
2026-01-12,332.0,348.0,310.0,348.0,650153800
2026-01-13,308.0,346.0,294.0,340.0,438367000
2026-01-14,312.0,322.0,292.0,310.0,452274800
2026-01-15,308.0,328.0,302.0,314.0,420153200
2026-01-19,300.0,308.0,290.0,308.0,223518000
2026-01-20,280.0,304.0,272.0,298.0,396161600
2026-01-21,276.0,296.0,264.0,280.0,656149300
2026-01-22,280.0,298.0,264.0,280.0,733954900
2026-01-23,282.0,286.0,268.0,282.0,234365100
2026-01-26,278.0,288.0,272.0,282.0,212736300
2026-01-27,280.0,284.0,270.0,276.0,145083400
2026-01-28,258.0,260.0,238.0,238.0,638473800
2026-01-29,224.0,250.0,220.0,238.0,575974400
2026-01-30,228.0,240.0,220.0,230.0,164280300
2026-02-02,197.0,232.0,194.0,232.0,302434400
2026-02-03,214.0,214.0,181.0,200.0,227777700
2026-02-04,210.0,218.0,204.0,214.0,153879300
2026-02-05,216.0,228.0,210.0,212.0,130194100
2026-02-06,199.0,210.0,195.0,206.0,162145700
2026-02-09,208.0,208.0,193.0,202.0,130976200
