Date,Close,High,Low,Open,Volume
2025-11-13,1285.0,1295.0,1275.0,1280.0,36067000
2025-11-14,1235.0,1295.0,1230.0,1290.0,80370400
2025-11-17,1225.0,1255.0,1225.0,1235.0,50255000
2025-11-18,1180.0,1235.0,1180.0,1225.0,127789000
2025-11-19,1230.0,1245.0,1195.0,1200.0,152788800
2025-11-20,1210.0,1245.0,1200.0,1230.0,91578500
2025-11-21,1210.0,1230.0,1190.0,1200.0,130150400
2025-11-24,1170.0,1220.0,1170.0,1200.0,1980522600
2025-11-25,1230.0,1240.0,1175.0,1180.0,382404300
2025-11-26,1255.0,1280.0,1225.0,1235.0,156911100
2025-11-27,1225.0,1260.0,1220.0,1255.0,118868900
2025-11-28,1200.0,1240.0,1200.0,1230.0,102883300
2025-12-01,1205.0,1220.0,1190.0,1200.0,55450200
2025-12-02,1140.0,1205.0,1115.0,1200.0,376504800
2025-12-03,1175.0,1185.0,1140.0,1150.0,159365800
2025-12-04,1190.0,1205.0,1160.0,1185.0,117885800
2025-12-05,1160.0,1195.0,1155.0,1190.0,66764200
2025-12-08,1190.0,1195.0,1160.0,1175.0,85060100
2025-12-09,1170.0,1200.0,1155.0,1200.0,128666300
2025-12-10,1175.0,1180.0,1160.0,1170.0,76714900
2025-12-11,1135.0,1170.0,1135.0,1160.0,61058000
2025-12-12,1160.0,1170.0,1130.0,1155.0,40485600
2025-12-15,1220.0,1230.0,1165.0,1175.0,143415000
2025-12-16,1200.0,1225.0,1175.0,1225.0,84031800
2025-12-17,1225.0,1225.0,1200.0,1205.0,67928600
2025-12-18,1225.0,1255.0,1210.0,1215.0,88737900
2025-12-19,1200.0,1230.0,1200.0,1225.0,59204600
2025-12-22,1225.0,1225.0,1200.0,1210.0,38199100
2025-12-23,1215.0,1220.0,1195.0,1215.0,33588200
2025-12-24,1210.0,1230.0,1195.0,1195.0,40215200
2025-12-29,1230.0,1240.0,1195.0,1215.0,45958800
2025-12-30,1205.0,1230.0,1200.0,1230.0,29402100
2026-01-02,1205.0,1235.0,1190.0,1215.0,33532500
2026-01-05,1225.0,1240.0,1205.0,1215.0,46518200
2026-01-06,1195.0,1225.0,1195.0,1225.0,56139100
2026-01-07,1195.0,1210.0,1180.0,1195.0,66577900
2026-01-08,1190.0,1210.0,1185.0,1195.0,40194800
2026-01-09,1185.0,1200.0,1180.0,1200.0,19865000
2026-01-12,1220.0,1235.0,1190.0,1190.0,60842500
2026-01-13,1230.0,1230.0,1210.0,1230.0,39389900
2026-01-14,1230.0,1245.0,1210.0,1230.0,45697500
2026-01-15,1205.0,1245.0,1200.0,1230.0,62817300
2026-01-19,1215.0,1235.0,1200.0,1215.0,59028000
2026-01-20,1190.0,1210.0,1190.0,1205.0,63111000
2026-01-21,1200.0,1200.0,1180.0,1195.0,45022400
2026-01-22,1225.0,1230.0,1200.0,1205.0,68058100
2026-01-23,1220.0,1230.0,1205.0,1225.0,40388700
2026-01-26,1180.0,1220.0,1180.0,1220.0,54910900
2026-01-27,1135.0,1185.0,1110.0,1185.0,111926900
2026-01-28,1100.0,1130.0,1070.0,1110.0,84670900
2026-01-29,1085.0,1105.0,1010.0,1085.0,90047800
2026-01-30,1145.0,1150.0,1090.0,1095.0,82357300
2026-02-02,1140.0,1155.0,1125.0,1145.0,81332000
2026-02-03,1150.0,1170.0,1125.0,1145.0,44686600
2026-02-04,1140.0,1160.0,1135.0,1160.0,45098700
2026-02-05,1115.0,1160.0,1115.0,1140.0,44406000
2026-02-06,1120.0,1130.0,1105.0,1115.0,33933600
2026-02-09,1105.0,1130.0,1090.0,1130.0,33061100
2026-02-10,1110.0,1110.0,1090.0,1095.0,44580100
2026-02-11,1105.0,1110.0,1095.0,1110.0,32635700
2026-02-12,1100.0,1110.0,1095.0,1105.0,42552400
2026-02-13,1080.0,1100.0,1080.0,1095.0,50565600
