Date,Close,High,Low,Open,Volume
2025-11-19,89.0,90.0,88.0,89.0,34861400
2025-11-20,88.0,90.0,87.0,89.0,35758000
2025-11-21,87.0,89.0,87.0,88.0,38607600
2025-11-24,88.0,89.0,87.0,87.0,24474700
2025-11-25,90.0,91.0,87.0,88.0,68826800
2025-11-26,90.0,92.0,89.0,91.0,46444100
2025-11-27,88.0,90.0,87.0,90.0,59746800
2025-11-28,91.0,92.0,87.0,89.0,112297100
2025-12-01,91.0,93.0,90.0,91.0,61595600
2025-12-02,89.0,95.0,88.0,91.0,259049400
2025-12-03,89.0,90.0,88.0,89.0,47381000
2025-12-04,91.0,93.0,88.0,89.0,149400900
2025-12-05,88.0,92.0,88.0,91.0,87890900
2025-12-08,89.0,90.0,88.0,88.0,64703400
2025-12-09,88.0,90.0,87.0,89.0,74187200
2025-12-10,88.0,89.0,87.0,88.0,54000800
2025-12-11,85.0,89.0,85.0,88.0,127256300
2025-12-12,86.0,88.0,85.0,85.0,42523700
2025-12-15,86.0,88.0,85.0,87.0,39834400
2025-12-16,86.0,87.0,85.0,87.0,29054900
2025-12-17,86.0,87.0,85.0,86.0,22322100
2025-12-18,85.0,87.0,85.0,86.0,36344000
2025-12-19,84.0,86.0,84.0,85.0,36384600
2025-12-22,84.0,85.0,83.0,85.0,54820700
2025-12-23,84.0,86.0,83.0,85.0,32417800
2025-12-24,83.0,85.0,83.0,84.0,13180100
2025-12-29,83.0,85.0,82.0,84.0,62335300
2025-12-30,84.0,85.0,83.0,83.0,37898800
2026-01-02,85.0,86.0,84.0,84.0,38135800
2026-01-05,90.0,91.0,84.0,85.0,202039600
2026-01-06,92.0,93.0,87.0,91.0,204320100
2026-01-07,92.0,96.0,91.0,93.0,179335300
2026-01-08,92.0,93.0,91.0,93.0,64372300
2026-01-09,97.0,98.0,91.0,92.0,287821300
2026-01-12,100.0,106.0,94.0,98.0,775913100
2026-01-13,98.0,109.0,96.0,100.0,638090100
2026-01-14,99.0,100.0,96.0,99.0,134658500
2026-01-15,96.0,101.0,94.0,100.0,158062300
2026-01-19,104.0,106.0,98.0,98.0,525948600
2026-01-20,100.0,107.0,99.0,107.0,295823700
2026-01-21,98.0,101.0,96.0,100.0,124380200
2026-01-22,128.0,131.0,99.0,99.0,5612639900
2026-01-23,115.0,143.0,112.0,127.0,5149304300
2026-01-26,116.0,127.0,114.0,117.0,1395270100
2026-01-27,110.0,119.0,107.0,117.0,587440700
2026-01-28,99.0,109.0,97.0,100.0,829612800
2026-01-29,96.0,100.0,85.0,99.0,680607700
2026-01-30,97.0,105.0,95.0,100.0,540801900
2026-02-02,91.0,98.0,88.0,98.0,320139700
2026-02-03,95.0,95.0,88.0,90.0,227769300
2026-02-04,92.0,95.0,91.0,95.0,166625500
2026-02-05,92.0,94.0,90.0,92.0,180794600
2026-02-06,89.0,92.0,88.0,89.0,149218200
2026-02-09,90.0,91.0,87.0,90.0,125763400
2026-02-10,92.0,94.0,89.0,90.0,114874300
2026-02-11,94.0,96.0,92.0,92.0,283942500
2026-02-12,100.0,104.0,92.0,94.0,825571200
2026-02-13,96.0,99.0,96.0,98.0,224823500
2026-02-18,98.0,99.0,95.0,97.0,189934400
2026-02-19,98.0,102.0,98.0,98.0,238414500
