Date,Close,High,Low,Open,Volume
2025-11-10,685.0,690.0,635.0,650.0,386728500
2025-11-11,680.0,750.0,670.0,695.0,1017299700
2025-11-12,670.0,700.0,665.0,685.0,206126500
2025-11-13,660.0,680.0,650.0,675.0,136882400
2025-11-14,635.0,655.0,625.0,655.0,206776300
2025-11-17,585.0,635.0,580.0,635.0,384690700
2025-11-18,575.0,590.0,560.0,585.0,201423600
2025-11-19,565.0,590.0,560.0,575.0,125211700
2025-11-20,565.0,580.0,565.0,575.0,94360900
2025-11-21,560.0,570.0,540.0,565.0,177126700
2025-11-24,550.0,575.0,550.0,565.0,148148700
2025-11-25,585.0,585.0,550.0,555.0,340148200
2025-11-26,585.0,595.0,575.0,590.0,155997200
2025-11-27,570.0,590.0,565.0,590.0,150281500
2025-11-28,545.0,570.0,540.0,570.0,191457800
2025-12-01,550.0,560.0,535.0,545.0,132493900
2025-12-02,545.0,560.0,540.0,555.0,111213200
2025-12-03,530.0,550.0,530.0,545.0,112044300
2025-12-04,535.0,545.0,530.0,535.0,74872600
2025-12-05,535.0,545.0,530.0,535.0,62998800
2025-12-08,555.0,560.0,540.0,540.0,136362300
2025-12-09,540.0,565.0,535.0,560.0,108461000
2025-12-10,560.0,570.0,530.0,545.0,209689500
2025-12-11,535.0,570.0,525.0,565.0,191203500
2025-12-12,535.0,545.0,525.0,535.0,82737500
2025-12-15,535.0,560.0,530.0,535.0,161743400
2025-12-16,530.0,540.0,525.0,535.0,74609200
2025-12-17,535.0,540.0,525.0,530.0,59367100
2025-12-18,545.0,565.0,540.0,555.0,159644400
2025-12-19,530.0,565.0,530.0,550.0,137468200
2025-12-22,540.0,545.0,530.0,535.0,81651400
2025-12-23,560.0,575.0,535.0,545.0,282523700
2025-12-24,545.0,575.0,540.0,570.0,145116200
2025-12-29,580.0,580.0,545.0,545.0,183630800
2025-12-30,570.0,590.0,565.0,580.0,149005000
2026-01-02,620.0,630.0,580.0,580.0,390788900
2026-01-05,625.0,645.0,605.0,625.0,263126700
2026-01-06,660.0,670.0,635.0,645.0,419525600
2026-01-07,670.0,720.0,665.0,690.0,981577200
2026-01-08,630.0,655.0,625.0,655.0,479440100
2026-01-09,650.0,655.0,630.0,635.0,176705700
2026-01-12,650.0,670.0,615.0,665.0,356975200
2026-01-13,775.0,790.0,650.0,650.0,1744226300
2026-01-14,770.0,815.0,750.0,800.0,1163578300
2026-01-15,790.0,845.0,780.0,810.0,686073600
2026-01-19,770.0,785.0,735.0,780.0,406933700
2026-01-20,770.0,785.0,755.0,770.0,191848400
2026-01-21,780.0,810.0,755.0,765.0,341661600
2026-01-22,790.0,830.0,765.0,785.0,613809300
2026-01-23,795.0,815.0,770.0,810.0,274452800
2026-01-26,805.0,860.0,800.0,820.0,591935400
2026-01-27,765.0,815.0,760.0,810.0,288625100
2026-01-28,755.0,775.0,665.0,665.0,582208100
2026-01-29,720.0,765.0,645.0,765.0,768598200
2026-01-30,700.0,735.0,670.0,720.0,267077600
2026-02-02,595.0,685.0,595.0,650.0,331782000
2026-02-03,650.0,655.0,545.0,605.0,533863900
2026-02-04,670.0,680.0,625.0,635.0,334155800
2026-02-05,650.0,680.0,640.0,675.0,163977500
2026-02-06,615.0,640.0,605.0,635.0,185069100
2026-02-09,655.0,670.0,615.0,625.0,191340100
