Date,Close,High,Low,Open,Volume
2025-11-20,2170.0,2260.0,2170.0,2250.0,36764300
2025-11-21,2270.0,2270.0,2140.0,2170.0,57952200
2025-11-24,2300.0,2330.0,2220.0,2280.0,70511600
2025-11-25,2300.0,2320.0,2270.0,2310.0,23402700
2025-11-26,2340.0,2350.0,2290.0,2310.0,38991800
2025-11-27,2350.0,2390.0,2320.0,2350.0,28361600
2025-11-28,2280.0,2380.0,2280.0,2360.0,32960000
2025-12-01,2310.0,2320.0,2270.0,2300.0,29439300
2025-12-02,2280.0,2340.0,2280.0,2320.0,20031500
2025-12-03,2260.0,2310.0,2200.0,2310.0,33970800
2025-12-04,2250.0,2260.0,2210.0,2260.0,27269600
2025-12-05,2230.0,2260.0,2200.0,2220.0,21861800
2025-12-08,2330.0,2330.0,2220.0,2230.0,39530900
2025-12-09,2240.0,2340.0,2240.0,2340.0,37403400
2025-12-10,2280.0,2340.0,2240.0,2270.0,47920200
2025-12-11,2200.0,2330.0,2150.0,2300.0,66675000
2025-12-12,2250.0,2270.0,2170.0,2220.0,66023200
2025-12-15,2350.0,2480.0,2250.0,2280.0,153363100
2025-12-16,2310.0,2360.0,2270.0,2350.0,52851800
2025-12-17,2290.0,2340.0,2280.0,2320.0,26770700
2025-12-18,2200.0,2290.0,2190.0,2290.0,39767100
2025-12-19,2190.0,2240.0,2160.0,2220.0,35838900
2025-12-22,2260.0,2270.0,2220.0,2220.0,33154700
2025-12-23,2230.0,2300.0,2210.0,2290.0,31550000
2025-12-24,2200.0,2260.0,2180.0,2250.0,18123000
2025-12-29,2320.0,2350.0,2220.0,2220.0,67899600
2025-12-30,2280.0,2310.0,2240.0,2300.0,23506900
2026-01-02,2330.0,2350.0,2260.0,2290.0,33768500
2026-01-05,2480.0,2480.0,2360.0,2380.0,98930000
2026-01-06,2700.0,2730.0,2500.0,2500.0,203198800
2026-01-07,2720.0,2770.0,2680.0,2750.0,112010500
2026-01-08,2560.0,2710.0,2530.0,2710.0,84234700
2026-01-09,2700.0,2710.0,2580.0,2580.0,64094600
2026-01-12,2890.0,2890.0,2660.0,2760.0,178530600
2026-01-13,3120.0,3150.0,2930.0,2950.0,301565000
2026-01-14,3060.0,3190.0,3020.0,3160.0,128273700
2026-01-15,2990.0,3150.0,2950.0,3090.0,125184800
2026-01-19,3060.0,3070.0,2930.0,3030.0,116660400
2026-01-20,3210.0,3230.0,3040.0,3130.0,168195300
2026-01-21,3310.0,3410.0,3220.0,3260.0,165486500
2026-01-22,3240.0,3350.0,3180.0,3260.0,119070600
2026-01-23,3300.0,3380.0,3230.0,3350.0,103617400
2026-01-26,3450.0,3580.0,3330.0,3350.0,211599000
2026-01-27,3210.0,3490.0,3130.0,3470.0,174852000
2026-01-28,3240.0,3260.0,2970.0,3130.0,237110300
2026-01-29,3170.0,3330.0,2810.0,3300.0,244629800
2026-01-30,3210.0,3350.0,3110.0,3200.0,147285200
2026-02-02,2730.0,3020.0,2730.0,2960.0,115937900
2026-02-03,2950.0,2950.0,2620.0,2900.0,112002800
2026-02-04,3030.0,3110.0,2990.0,3010.0,97456600
2026-02-05,3060.0,3130.0,2840.0,3050.0,148922200
2026-02-06,2850.0,2990.0,2810.0,2940.0,107512500
2026-02-09,3040.0,3070.0,2900.0,2900.0,67790000
2026-02-10,3090.0,3180.0,3020.0,3060.0,70308100
2026-02-11,3160.0,3220.0,3090.0,3100.0,61619200
2026-02-12,3190.0,3280.0,3180.0,3180.0,66660600
2026-02-13,3220.0,3250.0,3110.0,3170.0,49113000
2026-02-18,3290.0,3300.0,3160.0,3200.0,51711000
2026-02-19,3530.0,3680.0,3290.0,3300.0,144237200
2026-02-20,3590.0,3680.0,3530.0,3600.0,70740400
