Date,Close,High,Low,Open,Volume
2025-11-11,181.0,185.0,179.0,184.0,84940200
2025-11-12,185.0,197.0,181.0,182.0,321970900
2025-11-13,182.0,189.0,182.0,186.0,101777200
2025-11-14,180.0,185.0,180.0,182.0,45596900
2025-11-17,242.0,242.0,180.0,180.0,3425569700
2025-11-18,230.0,260.0,224.0,246.0,3111062500
2025-11-19,214.0,232.0,208.0,230.0,760632500
2025-11-20,232.0,244.0,214.0,214.0,1591646200
2025-11-21,226.0,238.0,224.0,232.0,260661900
2025-11-24,238.0,244.0,224.0,228.0,578611100
2025-11-25,240.0,252.0,230.0,242.0,1097027700
2025-11-26,300.0,300.0,242.0,246.0,2718114200
2025-11-27,310.0,348.0,288.0,296.0,2348542000
2025-11-28,370.0,384.0,312.0,312.0,2266498900
2025-12-01,412.0,448.0,382.0,382.0,1686357600
2025-12-02,412.0,412.0,412.0,412.0,0
2025-12-03,426.0,452.0,412.0,430.0,1077848000
2025-12-04,426.0,444.0,418.0,434.0,544934400
2025-12-05,488.0,500.0,414.0,432.0,2145899200
2025-12-08,488.0,488.0,488.0,488.0,0
2025-12-09,488.0,488.0,488.0,488.0,0
2025-12-10,488.0,488.0,488.0,488.0,0
2025-12-11,488.0,488.0,488.0,488.0,0
2025-12-12,488.0,488.0,488.0,488.0,0
2025-12-15,488.0,488.0,488.0,488.0,0
2025-12-16,488.0,488.0,488.0,488.0,0
2025-12-17,488.0,488.0,488.0,488.0,0
2025-12-18,440.0,440.0,440.0,440.0,73533000
2025-12-19,396.0,396.0,396.0,396.0,13906300
2025-12-22,358.0,358.0,358.0,358.0,36029300
2025-12-23,350.0,366.0,350.0,366.0,133482000
2025-12-24,330.0,342.0,330.0,342.0,47052200
2025-12-29,362.0,362.0,330.0,330.0,69174500
2025-12-30,382.0,398.0,378.0,378.0,72363800
2026-01-02,456.0,468.0,390.0,400.0,698110800
2026-01-05,510.0,525.0,426.0,458.0,1485974600
2026-01-06,515.0,560.0,482.0,510.0,1040549600
2026-01-07,478.0,535.0,476.0,515.0,378174100
2026-01-08,520.0,525.0,444.0,474.0,839269300
2026-01-09,615.0,645.0,510.0,525.0,1718268500
2026-01-12,625.0,725.0,530.0,640.0,1517453500
2026-01-13,570.0,650.0,540.0,625.0,551863700
2026-01-14,630.0,630.0,570.0,590.0,366772400
2026-01-15,635.0,690.0,605.0,625.0,783858700
2026-01-19,600.0,650.0,595.0,650.0,325801900
2026-01-20,630.0,665.0,585.0,605.0,580458400
2026-01-21,615.0,655.0,605.0,630.0,430103300
2026-01-22,570.0,665.0,545.0,620.0,699642400
2026-01-23,520.0,570.0,494.0,570.0,521722300
2026-01-26,442.0,535.0,442.0,520.0,734418300
2026-01-27,462.0,468.0,394.0,428.0,714004200
2026-01-28,394.0,436.0,394.0,394.0,370117200
2026-01-29,374.0,394.0,336.0,340.0,692506400
2026-01-30,378.0,416.0,368.0,390.0,328740800
2026-02-02,322.0,376.0,322.0,376.0,213659000
2026-02-03,346.0,352.0,274.0,278.0,622839800
2026-02-04,296.0,330.0,296.0,296.0,1113334700
2026-02-05,252.0,304.0,252.0,288.0,1613186000
2026-02-06,226.0,274.0,222.0,252.0,938998600
2026-02-09,248.0,254.0,222.0,234.0,978652800
2026-02-10,242.0,258.0,234.0,240.0,436124000
2026-02-11,302.0,302.0,244.0,246.0,1339830200
