Date,Close,High,Low,Open,Volume
2025-11-06,1110.0,1140.0,1100.0,1125.0,69259300
2025-11-07,1125.0,1140.0,1105.0,1105.0,41150200
2025-11-10,1110.0,1140.0,1105.0,1125.0,42831500
2025-11-11,1095.0,1120.0,1075.0,1115.0,54364100
2025-11-12,1100.0,1105.0,1075.0,1095.0,38340100
2025-11-13,1085.0,1110.0,1080.0,1100.0,22504000
2025-11-14,1030.0,1080.0,1025.0,1080.0,87280100
2025-11-17,1025.0,1040.0,1005.0,1025.0,76230500
2025-11-18,1000.0,1030.0,995.0,1025.0,44466000
2025-11-19,980.0,1005.0,965.0,1000.0,84564300
2025-11-20,975.0,1025.0,975.0,985.0,78886500
2025-11-21,970.0,990.0,950.0,975.0,62531400
2025-11-24,950.0,975.0,950.0,970.0,46409100
2025-11-25,995.0,1010.0,950.0,955.0,91474900
2025-11-26,1010.0,1020.0,995.0,1015.0,60796000
2025-11-27,1000.0,1015.0,995.0,1015.0,30779800
2025-11-28,1045.0,1045.0,990.0,1000.0,57345400
2025-12-01,1020.0,1050.0,1015.0,1050.0,40051000
2025-12-02,1030.0,1035.0,1015.0,1020.0,25580000
2025-12-03,1010.0,1040.0,1005.0,1030.0,26668900
2025-12-04,1030.0,1030.0,1005.0,1010.0,17949400
2025-12-05,1020.0,1035.0,1015.0,1035.0,25262300
2025-12-08,1025.0,1045.0,1015.0,1030.0,28767700
2025-12-09,1020.0,1030.0,1005.0,1025.0,23952300
2025-12-10,1020.0,1030.0,1010.0,1020.0,26028800
2025-12-11,965.0,1025.0,955.0,1020.0,85972000
2025-12-12,965.0,975.0,940.0,965.0,45785900
2025-12-15,960.0,985.0,950.0,965.0,50530300
2025-12-16,985.0,995.0,955.0,960.0,30386800
2025-12-17,1010.0,1030.0,990.0,990.0,54555000
2025-12-18,1020.0,1020.0,1005.0,1010.0,29266300
2025-12-19,1050.0,1085.0,1020.0,1035.0,161286000
2025-12-22,1065.0,1080.0,1035.0,1070.0,61571000
2025-12-23,1130.0,1145.0,1070.0,1075.0,148924200
2025-12-24,1110.0,1165.0,1110.0,1150.0,84521300
2025-12-29,1125.0,1140.0,1105.0,1130.0,40203900
2025-12-30,1125.0,1165.0,1110.0,1135.0,53531800
2026-01-02,1165.0,1190.0,1150.0,1165.0,80059400
2026-01-05,1180.0,1180.0,1145.0,1175.0,65696500
2026-01-06,1300.0,1325.0,1215.0,1215.0,281990200
2026-01-07,1400.0,1480.0,1355.0,1360.0,499262900
2026-01-08,1305.0,1360.0,1255.0,1360.0,286791000
2026-01-09,1300.0,1330.0,1270.0,1295.0,144864400
2026-01-12,1300.0,1335.0,1230.0,1330.0,134711300
2026-01-13,1325.0,1355.0,1280.0,1300.0,284411200
2026-01-14,1410.0,1445.0,1340.0,1340.0,248212500
2026-01-15,1420.0,1530.0,1410.0,1500.0,228344800
2026-01-19,1395.0,1400.0,1340.0,1400.0,83245800
2026-01-20,1450.0,1470.0,1385.0,1400.0,95890000
2026-01-21,1465.0,1475.0,1415.0,1440.0,99291300
2026-01-22,1445.0,1480.0,1425.0,1480.0,80753200
2026-01-23,1470.0,1475.0,1420.0,1475.0,88492500
2026-01-26,1535.0,1570.0,1470.0,1525.0,294126500
2026-01-27,1450.0,1535.0,1445.0,1535.0,156732300
2026-01-28,1395.0,1410.0,1235.0,1240.0,189992200
2026-01-29,1370.0,1400.0,1205.0,1395.0,191832400
2026-01-30,1375.0,1395.0,1325.0,1370.0,82929700
2026-02-02,1245.0,1350.0,1220.0,1345.0,156619600
2026-02-03,1320.0,1330.0,1250.0,1265.0,74543700
2026-02-04,1380.0,1380.0,1320.0,1345.0,58597600
2026-02-05,1310.0,1385.0,1295.0,1380.0,86345200
2026-02-06,1300.0,1305.0,1255.0,1275.0,25703300
