Date,Close,High,Low,Open,Volume
2025-11-26,236.0,244.0,230.0,230.0,347149600
2025-11-27,232.0,238.0,228.0,236.0,43653400
2025-11-28,224.0,234.0,222.0,234.0,32161500
2025-12-01,220.0,228.0,216.0,226.0,31816300
2025-12-02,236.0,246.0,218.0,220.0,337576300
2025-12-03,222.0,236.0,220.0,236.0,81685700
2025-12-04,220.0,224.0,216.0,224.0,30477600
2025-12-05,224.0,228.0,218.0,226.0,30677100
2025-12-08,232.0,236.0,226.0,226.0,246475400
2025-12-09,226.0,232.0,224.0,232.0,111357500
2025-12-10,224.0,232.0,224.0,232.0,74530200
2025-12-11,224.0,234.0,222.0,228.0,42679400
2025-12-12,226.0,238.0,226.0,228.0,172150200
2025-12-15,230.0,238.0,224.0,230.0,136797200
2025-12-16,252.0,260.0,224.0,230.0,299397500
2025-12-17,242.0,286.0,240.0,262.0,392356200
2025-12-18,234.0,254.0,234.0,248.0,83339000
2025-12-19,258.0,276.0,240.0,264.0,256754200
2025-12-22,250.0,262.0,246.0,258.0,111398100
2025-12-23,246.0,252.0,240.0,252.0,40983400
2025-12-24,242.0,248.0,238.0,246.0,90152500
2025-12-29,260.0,260.0,242.0,244.0,66564200
2025-12-30,264.0,272.0,260.0,266.0,125311900
2026-01-02,258.0,264.0,250.0,262.0,114534400
2026-01-05,316.0,316.0,260.0,260.0,525711100
2026-01-06,330.0,336.0,292.0,326.0,570595300
2026-01-07,412.0,412.0,320.0,334.0,585428000
2026-01-08,372.0,448.0,362.0,418.0,612248400
2026-01-09,380.0,402.0,372.0,376.0,245066700
2026-01-12,372.0,396.0,334.0,388.0,241701400
2026-01-13,368.0,386.0,364.0,378.0,114281500
2026-01-14,398.0,400.0,372.0,372.0,193683600
2026-01-15,390.0,398.0,376.0,398.0,200938100
2026-01-19,486.0,486.0,398.0,398.0,631063800
2026-01-20,486.0,486.0,486.0,486.0,0
2026-01-21,520.0,590.0,492.0,500.0,566234400
2026-01-22,476.0,520.0,458.0,520.0,329954900
2026-01-23,476.0,488.0,426.0,482.0,204307500
2026-01-26,454.0,486.0,450.0,478.0,193285000
2026-01-27,454.0,460.0,418.0,450.0,110191300
2026-01-28,386.0,430.0,386.0,390.0,190683500
2026-01-29,400.0,416.0,330.0,360.0,260567200
2026-01-30,402.0,416.0,380.0,406.0,213896900
2026-02-02,342.0,406.0,342.0,406.0,104977900
2026-02-03,406.0,416.0,332.0,332.0,251731200
2026-02-04,388.0,406.0,376.0,406.0,81336900
2026-02-05,386.0,406.0,380.0,386.0,112809200
2026-02-06,360.0,380.0,350.0,360.0,49861300
2026-02-09,360.0,368.0,332.0,364.0,58518400
2026-02-10,394.0,396.0,350.0,358.0,177374700
2026-02-11,422.0,434.0,388.0,398.0,286544300
2026-02-12,418.0,426.0,410.0,422.0,139670400
2026-02-13,414.0,444.0,406.0,418.0,116832400
2026-02-18,468.0,484.0,400.0,406.0,615111700
2026-02-19,456.0,472.0,452.0,470.0,142093200
2026-02-20,438.0,456.0,438.0,454.0,76180400
2026-02-23,468.0,484.0,432.0,438.0,316641100
2026-02-24,442.0,476.0,442.0,468.0,214819200
2026-02-25,454.0,472.0,422.0,444.0,218788000
2026-02-26,434.0,468.0,422.0,456.0,149665300
