Date,Close,High,Low,Open,Volume
2025-11-10,75.0,76.0,75.0,76.0,6121300
2025-11-11,70.0,74.0,70.0,74.0,19586800
2025-11-12,70.0,70.0,69.0,70.0,13870200
2025-11-13,70.0,70.0,68.0,69.0,11598200
2025-11-14,72.0,72.0,70.0,70.0,10398000
2025-11-17,76.0,76.0,73.0,73.0,14909800
2025-11-18,74.0,76.0,73.0,76.0,8704300
2025-11-19,73.0,73.0,72.0,73.0,4654500
2025-11-20,73.0,73.0,72.0,73.0,6316600
2025-11-21,76.0,76.0,72.0,72.0,13696300
2025-11-24,73.0,76.0,73.0,76.0,22180900
2025-11-25,76.0,76.0,75.0,75.0,16704100
2025-11-26,83.0,83.0,79.0,79.0,32362100
2025-11-27,91.0,91.0,91.0,91.0,35828500
2025-11-28,122.0,122.0,101.0,122.0,506878500
2025-12-01,164.0,164.0,135.0,135.0,1125947200
2025-12-02,154.0,185.0,144.0,150.0,1283189900
2025-12-03,155.0,166.0,151.0,160.0,410699300
2025-12-04,146.0,157.0,140.0,145.0,283681800
2025-12-05,151.0,162.0,141.0,147.0,587050800
2025-12-08,155.0,164.0,147.0,154.0,404214800
2025-12-09,154.0,166.0,152.0,156.0,737726700
2025-12-10,131.0,160.0,131.0,160.0,1256033700
2025-12-11,122.0,130.0,112.0,119.0,811621900
2025-12-12,122.0,137.0,119.0,125.0,423696600
2025-12-15,111.0,126.0,110.0,125.0,243563600
2025-12-16,112.0,122.0,105.0,111.0,251345100
2025-12-17,150.0,151.0,111.0,114.0,2478936500
2025-12-18,130.0,146.0,129.0,142.0,1243795200
2025-12-19,117.0,126.0,114.0,122.0,328274500
2025-12-22,114.0,123.0,108.0,117.0,289732200
2025-12-23,114.0,122.0,113.0,115.0,187288300
2025-12-24,111.0,124.0,111.0,117.0,252974700
2025-12-29,125.0,131.0,115.0,116.0,473365800
2025-12-30,123.0,133.0,120.0,127.0,294675900
2026-01-02,136.0,137.0,123.0,124.0,402357200
2026-01-05,150.0,151.0,132.0,139.0,742034800
2026-01-06,188.0,193.0,151.0,155.0,2214221000
2026-01-07,188.0,188.0,188.0,188.0,0
2026-01-08,175.0,191.0,169.0,179.0,843421800
2026-01-09,198.0,212.0,176.0,176.0,2141002400
2026-01-12,199.0,224.0,169.0,206.0,1493524300
2026-01-13,199.0,199.0,199.0,199.0,0
2026-01-14,199.0,199.0,199.0,199.0,0
2026-01-15,199.0,199.0,199.0,199.0,0
2026-01-19,199.0,199.0,199.0,199.0,0
2026-01-20,199.0,199.0,199.0,199.0,0
2026-01-21,199.0,199.0,199.0,199.0,0
2026-01-22,199.0,199.0,199.0,199.0,0
2026-01-23,199.0,199.0,199.0,199.0,0
2026-01-26,199.0,199.0,199.0,199.0,0
2026-01-27,180.0,180.0,180.0,180.0,29102700
2026-01-28,162.0,162.0,162.0,162.0,11107900
2026-01-29,146.0,146.0,146.0,146.0,15839100
2026-01-30,146.0,146.0,132.0,132.0,224865500
2026-02-02,132.0,132.0,132.0,132.0,23319800
2026-02-03,130.0,130.0,119.0,119.0,121860200
2026-02-04,117.0,117.0,117.0,117.0,42517800
2026-02-05,100.0,113.0,100.0,100.0,1056890900
2026-02-06,85.0,95.0,85.0,91.0,1814015900
2026-02-09,88.0,94.0,74.0,78.0,2303185200
2026-02-10,86.0,91.0,83.0,86.0,364794200
