Date,Close,High,Low,Open,Volume
2025-11-20,1750.0,1770.0,1745.0,1760.0,13375400
2025-11-21,1720.0,1750.0,1720.0,1735.0,11718300
2025-11-24,1735.0,1750.0,1725.0,1750.0,13982600
2025-11-25,1735.0,1765.0,1730.0,1765.0,25117400
2025-11-26,1755.0,1760.0,1725.0,1750.0,28814700
2025-11-27,1740.0,1775.0,1740.0,1760.0,22519900
2025-11-28,1805.0,1805.0,1745.0,1755.0,72539900
2025-12-01,1870.0,1870.0,1805.0,1870.0,84343200
2025-12-02,1830.0,1855.0,1800.0,1850.0,38476800
2025-12-03,1870.0,1880.0,1815.0,1825.0,63283500
2025-12-04,1850.0,1885.0,1835.0,1885.0,19895300
2025-12-05,1825.0,1860.0,1820.0,1850.0,17631200
2025-12-08,1830.0,1850.0,1810.0,1840.0,21393700
2025-12-09,1805.0,1835.0,1800.0,1830.0,21483800
2025-12-10,1855.0,1860.0,1815.0,1825.0,31706500
2025-12-11,1825.0,1865.0,1800.0,1860.0,30982100
2025-12-12,1830.0,1840.0,1800.0,1840.0,20130900
2025-12-15,1820.0,1845.0,1800.0,1835.0,13147200
2025-12-16,1810.0,1840.0,1805.0,1820.0,20098600
2025-12-17,1865.0,1885.0,1810.0,1815.0,48848400
2025-12-18,1840.0,1880.0,1825.0,1880.0,30574100
2025-12-19,1860.0,1890.0,1840.0,1850.0,44274500
2025-12-22,1905.0,1915.0,1860.0,1860.0,42110500
2025-12-23,1880.0,1910.0,1865.0,1910.0,21267400
2025-12-24,1890.0,1925.0,1885.0,1885.0,25187600
2025-12-29,1900.0,1920.0,1885.0,1900.0,17037900
2025-12-30,1910.0,1920.0,1890.0,1900.0,26244200
2026-01-02,1930.0,1930.0,1910.0,1915.0,27636600
2026-01-05,1955.0,1960.0,1930.0,1935.0,32107000
2026-01-06,1900.0,1960.0,1875.0,1955.0,56607500
2026-01-07,1945.0,1970.0,1850.0,1850.0,55398900
2026-01-08,1960.0,2020.0,1960.0,1965.0,79475200
2026-01-09,1975.0,1995.0,1955.0,1980.0,23379900
2026-01-12,1965.0,1995.0,1930.0,1975.0,30511400
2026-01-13,1980.0,1990.0,1955.0,1975.0,24455600
2026-01-14,2030.0,2070.0,1995.0,1995.0,79691800
2026-01-15,2020.0,2030.0,1995.0,2030.0,32721200
2026-01-19,2040.0,2060.0,2000.0,2050.0,24114600
2026-01-20,2080.0,2100.0,2020.0,2040.0,46546600
2026-01-21,2090.0,2100.0,2040.0,2080.0,55138400
2026-01-22,2160.0,2210.0,2100.0,2100.0,93110000
2026-01-23,2270.0,2300.0,2140.0,2160.0,86989900
2026-01-26,2260.0,2310.0,2230.0,2270.0,49581000
2026-01-27,2160.0,2260.0,2120.0,2260.0,62735700
2026-01-28,2120.0,2200.0,2060.0,2100.0,76372900
2026-01-29,2080.0,2130.0,1845.0,2130.0,136964100
2026-01-30,2120.0,2160.0,2070.0,2080.0,72304800
2026-02-02,2180.0,2260.0,2140.0,2170.0,131625600
2026-02-03,2160.0,2230.0,2120.0,2230.0,54321900
2026-02-04,2200.0,2210.0,2150.0,2170.0,38052100
2026-02-05,2200.0,2230.0,2190.0,2200.0,29529900
2026-02-06,2230.0,2230.0,2120.0,2170.0,50045400
2026-02-09,2220.0,2230.0,2160.0,2200.0,47396200
2026-02-10,2220.0,2250.0,2200.0,2240.0,32413900
2026-02-11,2230.0,2250.0,2190.0,2220.0,24828700
2026-02-12,2220.0,2260.0,2220.0,2250.0,24789200
2026-02-13,2130.0,2220.0,2110.0,2210.0,55623500
2026-02-18,2160.0,2160.0,2120.0,2150.0,34315200
2026-02-19,2180.0,2210.0,2140.0,2180.0,32033700
2026-02-20,2190.0,2190.0,2150.0,2180.0,28861000
