Date,Close,High,Low,Open,Volume
2025-11-24,248.0,252.0,246.0,248.0,35381100
2025-11-25,250.0,254.0,248.0,248.0,31723900
2025-11-26,268.0,268.0,252.0,254.0,255348800
2025-11-27,278.0,290.0,268.0,284.0,818550100
2025-11-28,274.0,286.0,266.0,284.0,259896100
2025-12-01,274.0,282.0,264.0,274.0,195395400
2025-12-02,268.0,278.0,268.0,276.0,86515400
2025-12-03,274.0,282.0,264.0,268.0,273247600
2025-12-04,270.0,278.0,268.0,278.0,98867500
2025-12-05,262.0,272.0,260.0,270.0,106505600
2025-12-08,266.0,268.0,260.0,264.0,97309500
2025-12-09,258.0,266.0,256.0,266.0,127538500
2025-12-10,256.0,260.0,254.0,258.0,85630700
2025-12-11,248.0,258.0,248.0,258.0,95163200
2025-12-12,260.0,262.0,250.0,252.0,119560400
2025-12-15,262.0,264.0,254.0,260.0,106390400
2025-12-16,260.0,264.0,258.0,264.0,71573700
2025-12-17,268.0,270.0,252.0,260.0,290091600
2025-12-18,262.0,270.0,260.0,268.0,124335600
2025-12-19,254.0,264.0,252.0,262.0,128677800
2025-12-22,250.0,256.0,250.0,254.0,56889100
2025-12-23,252.0,254.0,250.0,250.0,32117800
2025-12-24,252.0,254.0,248.0,252.0,37686500
2025-12-29,252.0,256.0,250.0,252.0,24763900
2025-12-30,258.0,260.0,252.0,252.0,64761100
2026-01-02,278.0,284.0,256.0,258.0,481043300
2026-01-05,334.0,334.0,288.0,302.0,1992200600
2026-01-06,306.0,330.0,298.0,328.0,899000800
2026-01-07,304.0,312.0,298.0,304.0,404317900
2026-01-08,304.0,316.0,298.0,304.0,245406400
2026-01-09,302.0,306.0,300.0,306.0,123056700
2026-01-12,302.0,314.0,288.0,302.0,589339100
2026-01-13,294.0,306.0,294.0,304.0,144173700
2026-01-14,306.0,308.0,294.0,294.0,163841900
2026-01-15,300.0,312.0,300.0,306.0,149985100
2026-01-19,302.0,308.0,298.0,300.0,109920100
2026-01-20,300.0,306.0,298.0,302.0,81709900
2026-01-21,294.0,300.0,292.0,300.0,145237200
2026-01-22,306.0,312.0,294.0,298.0,389668200
2026-01-23,300.0,308.0,296.0,308.0,186785100
2026-01-26,294.0,302.0,292.0,302.0,140116700
2026-01-27,286.0,298.0,280.0,296.0,176479300
2026-01-28,270.0,284.0,262.0,280.0,342349000
2026-01-29,264.0,266.0,232.0,260.0,298066300
2026-01-30,266.0,276.0,260.0,264.0,132033500
2026-02-02,254.0,272.0,250.0,266.0,117010200
2026-02-03,262.0,264.0,254.0,256.0,68579300
2026-02-04,260.0,264.0,258.0,262.0,44016900
2026-02-05,266.0,270.0,260.0,262.0,63581700
2026-02-06,276.0,278.0,258.0,260.0,190911100
2026-02-09,276.0,280.0,268.0,278.0,63382400
2026-02-10,274.0,280.0,272.0,276.0,42392300
2026-02-11,282.0,286.0,274.0,274.0,109598600
2026-02-12,280.0,284.0,278.0,284.0,42763100
2026-02-13,288.0,294.0,278.0,280.0,178832100
2026-02-18,286.0,290.0,284.0,290.0,55455700
2026-02-19,286.0,296.0,284.0,286.0,119428400
2026-02-20,288.0,292.0,284.0,286.0,48280600
2026-02-23,286.0,288.0,284.0,286.0,53931700
2026-02-24,278.0,286.0,276.0,284.0,83724800
