Date,Close,High,Low,Open,Volume
2025-11-13,590.0,590.0,575.0,580.0,70459700
2025-11-14,575.0,585.0,570.0,580.0,58930700
2025-11-17,550.0,575.0,550.0,575.0,71231500
2025-11-18,530.0,550.0,520.0,550.0,67293700
2025-11-19,530.0,550.0,530.0,535.0,60158700
2025-11-20,525.0,540.0,525.0,535.0,57794200
2025-11-21,525.0,535.0,525.0,525.0,58720100
2025-11-24,525.0,535.0,525.0,535.0,60024500
2025-11-25,535.0,545.0,530.0,535.0,66666200
2025-11-26,540.0,550.0,530.0,540.0,68911700
2025-11-27,530.0,550.0,530.0,545.0,67952700
2025-11-28,535.0,540.0,530.0,535.0,58223900
2025-12-01,555.0,565.0,540.0,545.0,130109400
2025-12-02,540.0,555.0,540.0,555.0,68341100
2025-12-03,535.0,545.0,530.0,540.0,61373200
2025-12-04,530.0,535.0,525.0,530.0,67419100
2025-12-05,540.0,540.0,525.0,525.0,66688900
2025-12-08,560.0,565.0,530.0,540.0,102432800
2025-12-09,545.0,565.0,540.0,560.0,69790300
2025-12-10,550.0,560.0,540.0,545.0,65598800
2025-12-11,545.0,565.0,530.0,555.0,85990300
2025-12-12,605.0,625.0,550.0,555.0,610171200
2025-12-15,565.0,620.0,560.0,610.0,213071600
2025-12-16,560.0,565.0,545.0,565.0,71065700
2025-12-17,565.0,580.0,555.0,565.0,73539900
2025-12-18,555.0,570.0,550.0,570.0,64574200
2025-12-19,545.0,570.0,540.0,560.0,70955900
2025-12-22,575.0,585.0,555.0,565.0,100706000
2025-12-23,560.0,600.0,555.0,595.0,94668300
2025-12-24,555.0,585.0,550.0,575.0,67217600
2025-12-29,570.0,580.0,560.0,560.0,60404100
2025-12-30,550.0,560.0,540.0,550.0,63631800
2026-01-02,555.0,560.0,545.0,550.0,72698200
2026-01-05,585.0,595.0,565.0,575.0,139884100
2026-01-06,600.0,600.0,575.0,590.0,118863900
2026-01-07,610.0,645.0,600.0,605.0,287001200
2026-01-08,580.0,635.0,575.0,625.0,109317800
2026-01-09,600.0,605.0,575.0,580.0,104676600
2026-01-12,610.0,635.0,580.0,630.0,197522200
2026-01-13,590.0,620.0,590.0,610.0,77686500
2026-01-14,640.0,665.0,600.0,600.0,414270800
2026-01-15,625.0,665.0,615.0,655.0,218168200
2026-01-19,620.0,655.0,615.0,650.0,138446500
2026-01-20,655.0,660.0,605.0,625.0,207221000
2026-01-21,650.0,680.0,640.0,670.0,328334500
2026-01-22,625.0,645.0,615.0,635.0,132854900
2026-01-23,620.0,655.0,615.0,650.0,103215600
2026-01-26,635.0,670.0,630.0,640.0,253509800
2026-01-27,625.0,640.0,615.0,640.0,84118900
2026-01-28,600.0,625.0,570.0,615.0,212550400
2026-01-29,595.0,615.0,510.0,610.0,205794000
2026-01-30,550.0,595.0,545.0,580.0,144088400
2026-02-02,468.0,520.0,468.0,498.0,176020600
2026-02-03,510.0,515.0,446.0,478.0,135903000
2026-02-04,515.0,530.0,500.0,520.0,89693500
2026-02-05,494.0,510.0,490.0,505.0,79895600
2026-02-06,488.0,494.0,468.0,470.0,80817600
2026-02-09,505.0,510.0,482.0,498.0,73809300
2026-02-10,515.0,525.0,494.0,505.0,74774300
2026-02-11,540.0,550.0,515.0,525.0,79710400
2026-02-12,555.0,560.0,540.0,555.0,74784900
2026-02-13,540.0,560.0,535.0,555.0,67349300
