Date,Close,High,Low,Open,Volume
2025-12-16,10725.0,10775.0,10425.0,10500.0,15948300
2025-12-17,10850.0,10975.0,10650.0,10775.0,29059500
2025-12-18,10850.0,11225.0,10500.0,10925.0,52667900
2025-12-19,10775.0,10975.0,10650.0,10900.0,16957400
2025-12-22,10700.0,10850.0,10625.0,10775.0,10485300
2025-12-23,10475.0,10725.0,10475.0,10700.0,17254700
2025-12-24,10450.0,10650.0,10150.0,10425.0,37645200
2025-12-29,10800.0,10875.0,10500.0,10500.0,16662400
2025-12-30,10925.0,11100.0,10700.0,10800.0,28915600
2026-01-02,11200.0,11375.0,10950.0,11000.0,22826900
2026-01-05,11150.0,11350.0,11075.0,11300.0,22169100
2026-01-06,11975.0,12000.0,11250.0,11325.0,43194600
2026-01-07,11875.0,12450.0,11850.0,12050.0,34523700
2026-01-08,12275.0,12600.0,11900.0,11925.0,44383600
2026-01-09,12050.0,12400.0,11900.0,12325.0,31317700
2026-01-12,11275.0,12300.0,10250.0,12100.0,71817400
2026-01-13,11525.0,11575.0,11000.0,11450.0,44901000
2026-01-14,12400.0,12500.0,11475.0,11800.0,52733200
2026-01-15,12900.0,13000.0,12625.0,12675.0,56258500
2026-01-19,12775.0,12950.0,12750.0,12900.0,31569700
2026-01-20,12725.0,12850.0,12300.0,12800.0,62862100
2026-01-21,12375.0,12625.0,12075.0,12600.0,51654000
2026-01-22,10775.0,12350.0,10775.0,12350.0,132960900
2026-01-23,9175.0,10550.0,9175.0,10225.0,271195100
2026-01-26,8325.0,9350.0,8275.0,8775.0,198254900
2026-01-27,8575.0,8975.0,8350.0,8350.0,94807900
2026-01-28,7300.0,7300.0,7300.0,7300.0,24610400
2026-01-29,7500.0,8200.0,6225.0,6225.0,305409900
2026-01-30,7050.0,8075.0,6925.0,7700.0,113612500
2026-02-02,6000.0,7100.0,6000.0,7075.0,109633700
2026-02-03,6150.0,6375.0,5200.0,5550.0,161637400
2026-02-04,6100.0,6450.0,5825.0,6175.0,74999700
2026-02-05,6125.0,6750.0,6125.0,6175.0,93564700
2026-02-06,5725.0,6125.0,5525.0,5900.0,69893300
2026-02-09,6025.0,6050.0,5550.0,5825.0,53057200
2026-02-10,5975.0,6300.0,5875.0,5875.0,52422300
2026-02-11,7125.0,7150.0,6075.0,6075.0,235537400
2026-02-12,7325.0,7850.0,7150.0,7300.0,189801000
2026-02-13,7450.0,7625.0,7025.0,7325.0,88749800
2026-02-18,7575.0,8050.0,7500.0,7700.0,94072500
2026-02-19,7325.0,7700.0,7250.0,7625.0,61414900
2026-02-20,7075.0,7450.0,7050.0,7350.0,59855200
2026-02-23,7125.0,7375.0,7075.0,7250.0,57348600
2026-02-24,6650.0,7200.0,6500.0,7175.0,130424400
2026-02-25,6775.0,6850.0,6350.0,6725.0,82122500
2026-02-26,6300.0,6875.0,6125.0,6825.0,84240700
2026-02-27,6125.0,6375.0,5900.0,6275.0,106486100
2026-03-02,6000.0,6150.0,5625.0,5725.0,69686600
2026-03-03,5825.0,6375.0,5600.0,6275.0,95915100
2026-03-04,5300.0,5850.0,5175.0,5725.0,91357400
2026-03-05,5225.0,5750.0,5225.0,5700.0,76016400
2026-03-06,4960.0,5225.0,4890.0,5200.0,129856000
2026-03-09,4990.0,5350.0,4250.0,4470.0,153318900
2026-03-10,5100.0,5750.0,4950.0,5325.0,164815100
2026-03-11,5000.0,5275.0,4970.0,5125.0,60159000
2026-03-12,4680.0,5050.0,4680.0,4960.0,51567500
2026-03-13,4530.0,4710.0,4500.0,4650.0,67956700
2026-03-16,4260.0,4600.0,4260.0,4530.0,43745900
