Date,Close,High,Low,Open,Volume
2025-11-10,368.0,372.0,366.0,372.0,33610600
2025-11-11,366.0,370.0,362.0,368.0,25881800
2025-11-12,366.0,368.0,362.0,366.0,19687700
2025-11-13,362.0,368.0,360.0,366.0,41100600
2025-11-14,360.0,366.0,360.0,366.0,15601000
2025-11-17,362.0,366.0,360.0,362.0,19260400
2025-11-18,362.0,366.0,362.0,362.0,14181600
2025-11-19,362.0,364.0,358.0,364.0,31780200
2025-11-20,360.0,362.0,358.0,360.0,32431200
2025-11-21,352.0,360.0,352.0,360.0,73291500
2025-11-24,354.0,358.0,352.0,352.0,29035400
2025-11-25,354.0,358.0,352.0,356.0,28720400
2025-11-26,354.0,358.0,352.0,356.0,19172700
2025-11-27,360.0,362.0,354.0,356.0,37258200
2025-11-28,382.0,382.0,358.0,360.0,138386000
2025-12-01,380.0,388.0,370.0,388.0,93707000
2025-12-02,372.0,380.0,370.0,380.0,39135900
2025-12-03,370.0,376.0,366.0,372.0,34266300
2025-12-04,368.0,372.0,366.0,372.0,11130200
2025-12-05,360.0,370.0,358.0,370.0,65000800
2025-12-08,354.0,362.0,354.0,360.0,55462200
2025-12-09,354.0,360.0,352.0,356.0,87236700
2025-12-10,354.0,358.0,352.0,356.0,49248400
2025-12-11,352.0,358.0,350.0,356.0,80696900
2025-12-12,344.0,352.0,344.0,352.0,100184700
2025-12-15,352.0,354.0,344.0,346.0,123550200
2025-12-16,348.0,354.0,344.0,352.0,43565500
2025-12-17,346.0,348.0,344.0,348.0,45408000
2025-12-18,346.0,350.0,344.0,346.0,56882600
2025-12-19,344.0,348.0,344.0,346.0,72776900
2025-12-22,346.0,348.0,344.0,344.0,39548200
2025-12-23,344.0,348.0,342.0,346.0,38866700
2025-12-24,342.0,346.0,340.0,342.0,39532000
2025-12-29,342.0,344.0,340.0,344.0,65187200
2025-12-30,338.0,346.0,338.0,344.0,75934900
2026-01-02,340.0,342.0,338.0,342.0,45694400
2026-01-05,342.0,344.0,340.0,340.0,54896600
2026-01-06,348.0,350.0,344.0,346.0,72878700
2026-01-07,344.0,350.0,342.0,348.0,111803300
2026-01-08,346.0,350.0,344.0,346.0,62229500
2026-01-09,352.0,356.0,344.0,348.0,95115400
2026-01-12,388.0,440.0,364.0,398.0,2111181200
2026-01-13,372.0,398.0,368.0,390.0,478775300
2026-01-14,374.0,382.0,372.0,372.0,174050200
2026-01-15,384.0,386.0,374.0,374.0,206811500
2026-01-19,374.0,388.0,374.0,384.0,152357400
2026-01-20,370.0,376.0,368.0,374.0,154733700
2026-01-21,370.0,378.0,368.0,370.0,220984500
2026-01-22,374.0,382.0,370.0,372.0,148446500
2026-01-23,380.0,382.0,372.0,374.0,126605400
2026-01-26,374.0,382.0,372.0,380.0,136725000
2026-01-27,370.0,376.0,368.0,374.0,107564500
2026-01-28,358.0,368.0,350.0,368.0,216824600
2026-01-29,352.0,362.0,328.0,354.0,224007700
2026-01-30,360.0,364.0,354.0,356.0,88061900
2026-02-02,360.0,368.0,354.0,366.0,94923100
2026-02-03,366.0,366.0,358.0,360.0,86196800
2026-02-04,362.0,368.0,358.0,366.0,73000000
2026-02-05,360.0,366.0,360.0,366.0,62444300
2026-02-06,358.0,360.0,354.0,356.0,58520700
2026-02-09,366.0,366.0,354.0,358.0,57120200
2026-02-10,364.0,366.0,360.0,366.0,31757500
