Date,Close,High,Low,Open,Volume
2025-12-08,226.0,226.0,226.0,226.0,1127000
2025-12-09,282.0,282.0,282.0,282.0,807800
2025-12-10,352.0,352.0,352.0,352.0,1767500
2025-12-11,440.0,440.0,440.0,440.0,2854600
2025-12-12,550.0,550.0,550.0,550.0,5019900
2025-12-15,685.0,685.0,685.0,685.0,14712900
2025-12-17,855.0,855.0,855.0,855.0,18376100
2025-12-18,1065.0,1065.0,1065.0,1065.0,32478500
2025-12-19,1330.0,1330.0,1330.0,1330.0,9133400
2025-12-24,1460.0,1460.0,1460.0,1460.0,17426600
2025-12-29,1605.0,1605.0,1605.0,1605.0,22789200
2025-12-30,1765.0,1765.0,1765.0,1765.0,5088800
2026-01-02,1940.0,1940.0,1940.0,1940.0,1960500
2026-01-05,2130.0,2130.0,2130.0,2130.0,1409500
2026-01-06,2340.0,2340.0,2340.0,2340.0,643800
2026-01-07,2570.0,2570.0,2570.0,2570.0,35248700
2026-01-08,3210.0,3210.0,2190.0,3010.0,61364000
2026-01-09,4010.0,4010.0,3210.0,4010.0,14921800
2026-01-12,4230.0,5000.0,3430.0,5000.0,86088700
2026-01-13,4270.0,4710.0,4110.0,4300.0,38031300
2026-01-14,5050.0,5175.0,4140.0,4280.0,20548400
2026-01-15,6050.0,6050.0,5100.0,5100.0,33596200
2026-01-19,7250.0,7250.0,6250.0,6250.0,31339200
2026-01-20,8700.0,8700.0,7450.0,8550.0,10543100
2026-01-30,7850.0,7850.0,7850.0,7850.0,7021600
2026-02-02,7075.0,7075.0,7075.0,7075.0,388500
2026-02-03,6375.0,6400.0,6375.0,6375.0,32561400
2026-02-04,7000.0,7000.0,6300.0,6300.0,5631700
2026-02-05,7500.0,7700.0,7500.0,7500.0,4333900
2026-02-06,6750.0,6750.0,6750.0,6750.0,554100
2026-02-09,6075.0,6075.0,6075.0,6075.0,633300
2026-02-10,6350.0,7275.0,5375.0,5650.0,26208400
2026-02-11,6425.0,6825.0,6350.0,6400.0,7348300
2026-02-12,6475.0,6700.0,5850.0,6700.0,7974900
2026-02-13,6500.0,6800.0,6200.0,6600.0,3459100
2026-02-18,6550.0,6750.0,6325.0,6500.0,3917600
2026-02-19,6575.0,6700.0,6375.0,6650.0,4361600
2026-02-20,7300.0,7300.0,6425.0,6650.0,5153300
