Date,Close,High,Low,Open,Volume
2025-11-06,2780.0,2810.0,2690.0,2730.0,9601400
2025-11-07,2790.0,2860.0,2720.0,2760.0,12998600
2025-11-10,2620.0,2810.0,2610.0,2810.0,8576400
2025-11-11,2610.0,2660.0,2580.0,2610.0,8506900
2025-11-12,2650.0,2670.0,2560.0,2620.0,8155600
2025-11-13,2670.0,2700.0,2620.0,2660.0,9469300
2025-11-14,2710.0,2740.0,2590.0,2650.0,14320500
2025-11-17,2940.0,2960.0,2680.0,2700.0,20905800
2025-11-18,2920.0,2960.0,2820.0,2960.0,13607100
2025-11-19,3050.0,3070.0,2870.0,2900.0,20368200
2025-11-20,3060.0,3100.0,3000.0,3050.0,12140300
2025-11-21,3010.0,3090.0,3010.0,3040.0,10760900
2025-11-24,3290.0,3320.0,3000.0,3020.0,17869600
2025-11-25,3540.0,3590.0,3240.0,3300.0,23327000
2025-11-26,3580.0,3680.0,3540.0,3560.0,22070500
2025-11-27,3370.0,3630.0,3140.0,3580.0,19592100
2025-11-28,3810.0,3900.0,3300.0,3360.0,24280300
2025-12-01,3740.0,4120.0,3590.0,3820.0,27770500
2025-12-02,3870.0,3900.0,3660.0,3720.0,20904100
2025-12-03,4100.0,4190.0,3810.0,3890.0,23726100
2025-12-04,4130.0,4220.0,4060.0,4110.0,14061000
2025-12-05,4080.0,4200.0,4000.0,4140.0,12815100
2025-12-08,4210.0,4260.0,4100.0,4100.0,15644100
2025-12-09,4170.0,4250.0,4070.0,4220.0,15763700
2025-12-10,4310.0,4350.0,4160.0,4170.0,18012000
2025-12-11,4380.0,4420.0,4100.0,4320.0,30058500
2025-12-12,4450.0,4540.0,4300.0,4390.0,22687100
2025-12-15,4350.0,4500.0,4220.0,4460.0,17476300
2025-12-16,4590.0,4630.0,4250.0,4340.0,29617200
2025-12-17,4900.0,4950.0,4620.0,4620.0,35477100
2025-12-18,4870.0,4990.0,4800.0,4870.0,28608700
2025-12-19,4910.0,4990.0,4830.0,4880.0,22344500
2025-12-22,4920.0,4990.0,4850.0,4930.0,21045400
2025-12-23,4950.0,5100.0,4910.0,4930.0,34027200
2025-12-24,4990.0,5125.0,4950.0,4950.0,38592000
2025-12-29,5000.0,5125.0,4980.0,5000.0,17217200
2025-12-30,5925.0,5975.0,5025.0,5025.0,37999400
2026-01-02,5950.0,6325.0,5700.0,6100.0,26411600
2026-01-05,5850.0,5975.0,5525.0,5875.0,23262500
2026-01-06,5925.0,6000.0,5700.0,5875.0,17648300
2026-01-07,6775.0,6825.0,5925.0,5925.0,34017000
2026-01-08,6400.0,6800.0,6100.0,6775.0,28205600
2026-01-09,6725.0,6825.0,6350.0,6450.0,21763200
2026-01-12,7875.0,8000.0,7000.0,7400.0,78884600
2026-01-13,7875.0,7875.0,7875.0,7875.0,0
2026-01-14,7875.0,7875.0,7875.0,7875.0,0
2026-01-15,7875.0,7875.0,7875.0,7875.0,0
2026-01-19,7875.0,7875.0,7875.0,7875.0,0
2026-01-20,7875.0,7875.0,7875.0,7875.0,0
2026-01-21,8650.0,8650.0,8650.0,8650.0,9904800
2026-01-22,8725.0,9500.0,8725.0,9400.0,13776300
2026-01-23,7875.0,7875.0,7875.0,7875.0,4109800
2026-01-26,7100.0,7350.0,7100.0,7350.0,14442100
2026-01-27,7300.0,7300.0,7100.0,7100.0,5209800
2026-01-28,6575.0,6575.0,6575.0,6575.0,616800
2026-01-29,5925.0,5925.0,5925.0,5925.0,1806200
2026-01-30,5050.0,5400.0,5050.0,5050.0,123476100
2026-02-02,4830.0,4930.0,4310.0,4630.0,85140300
2026-02-03,5025.0,5225.0,4740.0,4860.0,49790400
2026-02-04,4720.0,5400.0,4430.0,5025.0,46252100
2026-02-05,4370.0,4800.0,4250.0,4660.0,28662000
2026-02-06,3820.0,4000.0,3720.0,4000.0,32533500
