Date,Close,High,Low,Open,Volume
2025-11-11,210.0,220.0,204.0,220.0,4379700
2025-11-12,208.0,214.0,206.0,214.0,778100
2025-11-13,208.0,216.0,204.0,208.0,3600300
2025-11-14,208.0,218.0,202.0,208.0,2155200
2025-11-17,214.0,228.0,200.0,210.0,7835200
2025-11-18,212.0,216.0,208.0,214.0,1230100
2025-11-19,226.0,226.0,208.0,210.0,3930100
2025-11-20,224.0,238.0,222.0,226.0,6137300
2025-11-21,238.0,266.0,224.0,226.0,18915500
2025-11-24,250.0,254.0,230.0,234.0,8337100
2025-11-25,278.0,280.0,240.0,250.0,118753100
2025-11-26,258.0,278.0,238.0,278.0,49736000
2025-11-27,240.0,264.0,234.0,264.0,21289300
2025-11-28,244.0,254.0,224.0,240.0,9933800
2025-12-01,236.0,264.0,234.0,244.0,25233300
2025-12-02,236.0,246.0,232.0,234.0,4341100
2025-12-03,248.0,250.0,232.0,236.0,8737400
2025-12-04,248.0,256.0,234.0,254.0,8341600
2025-12-05,238.0,250.0,234.0,248.0,4970100
2025-12-08,240.0,250.0,238.0,238.0,7737700
2025-12-09,238.0,244.0,236.0,242.0,4934200
2025-12-10,238.0,250.0,232.0,244.0,10106200
2025-12-11,226.0,242.0,216.0,242.0,9451100
2025-12-12,214.0,232.0,212.0,228.0,4557600
2025-12-15,218.0,226.0,214.0,218.0,3161200
2025-12-16,248.0,252.0,202.0,218.0,41253900
2025-12-17,310.0,310.0,248.0,252.0,140930600
2025-12-18,314.0,378.0,304.0,334.0,154703900
2025-12-19,296.0,316.0,284.0,314.0,27036300
2025-12-22,306.0,316.0,268.0,284.0,16403000
2025-12-23,316.0,344.0,302.0,316.0,34237400
2025-12-24,328.0,344.0,308.0,316.0,21551300
2025-12-29,372.0,390.0,324.0,344.0,44502300
2025-12-30,464.0,464.0,376.0,376.0,104037300
2026-01-02,464.0,464.0,464.0,464.0,0
2026-01-05,464.0,464.0,464.0,464.0,0
2026-01-06,464.0,464.0,464.0,464.0,0
2026-01-07,464.0,464.0,464.0,464.0,0
2026-01-08,464.0,464.0,464.0,464.0,0
2026-01-09,510.0,510.0,510.0,510.0,6625800
2026-01-12,560.0,560.0,560.0,560.0,2808400
2026-01-13,615.0,615.0,615.0,615.0,4975200
2026-01-14,675.0,675.0,675.0,675.0,1595800
2026-01-15,740.0,740.0,740.0,740.0,2590000
2026-01-19,810.0,810.0,810.0,810.0,10091800
2026-01-20,890.0,890.0,890.0,890.0,15990800
2026-01-21,1110.0,1110.0,1000.0,1105.0,68955200
2026-01-22,1385.0,1385.0,1385.0,1385.0,15594900
2026-01-23,1730.0,1730.0,1180.0,1650.0,379901500
2026-01-26,1810.0,2140.0,1480.0,1730.0,190702600
2026-01-27,1540.0,1765.0,1540.0,1660.0,91249100
2026-01-28,1310.0,1310.0,1310.0,1310.0,3065100
2026-01-29,1115.0,1300.0,1115.0,1115.0,127350900
2026-01-30,1050.0,1210.0,955.0,1110.0,148234000
2026-02-02,895.0,1050.0,895.0,1010.0,17935000
2026-02-03,765.0,870.0,765.0,765.0,252286600
2026-02-04,655.0,815.0,655.0,790.0,86931500
2026-02-05,605.0,665.0,560.0,605.0,177323000
2026-02-06,590.0,615.0,520.0,595.0,48758600
2026-02-09,615.0,635.0,550.0,590.0,46455300
2026-02-10,675.0,725.0,585.0,600.0,69246000
2026-02-11,680.0,735.0,625.0,700.0,77659700
