Date,Close,High,Low,Open,Volume
2025-11-10,1675.0,1700.0,1670.0,1700.0,2722700
2025-11-11,1670.0,1695.0,1650.0,1680.0,7841800
2025-11-12,1670.0,1690.0,1670.0,1670.0,2851200
2025-11-13,1640.0,1670.0,1640.0,1660.0,4425500
2025-11-14,1605.0,1645.0,1605.0,1640.0,6211300
2025-11-17,1600.0,1645.0,1595.0,1610.0,5211100
2025-11-18,1595.0,1620.0,1585.0,1605.0,2896300
2025-11-19,1605.0,1620.0,1595.0,1595.0,1504200
2025-11-20,1600.0,1635.0,1600.0,1625.0,2020400
2025-11-21,1600.0,1620.0,1595.0,1605.0,1479400
2025-11-24,1595.0,1615.0,1595.0,1605.0,2799800
2025-11-25,1580.0,1650.0,1580.0,1620.0,3997600
2025-11-26,1595.0,1610.0,1580.0,1580.0,1795600
2025-11-27,1590.0,1610.0,1585.0,1600.0,2153800
2025-11-28,1590.0,1610.0,1580.0,1595.0,3571800
2025-12-01,1600.0,1610.0,1580.0,1595.0,3566100
2025-12-02,1585.0,1615.0,1580.0,1600.0,2362700
2025-12-03,1595.0,1595.0,1580.0,1590.0,2602900
2025-12-04,1595.0,1605.0,1580.0,1600.0,2629700
2025-12-05,1585.0,1600.0,1580.0,1595.0,1670900
2025-12-08,1585.0,1615.0,1580.0,1585.0,7149200
2025-12-09,1555.0,1590.0,1555.0,1585.0,8270500
2025-12-10,1510.0,1570.0,1500.0,1560.0,14824200
2025-12-11,1505.0,1550.0,1500.0,1510.0,6956800
2025-12-12,1460.0,1525.0,1445.0,1505.0,14788000
2025-12-15,1505.0,1525.0,1440.0,1460.0,7011900
2025-12-16,1490.0,1525.0,1475.0,1510.0,4766700
2025-12-17,1490.0,1535.0,1485.0,1520.0,9699500
2025-12-18,1480.0,1530.0,1480.0,1505.0,4000400
2025-12-19,1470.0,1510.0,1465.0,1510.0,3340500
2025-12-22,1450.0,1480.0,1450.0,1470.0,3780300
2025-12-23,1450.0,1465.0,1450.0,1460.0,2007400
2025-12-24,1460.0,1480.0,1450.0,1450.0,1699600
2025-12-29,1505.0,1520.0,1480.0,1485.0,5925700
2025-12-30,1580.0,1600.0,1510.0,1515.0,10353600
2026-01-02,1550.0,1580.0,1545.0,1580.0,4741700
2026-01-05,1535.0,1580.0,1525.0,1580.0,5411900
2026-01-06,1640.0,1655.0,1525.0,1550.0,28876800
2026-01-07,1675.0,1685.0,1630.0,1650.0,18895400
2026-01-08,1610.0,1775.0,1605.0,1710.0,26751400
2026-01-09,1630.0,1645.0,1605.0,1610.0,8298700
2026-01-12,1625.0,1665.0,1575.0,1640.0,13094500
2026-01-13,1885.0,1895.0,1630.0,1635.0,93432400
2026-01-14,1820.0,1915.0,1810.0,1900.0,26895100
2026-01-15,1820.0,1840.0,1785.0,1840.0,15175100
2026-01-19,1815.0,1880.0,1805.0,1860.0,19621900
2026-01-20,1825.0,1840.0,1780.0,1825.0,18594900
2026-01-21,1790.0,1830.0,1760.0,1825.0,11152200
2026-01-22,1915.0,1965.0,1760.0,1790.0,57851700
2026-01-23,1925.0,1955.0,1860.0,1950.0,26334500
2026-01-26,2010.0,2040.0,1930.0,1975.0,42083700
2026-01-27,1950.0,2030.0,1885.0,2010.0,25260300
2026-01-28,1810.0,1875.0,1705.0,1825.0,48869800
2026-01-29,1730.0,1810.0,1540.0,1810.0,66957500
2026-01-30,1765.0,1810.0,1725.0,1780.0,18065000
2026-02-02,1600.0,1795.0,1585.0,1765.0,26564100
2026-02-03,1620.0,1650.0,1550.0,1650.0,23788000
2026-02-04,1695.0,1715.0,1625.0,1640.0,11226400
2026-02-05,1695.0,1755.0,1695.0,1750.0,15974700
2026-02-06,1620.0,1675.0,1620.0,1650.0,7508000
2026-02-09,1645.0,1670.0,1630.0,1660.0,2830700
