Date,Close,High,Low,Open,Volume
2025-11-06,1555.0,1595.0,1540.0,1555.0,23337000
2025-11-07,1710.0,1810.0,1545.0,1560.0,125029100
2025-11-10,1705.0,1785.0,1680.0,1715.0,88414700
2025-11-11,1655.0,1720.0,1640.0,1715.0,33692600
2025-11-12,1660.0,1735.0,1630.0,1660.0,62157200
2025-11-13,1630.0,1700.0,1630.0,1660.0,45702000
2025-11-14,1610.0,1660.0,1600.0,1630.0,22206500
2025-11-17,1745.0,1770.0,1610.0,1610.0,103998000
2025-11-18,1710.0,1775.0,1680.0,1750.0,59605300
2025-11-19,1745.0,1765.0,1685.0,1715.0,41242500
2025-11-20,1745.0,1780.0,1725.0,1760.0,39340000
2025-11-21,1705.0,1790.0,1705.0,1745.0,39143600
2025-11-24,1710.0,1735.0,1700.0,1710.0,40392100
2025-11-25,1780.0,1895.0,1730.0,1730.0,236484600
2025-11-26,1765.0,1800.0,1735.0,1790.0,56423400
2025-11-27,1805.0,1865.0,1755.0,1790.0,84372100
2025-11-28,1875.0,1975.0,1770.0,1820.0,166159000
2025-12-01,1845.0,1920.0,1840.0,1910.0,50079400
2025-12-02,1845.0,1885.0,1830.0,1865.0,32175100
2025-12-03,1825.0,1875.0,1815.0,1845.0,31979800
2025-12-04,1915.0,1925.0,1825.0,1840.0,76274100
2025-12-05,1900.0,1950.0,1895.0,1920.0,58754600
2025-12-08,1880.0,1915.0,1860.0,1910.0,25608100
2025-12-09,1870.0,1895.0,1820.0,1890.0,47584500
2025-12-10,1850.0,1900.0,1850.0,1875.0,26079300
2025-12-11,1780.0,1875.0,1745.0,1860.0,45687500
2025-12-12,1745.0,1795.0,1735.0,1780.0,31310300
2025-12-15,1755.0,1795.0,1750.0,1780.0,20227400
2025-12-16,1720.0,1805.0,1705.0,1775.0,28773700
2025-12-17,1700.0,1735.0,1700.0,1720.0,19771300
2025-12-18,1685.0,1735.0,1685.0,1735.0,15871600
2025-12-19,1670.0,1710.0,1655.0,1700.0,21644600
2025-12-22,1665.0,1695.0,1655.0,1675.0,11394600
2025-12-23,1650.0,1685.0,1645.0,1670.0,9982500
2025-12-24,1625.0,1665.0,1625.0,1650.0,10261900
2025-12-29,1700.0,1700.0,1630.0,1630.0,14684100
2025-12-30,1680.0,1710.0,1675.0,1700.0,8958400
2026-01-02,1665.0,1700.0,1655.0,1695.0,9958500
2026-01-05,1660.0,1670.0,1635.0,1665.0,16092000
2026-01-06,1830.0,1920.0,1650.0,1680.0,123437800
2026-01-07,1765.0,1815.0,1750.0,1815.0,45647100
2026-01-08,1760.0,1850.0,1755.0,1790.0,30277800
2026-01-09,1825.0,1860.0,1765.0,1765.0,34297900
2026-01-12,1830.0,1930.0,1750.0,1855.0,106274800
2026-01-13,1795.0,1850.0,1770.0,1830.0,27275700
2026-01-14,1870.0,1895.0,1790.0,1800.0,37812800
2026-01-15,1840.0,1920.0,1830.0,1880.0,26530500
2026-01-19,1835.0,1880.0,1830.0,1870.0,18309300
2026-01-20,1795.0,1850.0,1785.0,1830.0,24713500
2026-01-21,1755.0,1800.0,1750.0,1780.0,16714800
2026-01-22,1690.0,1795.0,1675.0,1780.0,33213800
2026-01-23,1620.0,1695.0,1590.0,1690.0,30817600
2026-01-26,1580.0,1635.0,1575.0,1625.0,15899000
2026-01-27,1605.0,1625.0,1580.0,1580.0,7197700
2026-01-28,1500.0,1600.0,1385.0,1600.0,48901500
2026-01-29,1600.0,1650.0,1275.0,1490.0,74934900
2026-01-30,1570.0,1610.0,1515.0,1600.0,16933500
2026-02-02,1345.0,1570.0,1340.0,1570.0,21839300
2026-02-03,1415.0,1435.0,1300.0,1345.0,16992100
2026-02-04,1400.0,1445.0,1375.0,1400.0,9488500
2026-02-05,1405.0,1430.0,1395.0,1400.0,6089000
2026-02-06,1330.0,1400.0,1315.0,1360.0,10192500
