Date,Close,High,Low,Open,Volume
2025-12-17,790.0,790.0,790.0,790.0,4183800
2025-12-18,985.0,985.0,985.0,985.0,7112400
2025-12-19,1230.0,1230.0,1230.0,1230.0,69665000
2025-12-22,1050.0,1230.0,1050.0,1230.0,1169944700
2025-12-23,895.0,995.0,895.0,965.0,1055186400
2025-12-24,925.0,960.0,860.0,895.0,425861000
2025-12-29,910.0,960.0,845.0,925.0,221584900
2025-12-30,935.0,935.0,885.0,915.0,95868700
2026-01-02,925.0,935.0,915.0,935.0,67306200
2026-01-05,895.0,925.0,880.0,925.0,70766600
2026-01-06,1080.0,1090.0,890.0,905.0,469326700
2026-01-07,1220.0,1350.0,1120.0,1200.0,1356056500
2026-01-08,1165.0,1240.0,1130.0,1220.0,182528900
2026-01-09,1155.0,1185.0,1100.0,1170.0,136671800
2026-01-12,1065.0,1165.0,990.0,1155.0,198918900
2026-01-13,1005.0,1080.0,1000.0,1065.0,111792800
2026-01-14,1060.0,1080.0,1005.0,1020.0,294607200
2026-01-15,1130.0,1165.0,1040.0,1060.0,268241200
2026-01-19,1130.0,1150.0,1070.0,1130.0,162350100
2026-01-20,1155.0,1230.0,1130.0,1160.0,347064300
2026-01-21,1115.0,1170.0,1115.0,1155.0,96883900
2026-01-22,1125.0,1160.0,1075.0,1120.0,87749200
2026-01-23,1115.0,1135.0,1060.0,1130.0,69236800
2026-01-26,1035.0,1115.0,1030.0,1115.0,76357200
2026-01-27,1035.0,1060.0,970.0,1035.0,124416800
2026-01-28,960.0,1020.0,880.0,880.0,251059300
2026-01-29,935.0,985.0,820.0,975.0,184822400
2026-01-30,930.0,980.0,925.0,940.0,118375200
2026-02-02,830.0,930.0,795.0,930.0,181011600
2026-02-03,895.0,915.0,820.0,825.0,418972000
2026-02-04,905.0,925.0,885.0,905.0,238339300
2026-02-05,930.0,975.0,915.0,915.0,198723600
2026-02-06,890.0,920.0,850.0,885.0,244638100
2026-02-09,935.0,1010.0,890.0,905.0,216188200
2026-02-10,940.0,965.0,930.0,935.0,55527600
