Date,Close,High,Low,Open,Volume
2025-11-27,3570.0,3700.0,3560.0,3700.0,48436500
2025-11-28,3510.0,3630.0,3500.0,3600.0,70943000
2025-12-01,3650.0,3650.0,3520.0,3530.0,89045500
2025-12-02,3560.0,3670.0,3560.0,3660.0,62155900
2025-12-03,3580.0,3650.0,3580.0,3590.0,60429900
2025-12-04,3630.0,3660.0,3580.0,3660.0,38947500
2025-12-05,3700.0,3700.0,3610.0,3630.0,50641400
2025-12-08,3630.0,3700.0,3600.0,3700.0,64911000
2025-12-09,3570.0,3650.0,3520.0,3650.0,94381800
2025-12-10,3640.0,3700.0,3590.0,3620.0,68644900
2025-12-11,3570.0,3690.0,3500.0,3670.0,84823100
2025-12-12,3550.0,3630.0,3500.0,3630.0,67076200
2025-12-15,3470.0,3560.0,3460.0,3550.0,121707400
2025-12-16,3520.0,3550.0,3470.0,3490.0,120576700
2025-12-17,3500.0,3590.0,3490.0,3540.0,118452300
2025-12-18,3460.0,3580.0,3460.0,3540.0,111042200
2025-12-19,3410.0,3520.0,3390.0,3520.0,236770700
2025-12-22,3470.0,3490.0,3420.0,3440.0,113720300
2025-12-23,3470.0,3470.0,3420.0,3470.0,39083700
2025-12-24,3460.0,3500.0,3440.0,3480.0,30919800
2025-12-29,3490.0,3530.0,3460.0,3480.0,53079900
2025-12-30,3480.0,3510.0,3480.0,3490.0,48019100
2026-01-02,3470.0,3510.0,3450.0,3510.0,34812500
2026-01-05,3580.0,3590.0,3480.0,3490.0,77224000
2026-01-06,3520.0,3600.0,3490.0,3600.0,77477100
2026-01-07,3540.0,3550.0,3500.0,3540.0,60466200
2026-01-08,3530.0,3580.0,3520.0,3540.0,61219400
2026-01-09,3450.0,3560.0,3450.0,3550.0,82708700
2026-01-12,3520.0,3530.0,3460.0,3470.0,89165400
2026-01-13,3620.0,3660.0,3550.0,3600.0,129812000
2026-01-14,3650.0,3700.0,3610.0,3690.0,98179400
2026-01-15,3660.0,3680.0,3610.0,3650.0,83981800
2026-01-19,3620.0,3630.0,3490.0,3590.0,147127900
2026-01-20,3600.0,3680.0,3550.0,3550.0,89987800
2026-01-21,3600.0,3700.0,3570.0,3670.0,104120400
2026-01-22,3740.0,3790.0,3660.0,3670.0,149259700
2026-01-23,3770.0,3800.0,3730.0,3790.0,109079700
2026-01-26,3850.0,3850.0,3750.0,3780.0,91258600
2026-01-27,3940.0,3990.0,3730.0,3850.0,161704800
2026-01-28,3470.0,3800.0,3390.0,3800.0,439277400
2026-01-29,3450.0,3500.0,3100.0,3420.0,582049700
2026-01-30,3600.0,3740.0,3540.0,3550.0,332372800
2026-02-02,3500.0,3700.0,3430.0,3670.0,157041400
2026-02-03,3450.0,3550.0,3420.0,3540.0,155611200
2026-02-04,3330.0,3440.0,3260.0,3420.0,215692700
2026-02-05,3290.0,3360.0,3260.0,3350.0,148908600
2026-02-06,3380.0,3390.0,3270.0,3310.0,137552600
2026-02-09,3350.0,3430.0,3340.0,3430.0,109053400
2026-02-10,3400.0,3430.0,3360.0,3380.0,129254100
2026-02-11,3530.0,3530.0,3420.0,3430.0,151785400
2026-02-12,3560.0,3560.0,3470.0,3500.0,114656400
2026-02-13,3450.0,3550.0,3440.0,3540.0,102244000
2026-02-18,3490.0,3510.0,3460.0,3470.0,82797000
2026-02-19,3480.0,3500.0,3460.0,3500.0,70690600
2026-02-20,3480.0,3510.0,3430.0,3490.0,75231500
2026-02-23,3550.0,3550.0,3480.0,3480.0,59621900
2026-02-24,3580.0,3600.0,3510.0,3600.0,119024300
2026-02-25,3600.0,3660.0,3580.0,3580.0,66237300
2026-02-26,3650.0,3650.0,3510.0,3560.0,111136200
2026-02-27,3540.0,3630.0,3530.0,3630.0,140862100
