Date,Close,High,Low,Open,Volume
2025-11-25,845.0,875.0,835.0,865.0,69377400
2025-11-26,840.0,855.0,830.0,845.0,42476200
2025-11-27,850.0,865.0,835.0,840.0,65962500
2025-11-28,835.0,870.0,835.0,860.0,43716500
2025-12-01,815.0,845.0,815.0,840.0,43991900
2025-12-02,830.0,845.0,810.0,815.0,42280600
2025-12-03,815.0,835.0,810.0,830.0,33630600
2025-12-04,805.0,825.0,805.0,815.0,27130200
2025-12-05,805.0,815.0,800.0,805.0,27833600
2025-12-08,810.0,820.0,800.0,805.0,42071900
2025-12-09,800.0,820.0,800.0,815.0,31244800
2025-12-10,795.0,815.0,795.0,815.0,28691300
2025-12-11,785.0,800.0,780.0,795.0,46749300
2025-12-12,795.0,835.0,785.0,790.0,127009000
2025-12-15,790.0,810.0,790.0,810.0,31275900
2025-12-16,780.0,795.0,770.0,790.0,35803800
2025-12-17,790.0,820.0,780.0,780.0,54975400
2025-12-18,775.0,795.0,775.0,785.0,29388100
2025-12-19,770.0,790.0,765.0,785.0,24165500
2025-12-22,725.0,780.0,710.0,775.0,62840100
2025-12-23,710.0,735.0,705.0,725.0,29473300
2025-12-24,695.0,725.0,680.0,715.0,41520200
2025-12-29,760.0,760.0,710.0,730.0,91050400
2025-12-30,740.0,765.0,740.0,760.0,33830800
2026-01-02,760.0,765.0,735.0,740.0,22354000
2026-01-05,800.0,800.0,750.0,760.0,71833800
2026-01-06,825.0,840.0,800.0,815.0,109758900
2026-01-07,960.0,975.0,810.0,830.0,597606700
2026-01-08,860.0,955.0,850.0,955.0,263165000
2026-01-09,870.0,910.0,870.0,880.0,92452600
2026-01-12,825.0,890.0,800.0,880.0,105742700
2026-01-13,835.0,860.0,810.0,825.0,54335000
2026-01-14,820.0,880.0,810.0,850.0,94291600
2026-01-15,820.0,835.0,815.0,820.0,29499200
2026-01-19,875.0,925.0,835.0,840.0,310522400
2026-01-20,850.0,880.0,845.0,875.0,65461400
2026-01-21,845.0,900.0,825.0,850.0,88567300
2026-01-22,830.0,860.0,825.0,840.0,33954000
2026-01-23,840.0,850.0,780.0,840.0,78524800
2026-01-26,835.0,855.0,825.0,850.0,46570300
2026-01-27,830.0,845.0,820.0,840.0,24784500
2026-01-28,730.0,815.0,710.0,800.0,98872900
2026-01-29,690.0,730.0,625.0,730.0,98169700
2026-01-30,720.0,740.0,675.0,690.0,45910400
2026-02-02,620.0,725.0,615.0,720.0,54584600
2026-02-03,675.0,680.0,580.0,600.0,49035300
2026-02-04,675.0,695.0,660.0,695.0,18188600
2026-02-05,685.0,710.0,675.0,675.0,33136800
2026-02-06,650.0,675.0,650.0,670.0,20010700
2026-02-09,660.0,670.0,645.0,655.0,8216100
2026-02-10,695.0,700.0,660.0,665.0,18676900
2026-02-11,720.0,735.0,705.0,705.0,35055600
2026-02-12,715.0,730.0,705.0,725.0,12695500
2026-02-13,715.0,730.0,700.0,705.0,12155800
2026-02-18,765.0,785.0,715.0,715.0,56437800
2026-02-19,755.0,780.0,750.0,770.0,27941300
2026-02-20,735.0,760.0,730.0,755.0,15648600
2026-02-23,765.0,780.0,735.0,735.0,62165400
2026-02-24,730.0,770.0,730.0,765.0,20447400
2026-02-25,740.0,760.0,710.0,730.0,23129600
