Date,Close,High,Low,Open,Volume
2025-11-10,7021.1572265625,7146.088849810943,6996.170901912811,7071.129875861878,11020500
2025-11-11,7050.0,7075.0,6950.0,7050.0,8503500
2025-11-12,7025.0,7300.0,7025.0,7100.0,15306500
2025-11-13,7000.0,7100.0,7000.0,7100.0,7793400
2025-11-14,7000.0,7050.0,6950.0,7000.0,5238200
2025-11-17,7100.0,7150.0,7025.0,7050.0,6656600
2025-11-18,7500.0,7650.0,7150.0,7150.0,40024000
2025-11-19,7200.0,7650.0,7200.0,7600.0,15766900
2025-11-20,7200.0,7300.0,7200.0,7225.0,5701600
2025-11-21,7275.0,7275.0,7100.0,7150.0,5916400
2025-11-24,7150.0,7300.0,7150.0,7250.0,37888100
2025-11-25,7175.0,7200.0,7025.0,7150.0,9998400
2025-11-26,7175.0,7225.0,7025.0,7175.0,10598900
2025-11-27,7375.0,7450.0,7175.0,7200.0,16226300
2025-11-28,7400.0,7550.0,7300.0,7375.0,12437400
2025-12-01,7400.0,7550.0,7350.0,7500.0,8605600
2025-12-02,7775.0,7875.0,7400.0,7400.0,26351200
2025-12-03,7800.0,7875.0,7600.0,7825.0,17604400
2025-12-04,7625.0,7825.0,7625.0,7825.0,9115100
2025-12-05,7600.0,7750.0,7450.0,7625.0,10056100
2025-12-08,7400.0,7650.0,7400.0,7600.0,9158500
2025-12-09,7175.0,7425.0,7175.0,7400.0,14326900
2025-12-10,7050.0,7250.0,7050.0,7225.0,11608900
2025-12-11,7175.0,7175.0,7050.0,7100.0,7732000
2025-12-12,7050.0,7225.0,7050.0,7225.0,6764900
2025-12-15,7050.0,7250.0,7050.0,7050.0,8395000
2025-12-16,7175.0,7175.0,7075.0,7150.0,5749000
2025-12-17,7050.0,7200.0,7050.0,7175.0,4200800
2025-12-18,7000.0,7125.0,7000.0,7050.0,5669000
2025-12-19,7175.0,7175.0,7000.0,7025.0,12160500
2025-12-22,7050.0,7175.0,7050.0,7150.0,3809900
2025-12-23,7000.0,7100.0,7000.0,7075.0,3351200
2025-12-24,7000.0,7075.0,7000.0,7000.0,2719800
2025-12-29,7025.0,7075.0,7000.0,7025.0,2571800
2025-12-30,7000.0,7075.0,7000.0,7050.0,4059600
2026-01-02,7125.0,7150.0,7000.0,7100.0,5625500
2026-01-05,7125.0,7125.0,7000.0,7125.0,6612300
2026-01-06,7050.0,7100.0,7025.0,7100.0,6019300
2026-01-07,6850.0,7075.0,6825.0,7050.0,14328700
2026-01-08,6775.0,6950.0,6775.0,6875.0,8091400
2026-01-09,6725.0,6850.0,6700.0,6825.0,7277000
2026-01-12,6500.0,6725.0,6450.0,6725.0,12090700
2026-01-13,6700.0,6700.0,6325.0,6500.0,10064900
2026-01-14,6575.0,6725.0,6575.0,6600.0,7729600
2026-01-15,6675.0,6750.0,6550.0,6550.0,6835800
2026-01-19,7000.0,7000.0,6650.0,6650.0,12336500
2026-01-20,7000.0,7000.0,6875.0,7000.0,5409700
2026-01-21,7000.0,7000.0,6850.0,7000.0,6237200
2026-01-22,6825.0,7050.0,6825.0,7000.0,7481000
2026-01-23,6650.0,6875.0,6650.0,6850.0,6038600
2026-01-26,6800.0,6800.0,6550.0,6725.0,5886800
2026-01-27,7000.0,7000.0,6650.0,6750.0,6585400
2026-01-28,6600.0,6825.0,6075.0,6700.0,14906300
2026-01-29,6300.0,6500.0,5650.0,6350.0,21595600
2026-01-30,6450.0,6450.0,6200.0,6300.0,10070200
2026-02-02,5900.0,6450.0,5600.0,6450.0,8051700
2026-02-03,6525.0,6600.0,5300.0,5775.0,21784200
2026-02-04,6850.0,7025.0,6425.0,6425.0,17508300
2026-02-05,7250.0,7250.0,6850.0,6900.0,17570700
2026-02-06,7100.0,7200.0,6925.0,7200.0,11713600
2026-02-09,7100.0,7200.0,7000.0,7125.0,4907200
2026-02-10,7200.0,7250.0,7075.0,7100.0,6770000
