Date,Close,High,Low,Open,Volume
2025-12-16,950.0,1060.0,890.0,960.0,31694400
2025-12-17,970.0,975.0,850.0,950.0,70400300
2025-12-18,955.0,1070.0,940.0,990.0,40034000
2025-12-19,835.0,960.0,815.0,955.0,40482300
2025-12-22,795.0,845.0,740.0,840.0,30187500
2025-12-23,885.0,930.0,795.0,820.0,35570700
2025-12-24,840.0,930.0,835.0,890.0,25237100
2025-12-29,1050.0,1050.0,795.0,840.0,93747500
2025-12-30,1130.0,1165.0,1030.0,1130.0,62391800
2026-01-02,1250.0,1260.0,1120.0,1130.0,52094300
2026-01-05,1560.0,1560.0,1255.0,1300.0,64303400
2026-01-06,1720.0,1840.0,1420.0,1560.0,79447800
2026-01-07,1740.0,1975.0,1620.0,1750.0,61543700
2026-01-08,1480.0,1800.0,1480.0,1740.0,99802400
2026-01-09,1560.0,1610.0,1300.0,1405.0,74579700
2026-01-12,1610.0,1800.0,1400.0,1580.0,74537500
2026-01-13,1580.0,1740.0,1510.0,1700.0,32525100
2026-01-14,1665.0,1680.0,1540.0,1640.0,34813400
2026-01-15,1610.0,1685.0,1545.0,1680.0,25950000
2026-01-19,1585.0,1620.0,1550.0,1610.0,16276400
2026-01-20,1565.0,1665.0,1550.0,1585.0,31719000
2026-01-21,1450.0,1575.0,1425.0,1575.0,20785100
2026-01-22,1495.0,1575.0,1445.0,1485.0,22046800
2026-01-23,1370.0,1505.0,1300.0,1505.0,18450800
2026-01-26,1175.0,1400.0,1165.0,1395.0,32767600
2026-01-27,1170.0,1245.0,1100.0,1185.0,14579500
2026-01-28,1010.0,1140.0,995.0,995.0,44531000
2026-01-29,1075.0,1100.0,860.0,885.0,59200200
2026-01-30,1140.0,1175.0,1005.0,1075.0,29980100
2026-02-02,1085.0,1135.0,990.0,1090.0,25406100
2026-02-03,1090.0,1150.0,1000.0,1050.0,20277700
2026-02-04,1000.0,1115.0,1000.0,1080.0,11580700
2026-02-05,1040.0,1085.0,930.0,1000.0,17553700
2026-02-06,1060.0,1085.0,985.0,1005.0,18037000
2026-02-09,1065.0,1190.0,1030.0,1065.0,23311500
2026-02-10,1065.0,1090.0,1040.0,1070.0,11241800
2026-02-11,1115.0,1145.0,1075.0,1075.0,36429600
2026-02-12,1025.0,1135.0,1010.0,1135.0,41228000
2026-02-13,1025.0,1045.0,1005.0,1005.0,8805300
2026-02-18,1075.0,1090.0,1025.0,1025.0,21382500
2026-02-19,1040.0,1105.0,1035.0,1100.0,18458100
2026-02-20,1070.0,1170.0,1045.0,1045.0,36002900
2026-02-23,1175.0,1200.0,1050.0,1080.0,39011900
2026-02-24,1100.0,1225.0,1075.0,1200.0,26827100
2026-02-25,1080.0,1120.0,1060.0,1065.0,11666700
2026-02-26,1030.0,1120.0,1010.0,1110.0,21486900
2026-02-27,1020.0,1035.0,970.0,1030.0,12420600
2026-03-02,895.0,970.0,870.0,970.0,21715700
2026-03-03,905.0,925.0,870.0,895.0,9093100
2026-03-04,845.0,910.0,800.0,905.0,17880800
2026-03-05,835.0,900.0,835.0,855.0,11366500
2026-03-06,760.0,830.0,710.0,820.0,26721700
2026-03-09,650.0,680.0,650.0,650.0,40440100
2026-03-10,660.0,695.0,615.0,675.0,24655700
2026-03-11,625.0,680.0,620.0,660.0,12935400
2026-03-12,560.0,650.0,560.0,635.0,13430500
2026-03-13,615.0,685.0,510.0,545.0,30962200
2026-03-16,765.0,765.0,615.0,655.0,43325500
