Date,Close,High,Low,Open,Volume
2025-11-10,116.0,116.0,113.0,113.0,45375600
2025-11-11,108.0,116.0,108.0,116.0,28647500
2025-11-12,109.0,109.0,106.0,106.0,22266200
2025-11-13,109.0,112.0,109.0,112.0,16014500
2025-11-14,111.0,111.0,111.0,111.0,9285000
2025-11-17,110.0,111.0,109.0,111.0,12563100
2025-11-18,111.0,111.0,107.0,107.0,11541900
2025-11-19,110.0,111.0,110.0,111.0,13823100
2025-11-20,113.0,113.0,111.0,111.0,27396000
2025-11-21,120.0,120.0,116.0,116.0,38913700
2025-11-24,129.0,129.0,127.0,127.0,33791400
2025-11-25,141.0,141.0,141.0,141.0,50933700
2025-11-26,137.0,148.0,137.0,146.0,61238600
2025-11-27,140.0,140.0,133.0,133.0,42564300
2025-11-28,128.0,165.0,120.0,165.0,299024000
2025-12-01,130.0,141.0,115.0,122.0,162781000
2025-12-02,126.0,139.0,113.0,139.0,328329900
2025-12-03,170.0,170.0,119.0,130.0,925786900
2025-12-04,228.0,228.0,185.0,185.0,882556200
2025-12-05,228.0,228.0,228.0,228.0,0
2025-12-08,228.0,228.0,228.0,228.0,0
2025-12-09,228.0,228.0,228.0,228.0,0
2025-12-10,228.0,228.0,228.0,228.0,0
2025-12-11,228.0,228.0,228.0,228.0,0
2025-12-12,228.0,228.0,228.0,228.0,0
2025-12-15,228.0,228.0,228.0,228.0,0
2025-12-16,228.0,228.0,228.0,228.0,0
2025-12-17,228.0,228.0,228.0,228.0,0
2025-12-18,250.0,250.0,250.0,250.0,65000600
2025-12-19,226.0,226.0,226.0,226.0,70133800
2025-12-22,204.0,204.0,204.0,204.0,10326500
2025-12-23,184.0,184.0,184.0,184.0,19997300
2025-12-24,174.0,200.0,174.0,188.0,105943500
2025-12-29,191.0,191.0,181.0,181.0,62802300
2025-12-30,210.0,210.0,202.0,202.0,59270900
2026-01-02,262.0,262.0,192.0,210.0,325989700
2026-01-05,326.0,326.0,262.0,292.0,255421600
2026-01-06,400.0,406.0,330.0,364.0,463505100
2026-01-07,438.0,482.0,400.0,402.0,343719600
2026-01-08,404.0,480.0,374.0,464.0,573367100
2026-01-09,448.0,458.0,404.0,418.0,304239400
2026-01-12,530.0,535.0,418.0,478.0,510253900
2026-01-13,530.0,530.0,530.0,530.0,0
2026-01-14,530.0,530.0,530.0,530.0,0
2026-01-15,530.0,530.0,530.0,530.0,0
2026-01-19,530.0,530.0,530.0,530.0,0
2026-01-20,530.0,530.0,530.0,530.0,0
2026-01-21,530.0,530.0,530.0,530.0,0
2026-01-22,530.0,530.0,530.0,530.0,0
2026-01-23,478.0,478.0,478.0,478.0,10233700
2026-01-26,432.0,432.0,432.0,432.0,4989500
2026-01-27,390.0,390.0,390.0,390.0,6410800
2026-01-28,352.0,352.0,352.0,352.0,2797700
2026-01-29,318.0,318.0,318.0,318.0,6101400
2026-01-30,348.0,348.0,334.0,334.0,81652000
2026-02-02,314.0,314.0,314.0,314.0,7732100
2026-02-03,296.0,336.0,268.0,268.0,399323500
2026-02-04,252.0,298.0,252.0,288.0,174868500
2026-02-05,226.0,268.0,216.0,230.0,606906700
2026-02-06,193.0,216.0,193.0,216.0,226321000
2026-02-09,206.0,230.0,168.0,170.0,877571100
