Date,Close,High,Low,Open,Volume
2025-12-16,2710.0,2710.0,2580.0,2580.0,32058000
2025-12-17,2630.0,2700.0,2630.0,2700.0,20817800
2025-12-18,2650.0,2680.0,2620.0,2630.0,17521000
2025-12-19,2770.0,2770.0,2610.0,2660.0,28983500
2025-12-22,2700.0,2730.0,2670.0,2730.0,22606200
2025-12-23,2610.0,2700.0,2610.0,2690.0,17218500
2025-12-24,2600.0,2620.0,2590.0,2620.0,10056300
2025-12-29,2600.0,2630.0,2560.0,2610.0,13763200
2025-12-30,2600.0,2660.0,2590.0,2600.0,17928600
2026-01-02,2620.0,2630.0,2600.0,2620.0,7859600
2026-01-05,2580.0,2620.0,2580.0,2620.0,13513400
2026-01-06,2610.0,2620.0,2580.0,2580.0,16595700
2026-01-07,2600.0,2640.0,2600.0,2610.0,18804300
2026-01-08,2620.0,2730.0,2610.0,2620.0,44404400
2026-01-09,2620.0,2680.0,2620.0,2640.0,23053000
2026-01-12,2600.0,2650.0,2590.0,2650.0,44075100
2026-01-13,2600.0,2630.0,2590.0,2600.0,33925600
2026-01-14,2580.0,2620.0,2580.0,2610.0,15761400
2026-01-15,2450.0,2590.0,2420.0,2580.0,51451800
2026-01-19,2330.0,2460.0,2310.0,2450.0,56292600
2026-01-20,2320.0,2360.0,2320.0,2330.0,18395300
2026-01-21,2290.0,2320.0,2240.0,2320.0,30521200
2026-01-22,2280.0,2310.0,2270.0,2270.0,21043700
2026-01-23,2250.0,2280.0,2200.0,2280.0,20403500
2026-01-26,2150.0,2260.0,2130.0,2250.0,27241300
2026-01-27,2060.0,2180.0,2030.0,2140.0,35658400
2026-01-28,1980.0,2020.0,1930.0,2000.0,39800600
2026-01-29,1860.0,1960.0,1690.0,1960.0,74521700
2026-01-30,1925.0,1960.0,1885.0,1890.0,33230400
2026-02-02,2030.0,2070.0,1920.0,1955.0,52588100
2026-02-03,2010.0,2110.0,1995.0,2010.0,46081200
2026-02-04,2050.0,2090.0,1980.0,2010.0,49767000
2026-02-05,2210.0,2250.0,2040.0,2060.0,71314600
2026-02-06,2300.0,2300.0,2140.0,2190.0,71485600
2026-02-09,2300.0,2300.0,2250.0,2300.0,23163100
2026-02-10,2300.0,2420.0,2280.0,2300.0,56389900
2026-02-11,2260.0,2320.0,2250.0,2300.0,18622600
2026-02-12,2300.0,2330.0,2270.0,2290.0,40499400
2026-02-13,2300.0,2370.0,2300.0,2320.0,19683200
2026-02-18,2260.0,2340.0,2260.0,2340.0,16593000
2026-02-19,2220.0,2310.0,2220.0,2270.0,17971200
2026-02-20,2240.0,2250.0,2210.0,2220.0,7587400
2026-02-23,2370.0,2370.0,2250.0,2260.0,34184100
2026-02-24,2350.0,2380.0,2320.0,2370.0,24678900
2026-02-25,2330.0,2370.0,2320.0,2350.0,15559900
2026-02-26,2310.0,2360.0,2300.0,2350.0,15417900
2026-02-27,2380.0,2410.0,2310.0,2320.0,68472600
2026-03-02,2250.0,2320.0,2240.0,2310.0,23912200
2026-03-03,2080.0,2280.0,2080.0,2260.0,29682000
2026-03-04,1935.0,2090.0,1920.0,2090.0,31919800
2026-03-05,1990.0,2040.0,1975.0,1975.0,14954200
2026-03-06,1975.0,2040.0,1955.0,1990.0,11788500
2026-03-09,1880.0,1955.0,1845.0,1955.0,20756600
2026-03-10,1945.0,1945.0,1890.0,1910.0,11695700
2026-03-11,2000.0,2050.0,1945.0,1965.0,19351000
2026-03-12,1890.0,2020.0,1890.0,2010.0,27876700
2026-03-13,1870.0,1910.0,1870.0,1890.0,12154900
2026-03-16,1855.0,1880.0,1820.0,1870.0,10659400
