Date,Close,High,Low,Open,Volume
2025-11-19,3320.0,3400.0,3300.0,3370.0,45899800
2025-11-20,3700.0,3700.0,3330.0,3330.0,188343800
2025-11-21,3610.0,3740.0,3570.0,3680.0,122601000
2025-11-24,3730.0,3880.0,3660.0,3670.0,261961500
2025-11-25,3730.0,3790.0,3650.0,3730.0,106329300
2025-11-26,3800.0,3840.0,3640.0,3730.0,113393700
2025-11-27,3780.0,3930.0,3770.0,3840.0,131288800
2025-11-28,3730.0,3810.0,3680.0,3740.0,59522300
2025-12-01,3710.0,3810.0,3670.0,3770.0,56572000
2025-12-02,3680.0,3750.0,3670.0,3710.0,33974600
2025-12-03,3730.0,3790.0,3710.0,3720.0,59197100
2025-12-04,3720.0,3790.0,3710.0,3770.0,42874400
2025-12-05,3820.0,3860.0,3710.0,3740.0,83570000
2025-12-08,3880.0,3950.0,3840.0,3860.0,103830500
2025-12-09,4160.0,4200.0,3860.0,3930.0,242592400
2025-12-10,4250.0,4360.0,4100.0,4220.0,213171900
2025-12-11,4250.0,4310.0,4100.0,4280.0,120572400
2025-12-12,3620.0,4420.0,3620.0,4300.0,445515300
2025-12-15,3540.0,3740.0,3510.0,3700.0,131641100
2025-12-16,3540.0,3590.0,3500.0,3550.0,48033700
2025-12-17,3470.0,3570.0,3450.0,3550.0,57135900
2025-12-18,3320.0,3500.0,3310.0,3500.0,91009200
2025-12-19,3270.0,3360.0,3230.0,3340.0,55116900
2025-12-22,3190.0,3340.0,3170.0,3270.0,66973600
2025-12-23,3490.0,3500.0,3130.0,3230.0,107335300
2025-12-24,3250.0,3400.0,3220.0,3390.0,83710400
2025-12-29,3270.0,3350.0,3190.0,3250.0,41390200
2025-12-30,3250.0,3330.0,3240.0,3320.0,39121300
2026-01-02,3330.0,3380.0,3260.0,3280.0,51232000
2026-01-05,3530.0,3630.0,3300.0,3330.0,146677500
2026-01-06,3460.0,3570.0,3440.0,3540.0,68114700
2026-01-07,3340.0,3470.0,3320.0,3460.0,70451900
2026-01-08,3360.0,3430.0,3310.0,3340.0,39372000
2026-01-09,3370.0,3420.0,3350.0,3370.0,38993200
2026-01-12,3200.0,3370.0,3150.0,3370.0,94959300
2026-01-13,3030.0,3280.0,3000.0,3200.0,79542400
2026-01-14,3110.0,3180.0,3040.0,3040.0,37816700
2026-01-15,3070.0,3170.0,3050.0,3140.0,45266200
2026-01-19,3150.0,3180.0,3030.0,3070.0,56617900
2026-01-20,3100.0,3160.0,3080.0,3150.0,29907500
2026-01-21,2980.0,3070.0,2940.0,3070.0,75423900
2026-01-22,2870.0,3040.0,2860.0,3010.0,66441500
2026-01-23,2930.0,2940.0,2740.0,2870.0,63774200
2026-01-26,2780.0,2950.0,2780.0,2940.0,45918300
2026-01-27,2770.0,2840.0,2750.0,2790.0,31429700
2026-01-28,2530.0,2690.0,2380.0,2650.0,133620000
2026-01-29,2510.0,2600.0,2160.0,2490.0,113137900
2026-01-30,2500.0,2640.0,2450.0,2600.0,42710800
2026-02-02,2260.0,2540.0,2180.0,2500.0,81999800
2026-02-03,2390.0,2430.0,2170.0,2260.0,67633800
2026-02-04,2340.0,2450.0,2310.0,2400.0,36285300
2026-02-05,2330.0,2380.0,2310.0,2340.0,20197700
2026-02-06,2200.0,2270.0,2150.0,2270.0,38546400
2026-02-09,2250.0,2290.0,2160.0,2250.0,23930900
2026-02-10,2310.0,2360.0,2250.0,2270.0,28163000
2026-02-11,2440.0,2460.0,2330.0,2330.0,64070300
2026-02-12,2470.0,2560.0,2420.0,2470.0,70367900
2026-02-13,2450.0,2480.0,2400.0,2400.0,21422200
2026-02-18,2560.0,2630.0,2450.0,2450.0,56376000
2026-02-19,2510.0,2650.0,2500.0,2630.0,40901700
