Date,Close,High,Low,Open,Volume
2025-11-26,64.0,66.0,64.0,65.0,16181700
2025-11-27,64.0,65.0,63.0,64.0,16571800
2025-11-28,63.0,64.0,62.0,64.0,18040200
2025-12-01,62.0,64.0,61.0,63.0,29168000
2025-12-02,62.0,63.0,61.0,62.0,12654500
2025-12-03,62.0,63.0,62.0,62.0,7703500
2025-12-04,64.0,68.0,60.0,62.0,135943400
2025-12-05,66.0,70.0,63.0,64.0,131381000
2025-12-08,73.0,79.0,65.0,66.0,733380700
2025-12-09,69.0,75.0,68.0,74.0,122315700
2025-12-10,69.0,70.0,66.0,70.0,54980700
2025-12-11,67.0,70.0,67.0,68.0,33560000
2025-12-12,64.0,67.0,62.0,67.0,42671900
2025-12-15,63.0,65.0,62.0,63.0,27768400
2025-12-16,64.0,67.0,63.0,64.0,36951000
2025-12-17,63.0,65.0,63.0,64.0,17224400
2025-12-18,63.0,65.0,62.0,64.0,18625400
2025-12-19,62.0,64.0,61.0,63.0,15271000
2025-12-22,60.0,63.0,60.0,62.0,21758800
2025-12-23,61.0,62.0,60.0,61.0,14682200
2025-12-24,60.0,62.0,60.0,62.0,10407700
2025-12-29,57.0,61.0,57.0,60.0,33930200
2025-12-30,61.0,68.0,57.0,58.0,286734800
2026-01-02,61.0,63.0,60.0,62.0,33616200
2026-01-05,62.0,63.0,60.0,61.0,29677500
2026-01-06,62.0,63.0,60.0,62.0,37564700
2026-01-07,63.0,72.0,60.0,61.0,411475100
2026-01-08,63.0,66.0,61.0,63.0,87803000
2026-01-09,62.0,64.0,61.0,63.0,26212800
2026-01-12,61.0,63.0,59.0,62.0,54730000
2026-01-13,60.0,62.0,60.0,61.0,30732200
2026-01-14,60.0,61.0,59.0,61.0,30281400
2026-01-15,81.0,81.0,60.0,60.0,1751842200
2026-01-19,109.0,109.0,85.0,85.0,2201080400
2026-01-20,115.0,143.0,111.0,125.0,2116985400
2026-01-21,115.0,115.0,115.0,115.0,0
2026-01-22,124.0,143.0,121.0,132.0,1494497400
2026-01-23,106.0,130.0,106.0,129.0,501661200
2026-01-26,97.0,113.0,93.0,105.0,818898200
2026-01-27,100.0,107.0,89.0,97.0,535010700
2026-01-28,85.0,100.0,85.0,99.0,256241600
2026-01-29,81.0,93.0,73.0,84.0,300852400
2026-01-30,107.0,109.0,82.0,82.0,1703993700
2026-02-02,93.0,123.0,92.0,107.0,1621411600
2026-02-03,101.0,109.0,93.0,93.0,824033200
2026-02-04,97.0,104.0,94.0,102.0,190628200
2026-02-05,93.0,99.0,92.0,97.0,110946400
2026-02-06,89.0,100.0,86.0,91.0,301000500
2026-02-09,90.0,96.0,85.0,88.0,243404300
2026-02-10,91.0,96.0,87.0,90.0,245166700
2026-02-11,94.0,96.0,89.0,91.0,246234700
2026-02-12,125.0,125.0,95.0,97.0,2389919300
2026-02-13,121.0,143.0,116.0,126.0,513298904
2026-02-18,124.0,133.0,122.0,123.0,879472800
2026-02-19,121.0,127.0,117.0,126.0,283165300
2026-02-20,163.0,163.0,122.0,122.0,1595346804
2026-02-23,163.0,163.0,163.0,163.0,0
2026-02-24,163.0,163.0,163.0,163.0,0
2026-02-25,163.0,163.0,163.0,163.0,0
2026-02-26,163.0,163.0,163.0,163.0,0
