Ticker,Sector
AALI.JK,Consumer Defensive
ABBA.JK,Communication Services
ABDA.JK,Financial Services
ABMM.JK,Energy
ACES.JK,Consumer Cyclical
ACST.JK,Industrials
ADES.JK,Consumer Defensive
ADHI.JK,Industrials
AISA.JK,Consumer Defensive
AKKU.JK,Consumer Cyclical
AKPI.JK,Consumer Cyclical
AKRA.JK,Energy
AKSI.JK,Industrials
ALDO.JK,Basic Materials
ALKA.JK,Basic Materials
ALMI.JK,Basic Materials
ALTO.JK,Consumer Defensive
AMAG.JK,Financial Services
AMFG.JK,Basic Materials
AMIN.JK,Industrials
AMRT.JK,Consumer Defensive
ANJT.JK,Consumer Defensive
ANTM.JK,Basic Materials
APEX.JK,Energy
APIC.JK,Financial Services
APII.JK,Industrials
APLI.JK,Consumer Cyclical
APLN.JK,Real Estate
ARGO.JK,Consumer Cyclical
ARII.JK,Energy
ARNA.JK,Industrials
ARTA.JK,Consumer Cyclical
ARTI.JK,Energy
ARTO.JK,Financial Services
ASBI.JK,Financial Services
ASDM.JK,Financial Services
ASGR.JK,Industrials
ASII.JK,Industrials
ASJT.JK,Financial Services
ASMI.JK,Financial Services
ASRI.JK,Real Estate
ASRM.JK,Financial Services
ASSA.JK,Industrials
ATIC.JK,Technology
AUTO.JK,Consumer Cyclical
BABP.JK,Financial Services
BACA.JK,Financial Services
BAJA.JK,Basic Materials
BALI.JK,Communication Services
BAPA.JK,Real Estate
BATA.JK,Consumer Cyclical
BAYU.JK,Consumer Cyclical
BBCA.JK,Financial Services
BBHI.JK,Financial Services
BBKP.JK,Financial Services
BBLD.JK,Financial Services
BBMD.JK,Financial Services
BBNI.JK,Financial Services
BBRI.JK,Financial Services
BBRM.JK,Industrials
BBTN.JK,Financial Services
BBYB.JK,Financial Services
BCAP.JK,Financial Services
BCIC.JK,Financial Services
BCIP.JK,Real Estate
BDMN.JK,Financial Services
BEKS.JK,Financial Services
BEST.JK,Real Estate
BFIN.JK,Financial Services
BGTG.JK,Financial Services
BHIT.JK,Communication Services
BIKA.JK,Real Estate
